"Area / Date","Production Type","Code","Name","Intalled Capacity at the beginning of year [MW]","Current Installed Capacity [MW]","Location","Voltage Connection Level [kV]","Commissioning Date","Decommissioning Date"
"BZN|AT / 01.01.2016 00:00 - 01.01.2017 00:00","Fossil Gas","14W-PROD-SIM---P","KW Simmering","N/A","1349","intra_zonal","380","01.07.2011",""
"BZN|AT / 01.01.2016 00:00 - 01.01.2017 00:00","Fossil Gas","14W-WGM-KW-----J","GDK-Mellach","N/A","838","intra_zonal","380","29.08.2013",""
"BZN|AT / 01.01.2016 00:00 - 01.01.2017 00:00","Hydro Pumped Storage","14W-DMH-KW-----9","Malta-Hauptstufe","N/A","728","intra_zonal","380","01.07.2011",""
"BZN|AT / 01.01.2016 00:00 - 01.01.2017 00:00","Fossil Gas","14W-KW-THE-EVN-7","Kraftwerk Theiß","N/A","495","intra_zonal","110","10.06.2010",""
"BZN|AT / 01.01.2016 00:00 - 01.01.2017 00:00","Hydro Pumped Storage","14W-TKP-KW-----I","Limberg II","N/A","480","intra_zonal","380","01.07.2011",""
"BZN|AT / 01.01.2016 00:00 - 01.01.2017 00:00","Hydro Pumped Storage","14W-DRP-KW-----M","Reisseck 2","N/A","430","intra_zonal","380","01.12.2016",""
"BZN|AT / 01.01.2016 00:00 - 01.01.2017 00:00","Hydro Pumped Storage","14W-TZH-KW-----7","Häusling","N/A","400","intra_zonal","380","01.07.2011",""
"BZN|AT / 01.01.2016 00:00 - 01.01.2017 00:00","Fossil Gas","14WENERGIE--WT02","Kraftwerk Timelkam Gesamtanlage","N/A","400","intra_zonal","110","01.07.2011",""
"BZN|AT / 01.01.2016 00:00 - 01.01.2017 00:00","Fossil Gas","14W-PROD-DO----O","KW Donaustadt","N/A","395","intra_zonal","380","01.07.2011",""
"BZN|AT / 01.01.2016 00:00 - 01.01.2017 00:00","Hydro Water Reservoir","11WD2KAUT0001512","KW Kaunertal","N/A","392","intra_zonal","220","01.10.2018",""
"BZN|AT / 01.01.2016 00:00 - 01.01.2017 00:00","Hydro Water Reservoir","14W-TZMA-KW----N","Mayrhofen","N/A","368","intra_zonal","380","01.07.2011",""
"BZN|AT / 01.01.2016 00:00 - 01.01.2017 00:00","Hydro Run-of-river and poundage","14W-BAW-KW-----F","Altenwörth","N/A","333","intra_zonal","380","01.07.2011",""
"BZN|AT / 01.01.2016 00:00 - 01.01.2017 00:00","Hydro Run-of-river and poundage","14W-BGS-KW-----Q","Greifenstein","N/A","297","intra_zonal","380","01.07.2011",""
"BZN|AT / 01.01.2016 00:00 - 01.01.2017 00:00","Hydro Run-of-river and poundage","14W-BAS-KW-----I","Aschach","N/A","289","intra_zonal","380","01.07.2011",""
"BZN|AT / 01.01.2016 00:00 - 01.01.2017 00:00","Hydro Water Reservoir","14W-TKH-KW-----O","Kaprun-Hauptstufe","N/A","280","intra_zonal","110","01.07.2011",""
"BZN|AT / 01.01.2016 00:00 - 01.01.2017 00:00","Hydro Run-of-river and poundage","14W-BYP-KW-----6","Ybbs-Persenbeug","N/A","242","intra_zonal","380","01.07.2011",""
"BZN|AT / 01.01.2016 00:00 - 01.01.2017 00:00","Hydro Pumped Storage","14W-TZR-KW-----I","Roßhag","N/A","240","intra_zonal","240","01.07.2011",""
"BZN|AT / 01.01.2016 00:00 - 01.01.2017 00:00","Fossil Gas","14WLSG-MITTE---U","FHKW Linz Mitte","N/A","217","intra_zonal","110","19.12.2011",""
"BZN|AT / 01.01.2016 00:00 - 01.01.2017 00:00","Hydro Run-of-river and poundage","14W-BWM-KW-----L","Wallsee-Mitterkirchen","N/A","210","intra_zonal","380","01.07.2011",""
