Fuel,Technology,Type / Class,Age bin,PowerCapacity,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,RampingCost,PartLoadMin,StartUpTime,CHPType
HRD,STUR,Sub-critical,9.999999999,400,0.397206846203141,9.5,2.25,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,9.999999999,399.9999999999,0.371742874015756,9.5,2.25,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,9.999999999,150,0.371742874015756,9.5,2.25,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,9.999999999,149.9999999999,0.315248556676053,9.5,2.25,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,9.999999999,7.5,0.315248556676053,9.5,2.25,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,9.999999999,7.4999999999,0.24404261780311,9.5,2.25,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,10,400,0.3895298200748,9.5,8.5,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,10,399.9999999999,0.364558003502764,9.5,8.5,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,10,150,0.364558003502764,9.5,8.5,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,10,149.9999999999,0.309155581618704,9.5,8.5,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,10,7.5,0.309155581618704,9.5,8.5,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,10,7.4999999999,0.239325877466905,9.5,8.5,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,30,400,0.3895298200748,9.5,8.5,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,30,399.9999999999,0.364558003502764,9.5,8.5,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,30,150,0.364558003502764,9.5,8.5,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,30,149.9999999999,0.309155581618704,9.5,8.5,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,30,7.5,0.309155581618704,9.5,8.5,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,30,7.4999999999,0.239325877466905,9.5,8.5,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,30.00000001,400,0.376975951159586,9.5,8.5,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,30.00000001,399.9999999999,0.35280893282292,9.5,8.5,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,30.00000001,150,0.35280893282292,9.5,8.5,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,30.00000001,149.9999999999,0.299192034680751,9.5,8.5,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,30.00000001,7.5,0.299192034680751,9.5,8.5,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,30.00000001,7.4999999999,0.231612820496938,9.5,8.5,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,supercritical,9.999999999,400,0.429836636719965,6.5,2.25,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,9.999999999,399.9999999999,0.402280847419801,6.5,2.25,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,9.999999999,150,0.402280847419801,6.5,2.25,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,9.999999999,149.9999999999,0.341145628852422,6.5,2.25,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,9.999999999,7.5,0.341145628852422,6.5,2.25,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,9.999999999,7.4999999999,0.264090256891436,6.5,2.25,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,10,400,0.395803120841215,6.5,2.25,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,10,399.9999999999,0.370429138098666,6.5,2.25,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,10,150,0.370429138098666,6.5,2.25,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,10,149.9999999999,0.314134471159787,6.5,2.25,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,10,7.5,0.314134471159787,6.5,2.25,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,10,7.4999999999,0.243180173423625,6.5,2.25,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,30,400,0.395803120841215,6.5,2.25,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,30,399.9999999999,0.370429138098666,6.5,2.25,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,30,150,0.370429138098666,6.5,2.25,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,30,149.9999999999,0.314134471159787,6.5,2.25,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,30,7.5,0.314134471159787,6.5,2.25,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,30,7.4999999999,0.243180173423625,6.5,2.25,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,30.00000001,400,0.376975951159586,6.5,8.5,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,30.00000001,399.9999999999,0.35280893282292,6.5,8.5,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,30.00000001,150,0.35280893282292,6.5,8.5,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,30.00000001,149.9999999999,0.299192034680751,6.5,8.5,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,30.00000001,7.5,0.299192034680751,6.5,8.5,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,30.00000001,7.4999999999,0.231612820496938,6.5,8.5,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,Ultra-supercritical,9.999999999,400,0.437103512831725,6.5,2.25,4.33,4.33,26.85,1.8,0.35,5,
HRD,STUR,Ultra-supercritical,9.999999999,399.9999999999,0.409081861643812,6.5,2.25,4.33,4.33,26.85,1.8,0.35,5,
HRD,STUR,Ultra-supercritical,9.999999999,150,0.409081861643812,6.5,2.25,4.33,4.33,26.85,1.8,0.35,5,
HRD,STUR,Ultra-supercritical,9.999999999,149.9999999999,0.346913082831814,6.5,2.25,4.33,4.33,26.85,1.8,0.35,5,
HRD,STUR,Ultra-supercritical,9.999999999,7.5,0.346913082831814,6.5,2.25,4.33,4.33,26.85,1.8,0.35,5,
HRD,STUR,Ultra-supercritical,9.999999999,7.4999999999,0.268555002367293,6.5,2.25,4.33,4.33,26.85,1.8,0.35,5,
HRD,STUR,Ultra-supercritical,10,400,0.431726490579445,6.5,2.25,4.33,4.33,26.85,1.8,0.35,5,
HRD,STUR,Ultra-supercritical,10,399.9999999999,0.404049547309817,6.5,2.25,4.33,4.33,26.85,1.8,0.35,5,
HRD,STUR,Ultra-supercritical,10,150,0.404049547309817,6.5,2.25,4.33,4.33,26.85,1.8,0.35,5,
HRD,STUR,Ultra-supercritical,10,149.9999999999,0.342645536790124,6.5,2.25,4.33,4.33,26.85,1.8,0.35,5,
HRD,STUR,Ultra-supercritical,10,7.5,0.342645536790124,6.5,2.25,4.33,4.33,26.85,1.8,0.35,5,
HRD,STUR,Ultra-supercritical,10,7.4999999999,0.265251377067338,6.5,2.25,4.33,4.33,26.85,1.8,0.35,5,
HRD,STUR,Ultra-supercritical,20,400,0.431726490579445,6.5,2.25,4.33,4.33,26.85,1.8,0.35,5,
HRD,STUR,Ultra-supercritical,20,399.9999999999,0.404049547309817,6.5,2.25,4.33,4.33,26.85,1.8,0.35,5,
HRD,STUR,Ultra-supercritical,20,150,0.404049547309817,6.5,2.25,4.33,4.33,26.85,1.8,0.35,5,
HRD,STUR,Ultra-supercritical,20,149.9999999999,0.342645536790124,6.5,2.25,4.33,4.33,26.85,1.8,0.35,5,
HRD,STUR,Ultra-supercritical,20,7.5,0.342645536790124,6.5,2.25,4.33,4.33,26.85,1.8,0.35,5,
HRD,STUR,Ultra-supercritical,20,7.4999999999,0.265251377067338,6.5,2.25,4.33,4.33,26.85,1.8,0.35,5,
LIG,STUR,Sub-critical,9.999999999,400,0.397206846203141,13.5,2.25,4.29,4.29,81.5,1.8,0.4,5.5,
LIG,STUR,Sub-critical,9.999999999,399.9999999999,0.371742874015756,13.5,2.25,4.29,4.29,81.5,1.8,0.4,5.5,
LIG,STUR,Sub-critical,9.999999999,150,0.371742874015756,13.5,2.25,4.29,4.29,81.5,1.8,0.4,5.5,
LIG,STUR,Sub-critical,9.999999999,149.9999999999,0.315248556676053,13.5,2.25,4.29,4.29,81.5,1.8,0.4,5.5,
LIG,STUR,Sub-critical,9.999999999,7.5,0.315248556676053,13.5,2.25,4.29,4.29,81.5,1.8,0.4,5.5,
LIG,STUR,Sub-critical,9.999999999,7.4999999999,0.24404261780311,13.5,2.25,4.29,4.29,81.5,1.8,0.4,5.5,
LIG,STUR,Sub-critical,10,400,0.3895298200748,13.5,8,4.29,4.29,81.5,1.8,0.4,5.5,
LIG,STUR,Sub-critical,10,399.9999999999,0.364558003502764,13.5,8,4.29,4.29,81.5,1.8,0.4,5.5,
LIG,STUR,Sub-critical,10,150,0.364558003502764,13.5,8,4.29,4.29,81.5,1.8,0.4,5.5,
LIG,STUR,Sub-critical,10,149.9999999999,0.309155581618704,13.5,8,4.29,4.29,81.5,1.8,0.4,5.5,
LIG,STUR,Sub-critical,10,7.5,0.309155581618704,13.5,8,4.29,4.29,81.5,1.8,0.4,5.5,
