Fuel,Technology,Type / Class,Age bin,PowerCapacity,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,RampingCost,PartLoadMin,StartUpTime,CHPType
HRD,STUR,Sub-critical,9.999999999,400,39.7206846203141,9.5,2.25,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,9.999999999,399.9999999999,37.1742874015756,9.5,2.25,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,9.999999999,150,37.1742874015756,9.5,2.25,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,9.999999999,149.9999999999,31.5248556676053,9.5,2.25,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,9.999999999,7.5,31.5248556676053,9.5,2.25,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,9.999999999,7.4999999999,24.404261780311,9.5,2.25,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,10,400,38.95298200748,9.5,8.5,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,10,399.9999999999,36.4558003502764,9.5,8.5,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,10,150,36.4558003502764,9.5,8.5,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,10,149.9999999999,30.9155581618704,9.5,8.5,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,10,7.5,30.9155581618704,9.5,8.5,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,10,7.4999999999,23.9325877466905,9.5,8.5,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,30,400,38.95298200748,9.5,8.5,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,30,399.9999999999,36.4558003502764,9.5,8.5,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,30,150,36.4558003502764,9.5,8.5,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,30,149.9999999999,30.9155581618704,9.5,8.5,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,30,7.5,30.9155581618704,9.5,8.5,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,30,7.4999999999,23.9325877466905,9.5,8.5,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,30.00000001,400,37.6975951159586,9.5,8.5,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,30.00000001,399.9999999999,35.280893282292,9.5,8.5,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,30.00000001,150,35.280893282292,9.5,8.5,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,30.00000001,149.9999999999,29.9192034680751,9.5,8.5,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,30.00000001,7.5,29.9192034680751,9.5,8.5,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,Sub-critical,30.00000001,7.4999999999,23.1612820496938,9.5,8.5,4.29,4.29,81.5,1.65,0.35,3.7,
HRD,STUR,supercritical,9.999999999,400,42.9836636719965,6.5,2.25,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,9.999999999,399.9999999999,40.2280847419801,6.5,2.25,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,9.999999999,150,40.2280847419801,6.5,2.25,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,9.999999999,149.9999999999,34.1145628852422,6.5,2.25,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,9.999999999,7.5,34.1145628852422,6.5,2.25,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,9.999999999,7.4999999999,26.4090256891436,6.5,2.25,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,10,400,39.5803120841215,6.5,2.25,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,10,399.9999999999,37.0429138098666,6.5,2.25,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,10,150,37.0429138098666,6.5,2.25,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,10,149.9999999999,31.4134471159787,6.5,2.25,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,10,7.5,31.4134471159787,6.5,2.25,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,10,7.4999999999,24.3180173423625,6.5,2.25,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,30,400,39.5803120841215,6.5,2.25,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,30,399.9999999999,37.0429138098666,6.5,2.25,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,30,150,37.0429138098666,6.5,2.25,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,30,149.9999999999,31.4134471159787,6.5,2.25,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,30,7.5,31.4134471159787,6.5,2.25,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,30,7.4999999999,24.3180173423625,6.5,2.25,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,30.00000001,400,37.6975951159586,6.5,8.5,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,30.00000001,399.9999999999,35.280893282292,6.5,8.5,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,30.00000001,150,35.280893282292,6.5,8.5,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,30.00000001,149.9999999999,29.9192034680751,6.5,8.5,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,30.00000001,7.5,29.9192034680751,6.5,8.5,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,supercritical,30.00000001,7.4999999999,23.1612820496938,6.5,8.5,4.33,4.33,26.85,1.55,0.35,5,
HRD,STUR,Ultra-supercritical,9.999999999,400,43.7103512831725,6.5,2.25,4.33,4.33,26.85,1.8,0.35,5,
HRD,STUR,Ultra-supercritical,9.999999999,399.9999999999,40.9081861643812,6.5,2.25,4.33,4.33,26.85,1.8,0.35,5,
HRD,STUR,Ultra-supercritical,9.999999999,150,40.9081861643812,6.5,2.25,4.33,4.33,26.85,1.8,0.35,5,
HRD,STUR,Ultra-supercritical,9.999999999,149.9999999999,34.6913082831814,6.5,2.25,4.33,4.33,26.85,1.8,0.35,5,
HRD,STUR,Ultra-supercritical,9.999999999,7.5,34.6913082831814,6.5,2.25,4.33,4.33,26.85,1.8,0.35,5,
HRD,STUR,Ultra-supercritical,9.999999999,7.4999999999,26.8555002367293,6.5,2.25,4.33,4.33,26.85,1.8,0.35,5,
