snapshot, BE1 0 Electricity demand Residential and tertiary, DE1 0 Electricity demand Residential and tertiary, FR1 0 Electricity demand Residential and tertiary, GB0 0 Electricity demand Residential and tertiary, GB2 0 Electricity demand Residential and tertiary, NL1 0 Electricity demand Residential and tertiary,BE1 0 land transport EV,DE1 0 land transport EV,FR1 0 land transport EV,GB0 0 land transport EV,GB2 0 land transport EV,NL1 0 land transport EV,BE1 0 land transport fuel cell,DE1 0 land transport fuel cell,FR1 0 land transport fuel cell,GB0 0 land transport fuel cell,GB2 0 land transport fuel cell,NL1 0 land transport fuel cell,BE1 0 land transport oil,DE1 0 land transport oil,FR1 0 land transport oil,GB0 0 land transport oil,GB2 0 land transport oil,NL1 0 land transport oil,BE1 0 residential rural heat,DE1 0 residential rural heat,FR1 0 residential rural heat,GB0 0 residential rural heat,GB2 0 residential rural heat,NL1 0 residential rural heat,BE1 0 services rural heat,DE1 0 services rural heat,FR1 0 services rural heat,GB0 0 services rural heat,GB2 0 services rural heat,NL1 0 services rural heat,BE1 0 residential urban decentral heat,DE1 0 residential urban decentral heat,FR1 0 residential urban decentral heat,GB0 0 residential urban decentral heat,GB2 0 residential urban decentral heat,NL1 0 residential urban decentral heat,BE1 0 services urban decentral heat,DE1 0 services urban decentral heat,FR1 0 services urban decentral heat,GB0 0 services urban decentral heat,GB2 0 services urban decentral heat,NL1 0 services urban decentral heat,BE1 0 urban central heat,DE1 0 urban central heat,FR1 0 urban central heat,GB0 0 urban central heat,GB2 0 urban central heat,NL1 0 urban central heat,BE1 0 solid biomass for industry,DE1 0 solid biomass for industry,FR1 0 solid biomass for industry,GB0 0 solid biomass for industry,GB2 0 solid biomass for industry,NL1 0 solid biomass for industry,BE1 0 gas for industry,DE1 0 gas for industry,FR1 0 gas for industry,GB0 0 gas for industry,GB2 0 gas for industry,NL1 0 gas for industry,BE1 0 H2 for industry,DE1 0 H2 for industry,FR1 0 H2 for industry,GB0 0 H2 for industry,GB2 0 H2 for industry,NL1 0 H2 for industry,BE1 0 H2 for shipping,DE1 0 H2 for shipping,FR1 0 H2 for shipping,GB0 0 H2 for shipping,GB2 0 H2 for shipping,NL1 0 H2 for shipping,BE1 0 shipping methanol,DE1 0 shipping methanol,FR1 0 shipping methanol,GB0 0 shipping methanol,GB2 0 shipping methanol,NL1 0 shipping methanol,BE1 0 shipping oil,DE1 0 shipping oil,FR1 0 shipping oil,GB0 0 shipping oil,GB2 0 shipping oil,NL1 0 shipping oil,BE1 0 naphtha for industry,DE1 0 naphtha for industry,FR1 0 naphtha for industry,GB0 0 naphtha for industry,GB2 0 naphtha for industry,NL1 0 naphtha for industry,BE1 0 kerosene for aviation,DE1 0 kerosene for aviation,FR1 0 kerosene for aviation,GB0 0 kerosene for aviation,GB2 0 kerosene for aviation,NL1 0 kerosene for aviation,BE1 0 low-temperature heat for industry,DE1 0 low-temperature heat for industry,FR1 0 low-temperature heat for industry,GB0 0 low-temperature heat for industry,GB2 0 low-temperature heat for industry,NL1 0 low-temperature heat for industry,BE1 0 industry electricity,DE1 0 industry electricity,FR1 0 industry electricity,GB0 0 industry electricity,GB2 0 industry electricity,NL1 0 industry electricity,BE1 0 process emissions,DE1 0 process emissions,FR1 0 process emissions,GB0 0 process emissions,GB2 0 process emissions,NL1 0 process emissions,EU NH3,BE1 0 agriculture electricity,DE1 0 agriculture electricity,FR1 0 agriculture electricity,GB0 0 agriculture electricity,GB2 0 agriculture electricity,NL1 0 agriculture electricity,BE1 0 agriculture heat,DE1 0 agriculture heat,FR1 0 agriculture heat,GB0 0 agriculture heat,GB2 0 agriculture heat,NL1 0 agriculture heat,BE1 0 agriculture machinery oil,DE1 0 agriculture machinery oil,FR1 0 agriculture machinery oil,GB0 0 agriculture machinery oil,GB2 0 agriculture machinery oil,NL1 0 agriculture machinery oil
2013-01-01 00:00:00,3386.2426932037,17517.542111696,33726.4653691952,17698.0074328566,265.256995914285,6414.19903374223,439.480818851839,2458.06901065472,2210.78170501285,2583.81042839134,73.8286680754163,529.258163726798,18.1641203131018,99.8623010457544,92.000901387345,92.9920568701967,2.67714996611677,21.7779150133993,543.665028251804,2988.94963166312,2753.65235363832,2783.31834154734,80.1290008475311,651.828471565728,272.088153265869,10325.832411983,5633.89509994163,4402.19566408079,502.438234045174,523.749802503409,163.702665183549,5122.03417999776,3393.60286424248,1950.71366026455,223.274149915701,315.136902314842,4951.330411648,26192.0963628053,18853.7776833205,21572.6834706879,307.967858163266,5286.02041275798,2978.98300555231,12992.3484580669,11356.6605009331,9559.34982131722,136.855153675626,3180.56463312696,1429.43607346566,9237.96402315987,6313.34574769589,5713.92710550148,81.6354287266617,1672.54320440836,1708.90410958904,8799.08675799087,4433.7899543379,2901.82648401827,71.9178082191781,1179.22374429224,4727.16894977169,21878.9954337899,10686.0730593607,6960.04566210046,152.96803652968,7320.77625570776,578.767123287671,2289.95433789954,874.429223744292,755.707762557078,9.1324200913242,1315.06849315069,72.497347747766,114.994947373163,221.630536818841,270.397945105649,4.08091435338092,132.997499278409,157.602929886448,249.989016028614,481.805514823569,587.821619794888,8.87155294213244,289.124998431324,181.243369369415,287.487368432906,554.076342047104,675.994862764122,10.2022858834523,332.493748196023,9634.70319634703,25931.5068493151,12180.3652968037,8244.29223744292,208.904109589041,16422.3744292237,2253.58339184742,13857.7522602861,9808.08962033979,16838.4408115269,477.374369735447,5321.12040233022,472.602739726027,3912.100456621,369.86301369863,794.520547945206,20.5479452054794,1714.61187214612,5797.94520547945,31715.7534246575,15259.1324200913,13481.7351598174,275.114155251141,5970.3196347032,-513.698630136986,-2768.26484018265,-1489.72602739726,-1021.68949771689,-35.3881278538813,-288.812785388128,5398.40182648402,170.253678012239,706.13723767334,758.190790576881,385.251521594265,10.9219852579693,1086.40344860717,804.224225719509,1335.45103460168,3022.17465242435,999.832857476866,28.3455330289295,3714.60832164281,235.57372544573,352.691536993678,2195.86133067159,537.660302074945,15.2428155734642,872.837316829614
2013-01-01 01:00:00,3116.11072142274,16668.7989385814,31386.5138989011,17141.6170710897,254.008841812722,6027.73206780176,331.816299006231,1840.42163765681,1673.67541036189,1748.90287396045,50.0906485216979,398.882826111015,17.3487210370783,95.3825438582642,87.7727428238928,74.4900389742224,2.13393195063882,20.8010003976134,519.259548504123,2854.8673157614,2627.10056333806,2229.53979853281,63.8700996378374,622.588722927433,269.747007121035,10234.8473103009,5586.79592259719,4545.4231709196,518.932841039325,519.854200978072,175.109236988059,5463.446802393,3622.6673969155,2000.92820383274,229.05697651998,334.593951926846,4908.72735096383,25961.3071677307,18696.1607233014,22274.5608757611,318.078173109514,5246.70349257114,3186.55435766896,13858.3621554107,12123.2228343701,9805.42303947526,140.399718166889,3376.93771227562,1459.17154725414,9387.72194688237,6440.60251439353,5887.91255354315,84.1414185415408,1703.56907965304,1708.90410958904,8799.08675799087,4433.7899543379,2901.82648401827,71.9178082191781,1179.22374429224,4727.16894977169,21878.9954337899,10686.0730593607,6960.04566210046,152.96803652968,7320.77625570776,578.767123287671,2289.95433789954,874.429223744292,755.707762557078,9.1324200913242,1315.06849315069,72.497347747766,114.994947373163,221.630536818841,270.397945105649,4.08091435338092,132.997499278409,157.602929886448,249.989016028614,481.805514823569,587.821619794888,8.87155294213244,289.124998431324,181.243369369415,287.487368432906,554.076342047104,675.994862764122,10.2022858834523,332.493748196023,9634.70319634703,25931.5068493151,12180.3652968037,8244.29223744292,208.904109589041,16422.3744292237,2253.58339184742,13857.7522602861,9808.08962033979,16838.4408115269,477.374369735447,5321.12040233022,472.602739726027,3912.100456621,369.86301369863,794.520547945206,20.5479452054794,1714.61187214612,5797.94520547945,31715.7534246575,15259.1324200913,13481.7351598174,275.114155251141,5970.3196347032,-513.698630136986,-2768.26484018265,-1489.72602739726,-1021.68949771689,-35.3881278538813,-288.812785388128,5398.40182648402,170.253678012239,706.13723767334,758.190790576881,385.251521594265,10.9219852579693,1086.40344860717,804.224225719509,1335.45103460168,3022.17465242435,999.832857476866,28.3455330289295,3714.60832164281,235.57372544573,352.691536993678,2195.86133067159,537.660302074945,15.2428155734642,872.837316829614
2013-01-01 02:00:00,2865.91109860439,15729.8569346723,28118.0274275323,15602.5373944922,225.767648377786,5632.10037941993,310.428123131481,1706.65192738018,1570.23268484056,1326.29975450174,38.0453268317837,372.251718978133,20.3642208134865,111.952502024414,102.868239060064,71.2518599658939,2.03707691296548,24.4263940050512,609.515599602386,3350.81793815589,3078.91949242725,2132.61879978906,60.9711595358486,731.099329774156,287.227453043281,10914.1983850695,5938.46752770753,4507.73999656099,514.593107945759,548.941172736981,194.793355288061,6052.61649890815,4017.95999110995,2131.30174420116,244.071104383405,368.170636744648,5226.82816669252,27684.5221207321,19873.0264871591,22089.8968456631,315.418148025305,5540.26794973751,3544.7565520513,15352.8266062633,13446.0658335027,10444.3103888653,149.60257831362,3715.81524595925,1581.0749158082,10146.3088480558,6962.98903500774,5971.28002625879,85.3421818366068,1828.50570383457,1708.90410958904,8799.08675799087,4433.7899543379,2901.82648401827,71.9178082191781,1179.22374429224,4727.16894977169,21878.9954337899,10686.0730593607,6960.04566210046,152.96803652968,7320.77625570776,578.767123287671,2289.95433789954,874.429223744292,755.707762557078,9.1324200913242,1315.06849315069,72.497347747766,114.994947373163,221.630536818841,270.397945105649,4.08091435338092,132.997499278409,157.602929886448,249.989016028614,481.805514823569,587.821619794888,8.87155294213244,289.124998431324,181.243369369415,287.487368432906,554.076342047104,675.994862764122,10.2022858834523,332.493748196023,9634.70319634703,25931.5068493151,12180.3652968037,8244.29223744292,208.904109589041,16422.3744292237,2253.58339184742,13857.7522602861,9808.08962033979,16838.4408115269,477.374369735447,5321.12040233022,472.602739726027,3912.100456621,369.86301369863,794.520547945206,20.5479452054794,1714.61187214612,5797.94520547945,31715.7534246575,15259.1324200913,13481.7351598174,275.114155251141,5970.3196347032,-513.698630136986,-2768.26484018265,-1489.72602739726,-1021.68949771689,-35.3881278538813,-288.812785388128,5398.40182648402,170.253678012239,706.13723767334,758.190790576881,385.251521594265,10.9219852579693,1086.40344860717,804.224225719509,1335.45103460168,3022.17465242435,999.832857476866,28.3455330289295,3714.60832164281,235.57372544573,352.691536993678,2195.86133067159,537.660302074945,15.2428155734642,872.837316829614
2013-01-01 03:00:00,2649.26993366007,14938.3491116509,25211.6912677748,13883.9940161987,191.478563183067,5325.13792355067,392.249071529018,2155.95836894844,1980.74910692872,1275.07143255066,36.436543281492,470.442527525245,32.8918910246584,180.737460528042,165.893857363213,83.770958919003,2.38756892706425,39.4522605518795,984.47767108643,5409.60062421859,4965.32103374791,2507.32432742862,71.4616345746863,1180.83419278301,360.826953300802,13774.5315724941,7419.14224882219,4789.10589633951,546.996240841353,671.408676997608,230.523687067326,7122.06895849704,4735.48949002853,2356.28504643989,269.980718078044,429.118557820078,6566.15676124208,34939.9296739104,24828.0907043642,23468.7127726545,335.279541445334,6776.28889776828,4194.96008437518,18065.5572374989,15847.2716447319,11546.8269364571,165.483790559618,4330.94092883296,1939.68734912054,12496.3562290117,8500.29464506426,6426.70009957355,91.9017861279669,2194.1930147283,1708.90410958904,8799.08675799087,4433.7899543379,2901.82648401827,71.9178082191781,1179.22374429224,4727.16894977169,21878.9954337899,10686.0730593607,6960.04566210046,152.96803652968,7320.77625570776,578.767123287671,2289.95433789954,874.429223744292,755.707762557078,9.1324200913242,1315.06849315069,72.497347747766,114.994947373163,221.630536818841,270.397945105649,4.08091435338092,132.997499278409,157.602929886448,249.989016028614,481.805514823569,587.821619794888,8.87155294213244,289.124998431324,181.243369369415,287.487368432906,554.076342047104,675.994862764122,10.2022858834523,332.493748196023,9634.70319634703,25931.5068493151,12180.3652968037,8244.29223744292,208.904109589041,16422.3744292237,2253.58339184742,13857.7522602861,9808.08962033979,16838.4408115269,477.374369735447,5321.12040233022,472.602739726027,3912.100456621,369.86301369863,794.520547945206,20.5479452054794,1714.61187214612,5797.94520547945,31715.7534246575,15259.1324200913,13481.7351598174,275.114155251141,5970.3196347032,-513.698630136986,-2768.26484018265,-1489.72602739726,-1021.68949771689,-35.3881278538813,-288.812785388128,5398.40182648402,170.253678012239,706.13723767334,758.190790576881,385.251521594265,10.9219852579693,1086.40344860717,804.224225719509,1335.45103460168,3022.17465242435,999.832857476866,28.3455330289295,3714.60832164281,235.57372544573,352.691536993678,2195.86133067159,537.660302074945,15.2428155734642,872.837316829614
2013-01-01 04:00:00,2487.9550624363,13788.133460388,22514.490259538,11736.1439229439,142.177472942566,5170.3609364037,750.68420546789,4125.55475334332,3783.42571650876,1613.00699625289,46.005933665022,900.289948118049,81.8670451460752,449.909893049342,412.254532548301,135.318440440623,3.85642221967423,98.1735361043181,2450.33883529877,13466.1228013892,12339.0711039908,4050.17707860461,115.42545737807,2938.40369694288,504.416308297269,19354.914537327,10307.8728437381,5973.76615645638,683.426077843323,910.337336611886,267.606915697281,8232.0152728164,5480.18759755006,2764.67153910712,317.011480618319,492.374217065655,9179.12734319982,49094.9074543595,34495.200839964,29274.0660013462,418.903759994121,9187.71085129878,4869.78298817938,20881.0029722617,18339.3969525932,13548.0993042209,194.311141318141,4969.35779199237,2532.31091434562,16497.2336845424,11041.3189398466,7859.51655520622,112.539279753663,2796.67762449133,1708.90410958904,8799.08675799087,4433.7899543379,2901.82648401827,71.9178082191781,1179.22374429224,4727.16894977169,21878.9954337899,10686.0730593607,6960.04566210046,152.96803652968,7320.77625570776,578.767123287671,2289.95433789954,874.429223744292,755.707762557078,9.1324200913242,1315.06849315069,72.497347747766,114.994947373163,221.630536818841,270.397945105649,4.08091435338092,132.997499278409,157.602929886448,249.989016028614,481.805514823569,587.821619794888,8.87155294213244,289.124998431324,181.243369369415,287.487368432906,554.076342047104,675.994862764122,10.2022858834523,332.493748196023,9634.70319634703,25931.5068493151,12180.3652968037,8244.29223744292,208.904109589041,16422.3744292237,2253.58339184742,13857.7522602861,9808.08962033979,16838.4408115269,477.374369735447,5321.12040233022,472.602739726027,3912.100456621,369.86301369863,794.520547945206,20.5479452054794,1714.61187214612,5797.94520547945,31715.7534246575,15259.1324200913,13481.7351598174,275.114155251141,5970.3196347032,-513.698630136986,-2768.26484018265,-1489.72602739726,-1021.68949771689,-35.3881278538813,-288.812785388128,5398.40182648402,170.253678012239,706.13723767334,758.190790576881,385.251521594265,10.9219852579693,1086.40344860717,804.224225719509,1335.45103460168,3022.17465242435,999.832857476866,28.3455330289295,3714.60832164281,235.57372544573,352.691536993678,2195.86133067159,537.660302074945,15.2428155734642,872.837316829614
2013-01-01 05:00:00,2463.88840055517,12658.6616985394,21933.1618020594,9715.49691121418,87.735752247842,5250.84162916325,1548.54328123244,8507.89731804203,7800.19337873915,3089.94720874658,87.8944970450669,1857.93037662611,163.978854451106,900.774163670182,825.886418261534,337.101098214759,9.57701832137355,196.801671136503,4908.00363580256,26960.8108016665,24719.3673669443,10089.67541095,286.646963712413,5890.41386283122,539.370288734395,20713.3480854771,11011.0770102678,8284.98568980837,949.594628293284,968.499779741683,279.793736606537,8596.78170365979,5724.92093936312,3188.5212187161,365.823020648133,513.162196408426,9815.20320416309,52540.6560367523,36848.4670592572,40600.0522202447,582.050894981315,9774.72369630692,5091.5529412811,21806.2550125213,19158.3948104495,15625.1480487743,224.230013764622,5179.1634713848,2686.93730646733,17527.7228667131,11704.2553659882,10319.4896657103,147.97140864519,2954.08623739845,1708.90410958904,8799.08675799087,4433.7899543379,2901.82648401827,71.9178082191781,1179.22374429224,4727.16894977169,21878.9954337899,10686.0730593607,6960.04566210046,152.96803652968,7320.77625570776,578.767123287671,2289.95433789954,874.429223744292,755.707762557078,9.1324200913242,1315.06849315069,72.497347747766,114.994947373163,221.630536818841,270.397945105649,4.08091435338092,132.997499278409,157.602929886448,249.989016028614,481.805514823569,587.821619794888,8.87155294213244,289.124998431324,181.243369369415,287.487368432906,554.076342047104,675.994862764122,10.2022858834523,332.493748196023,9634.70319634703,25931.5068493151,12180.3652968037,8244.29223744292,208.904109589041,16422.3744292237,2253.58339184742,13857.7522602861,9808.08962033979,16838.4408115269,477.374369735447,5321.12040233022,472.602739726027,3912.100456621,369.86301369863,794.520547945206,20.5479452054794,1714.61187214612,5797.94520547945,31715.7534246575,15259.1324200913,13481.7351598174,275.114155251141,5970.3196347032,-513.698630136986,-2768.26484018265,-1489.72602739726,-1021.68949771689,-35.3881278538813,-288.812785388128,5398.40182648402,170.253678012239,706.13723767334,758.190790576881,385.251521594265,10.9219852579693,1086.40344860717,804.224225719509,1335.45103460168,3022.17465242435,999.832857476866,28.3455330289295,3714.60832164281,235.57372544573,352.691536993678,2195.86133067159,537.660302074945,15.2428155734642,872.837316829614
2013-01-01 06:00:00,2389.59793805987,12774.8540789341,22436.6670261357,9661.4142961878,81.9715173194822,5482.03715228146,2573.89017523034,14140.9481387519,12960.7261430191,6375.98625616163,180.973738728198,3090.49229269379,217.45433194428,1194.68660825582,1094.78975493361,675.257987453711,19.1418324300279,261.313405444062,6508.5626764259,35757.8191199803,32767.8353141302,20210.9513974909,572.928646665922,7821.29591218619,513.079420342109,19691.5932756544,10482.1573289058,8847.60624309852,1014.38808255481,924.752512089294,271.60854209484,8351.78883718358,5560.54747222567,3327.81276178492,381.86416697291,499.200092944963,9336.77452339594,49948.913369403,35078.4422526479,43357.138918881,621.76582903653,9333.19808864541,4942.60267635935,21184.8158383296,18608.3205276539,16307.7375105025,234.06238148941,5038.24892867731,2573.85248251125,16770.1962923869,11219.4034869458,10950.8027143155,157.064497616327,2839.02729566518,1708.90410958904,8799.08675799087,4433.7899543379,2901.82648401827,71.9178082191781,1179.22374429224,4727.16894977169,21878.9954337899,10686.0730593607,6960.04566210046,152.96803652968,7320.77625570776,578.767123287671,2289.95433789954,874.429223744292,755.707762557078,9.1324200913242,1315.06849315069,72.497347747766,114.994947373163,221.630536818841,270.397945105649,4.08091435338092,132.997499278409,157.602929886448,249.989016028614,481.805514823569,587.821619794888,8.87155294213244,289.124998431324,181.243369369415,287.487368432906,554.076342047104,675.994862764122,10.2022858834523,332.493748196023,9634.70319634703,25931.5068493151,12180.3652968037,8244.29223744292,208.904109589041,16422.3744292237,2253.58339184742,13857.7522602861,9808.08962033979,16838.4408115269,477.374369735447,5321.12040233022,472.602739726027,3912.100456621,369.86301369863,794.520547945206,20.5479452054794,1714.61187214612,5797.94520547945,31715.7534246575,15259.1324200913,13481.7351598174,275.114155251141,5970.3196347032,-513.698630136986,-2768.26484018265,-1489.72602739726,-1021.68949771689,-35.3881278538813,-288.812785388128,5398.40182648402,170.253678012239,706.13723767334,758.190790576881,385.251521594265,10.9219852579693,1086.40344860717,804.224225719509,1335.45103460168,3022.17465242435,999.832857476866,28.3455330289295,3714.60832164281,235.57372544573,352.691536993678,2195.86133067159,537.660302074945,15.2428155734642,872.837316829614
2013-01-01 07:00:00,2476.18719587082,13368.7775059421,22661.896716285,10135.8699264101,93.9328818911413,5756.74859718304,3228.51204817265,17734.9919825865,16255.2999572079,10598.8352380584,300.256240653591,3879.73365160178,199.698982275692,1096.83778493956,1005.27781910227,895.431257182044,25.327272566245,240.236980707755,5977.13244403362,32829.1343075222,30088.6794682223,26800.8938138493,758.063265267887,7190.46354308729,495.947477323789,19025.7862388008,10137.4969050979,8424.42745955616,965.653255866459,896.245439388423,255.151015458125,7859.19496906289,5230.0506575296,3234.25855414191,371.090241284121,471.127248820595,9025.01559725723,48260.0536850189,33925.0393419725,41283.3778583816,591.893977779643,9045.48634635067,4643.11645779824,19935.3217978713,17502.3160034678,15849.2809895211,227.458539278452,4754.9197009119,2463.67577024291,16077.4620678368,10747.2348863385,10486.0432641332,150.3703545637,2726.22022070677,1708.90410958904,8799.08675799087,4433.7899543379,2901.82648401827,71.9178082191781,1179.22374429224,4727.16894977169,21878.9954337899,10686.0730593607,6960.04566210046,152.96803652968,7320.77625570776,578.767123287671,2289.95433789954,874.429223744292,755.707762557078,9.1324200913242,1315.06849315069,72.497347747766,114.994947373163,221.630536818841,270.397945105649,4.08091435338092,132.997499278409,157.602929886448,249.989016028614,481.805514823569,587.821619794888,8.87155294213244,289.124998431324,181.243369369415,287.487368432906,554.076342047104,675.994862764122,10.2022858834523,332.493748196023,9634.70319634703,25931.5068493151,12180.3652968037,8244.29223744292,208.904109589041,16422.3744292237,2253.58339184742,13857.7522602861,9808.08962033979,16838.4408115269,477.374369735447,5321.12040233022,472.602739726027,3912.100456621,369.86301369863,794.520547945206,20.5479452054794,1714.61187214612,5797.94520547945,31715.7534246575,15259.1324200913,13481.7351598174,275.114155251141,5970.3196347032,-513.698630136986,-2768.26484018265,-1489.72602739726,-1021.68949771689,-35.3881278538813,-288.812785388128,5398.40182648402,170.253678012239,706.13723767334,758.190790576881,385.251521594265,10.9219852579693,1086.40344860717,804.224225719509,1335.45103460168,3022.17465242435,999.832857476866,28.3455330289295,3714.60832164281,235.57372544573,352.691536993678,2195.86133067159,537.660302074945,15.2428155734642,872.837316829614
2013-01-01 08:00:00,2622.51407073029,14763.5744695794,24564.2332946209,10874.0704996141,110.429357220828,6062.05667078132,3282.64331814704,18029.9002135713,16524.929389886,13292.5363257513,375.960351938207,3949.41978976252,173.722483046495,953.857645247454,874.419716143593,821.967293999475,23.2037583526045,209.345176005436,5199.6373634082,28549.6371259777,26172.0034599331,24602.065192882,694.504975901173,6265.84987687404,477.098353519599,18293.2435695931,9758.29023882479,8148.67107532287,933.896135433054,864.881026019831,240.544379811422,7422.00052835101,4936.72307184657,3046.15418324867,349.427693283357,446.211609019863,8682.00823436992,46401.915046289,32656.0277513909,39932.0510101398,572.42855556731,8728.93648130423,4377.31187049334,18826.3517445592,16520.6979593352,14927.4873296339,214.180551939705,4503.45501308943,2353.93764038865,15377.9486901383,10276.9006612173,10068.8381055866,144.361172921714,2614.01100350087,1708.90410958904,8799.08675799087,4433.7899543379,2901.82648401827,71.9178082191781,1179.22374429224,4727.16894977169,21878.9954337899,10686.0730593607,6960.04566210046,152.96803652968,7320.77625570776,578.767123287671,2289.95433789954,874.429223744292,755.707762557078,9.1324200913242,1315.06849315069,72.497347747766,114.994947373163,221.630536818841,270.397945105649,4.08091435338092,132.997499278409,157.602929886448,249.989016028614,481.805514823569,587.821619794888,8.87155294213244,289.124998431324,181.243369369415,287.487368432906,554.076342047104,675.994862764122,10.2022858834523,332.493748196023,9634.70319634703,25931.5068493151,12180.3652968037,8244.29223744292,208.904109589041,16422.3744292237,2253.58339184742,13857.7522602861,9808.08962033979,16838.4408115269,477.374369735447,5321.12040233022,472.602739726027,3912.100456621,369.86301369863,794.520547945206,20.5479452054794,1714.61187214612,5797.94520547945,31715.7534246575,15259.1324200913,13481.7351598174,275.114155251141,5970.3196347032,-513.698630136986,-2768.26484018265,-1489.72602739726,-1021.68949771689,-35.3881278538813,-288.812785388128,5398.40182648402,170.253678012239,706.13723767334,758.190790576881,385.251521594265,10.9219852579693,1086.40344860717,804.224225719509,1335.45103460168,3022.17465242435,999.832857476866,28.3455330289295,3714.60832164281,235.57372544573,352.691536993678,2195.86133067159,537.660302074945,15.2428155734642,872.837316829614
2013-01-01 09:00:00,2867.67999728975,16403.7779286993,26447.9432731323,12892.1301952458,149.704238718725,6594.58754668801,2966.22822060049,16272.3451170785,14922.0033290621,13507.7088759451,381.56921824432,3574.22353534209,160.499614385902,878.326690887111,806.263063985323,713.989046488606,20.1514283651281,193.778079648385,4803.86750833046,26288.941990272,24132.0264292565,21370.1995163905,603.146570414383,5799.91562105158,458.484461655587,17569.8428337257,9383.81596864403,7845.27488607274,898.955913295163,833.908032002393,226.281893562831,6995.10689935706,4650.30662672351,2879.2049162148,330.201417500184,421.883010797247,8343.281510111,44566.9654725602,31402.8530804275,38445.2770327108,551.01206166532,8416.33707250666,4117.76994975652,17743.5103211112,15562.2079829682,14109.3629280378,202.395869620191,4257.91512705253,2246.09993741395,14690.062249939,9814.70929837138,9645.80048386077,138.267980386851,2503.75260774515,1708.90410958904,8799.08675799087,4433.7899543379,2901.82648401827,71.9178082191781,1179.22374429224,4727.16894977169,21878.9954337899,10686.0730593607,6960.04566210046,152.96803652968,7320.77625570776,578.767123287671,2289.95433789954,874.429223744292,755.707762557078,9.1324200913242,1315.06849315069,72.497347747766,114.994947373163,221.630536818841,270.397945105649,4.08091435338092,132.997499278409,157.602929886448,249.989016028614,481.805514823569,587.821619794888,8.87155294213244,289.124998431324,181.243369369415,287.487368432906,554.076342047104,675.994862764122,10.2022858834523,332.493748196023,9634.70319634703,25931.5068493151,12180.3652968037,8244.29223744292,208.904109589041,16422.3744292237,2253.58339184742,13857.7522602861,9808.08962033979,16838.4408115269,477.374369735447,5321.12040233022,472.602739726027,3912.100456621,369.86301369863,794.520547945206,20.5479452054794,1714.61187214612,5797.94520547945,31715.7534246575,15259.1324200913,13481.7351598174,275.114155251141,5970.3196347032,-513.698630136986,-2768.26484018265,-1489.72602739726,-1021.68949771689,-35.3881278538813,-288.812785388128,5398.40182648402,170.253678012239,706.13723767334,758.190790576881,385.251521594265,10.9219852579693,1086.40344860717,804.224225719509,1335.45103460168,3022.17465242435,999.832857476866,28.3455330289295,3714.60832164281,235.57372544573,352.691536993678,2195.86133067159,537.660302074945,15.2428155734642,872.837316829614
