index,CZ -> SK,CZ -> AT,CZ -> DE,CZ -> PL
2017-01-01 03:00:00+0000,1208.0,2146.0,1373.0,0.0
2017-01-01 04:00:00+0000,1204.0,2190.0,1352.0,0.0
2017-01-01 05:00:00+0000,1054.0,2102.0,1292.0,2.0
2017-01-01 06:00:00+0000,977.0,2142.0,1260.0,16.0
2017-01-01 07:00:00+0000,1060.0,2230.0,1327.0,15.0
2017-01-01 08:00:00+0000,1248.0,2297.0,1246.0,1.0
2017-01-01 09:00:00+0000,1276.0,2227.0,1245.0,0.0
2017-01-01 10:00:00+0000,1309.0,2286.0,1276.0,0.0
2017-01-01 11:00:00+0000,1279.0,2186.0,1288.0,0.0
2017-01-01 12:00:00+0000,1250.0,2097.0,1244.0,0.0
2017-01-01 13:00:00+0000,1212.0,1949.0,1130.0,0.0
2017-01-01 14:00:00+0000,1230.0,1723.0,1103.0,0.0
2017-01-01 15:00:00+0000,1285.0,1622.0,1330.0,0.0
2017-01-01 16:00:00+0000,1210.0,1667.0,1359.0,0.0
2017-01-01 17:00:00+0000,1090.0,1541.0,1425.0,0.0
2017-01-01 18:00:00+0000,1065.0,1596.0,1404.0,0.0
2017-01-01 19:00:00+0000,1307.0,1850.0,1394.0,0.0
2017-01-01 20:00:00+0000,1339.0,1918.0,1365.0,0.0
2017-01-01 21:00:00+0000,1174.0,1864.0,1484.0,0.0
2017-01-01 22:00:00+0000,1067.0,1942.0,1564.0,0.0
2017-01-01 23:00:00+0000,1141.0,2055.0,1471.0,0.0
2017-01-02 00:00:00+0000,1066.0,1941.0,1334.0,0.0
2017-01-02 01:00:00+0000,1022.0,2053.0,1325.0,0.0
2017-01-02 02:00:00+0000,1051.0,2121.0,1333.0,0.0
2017-01-02 03:00:00+0000,1142.0,2136.0,1306.0,0.0
2017-01-02 04:00:00+0000,1292.0,2164.0,1175.0,0.0
2017-01-02 05:00:00+0000,1374.0,2167.0,1083.0,0.0
2017-01-02 06:00:00+0000,1200.0,1887.0,1114.0,0.0
2017-01-02 07:00:00+0000,1304.0,1837.0,1261.0,0.0
2017-01-02 08:00:00+0000,1396.0,1776.0,1286.0,0.0
2017-01-02 09:00:00+0000,1347.0,1667.0,1257.0,0.0
2017-01-02 10:00:00+0000,1337.0,1586.0,1231.0,0.0
2017-01-02 11:00:00+0000,1287.0,1375.0,1008.0,0.0
2017-01-02 12:00:00+0000,1282.0,1336.0,1050.0,0.0
2017-01-02 13:00:00+0000,1293.0,1385.0,1160.0,0.0
2017-01-02 14:00:00+0000,1324.0,1389.0,1157.0,0.0
2017-01-02 15:00:00+0000,1299.0,1312.0,1117.0,0.0
2017-01-02 16:00:00+0000,1261.0,1295.0,1220.0,0.0
2017-01-02 17:00:00+0000,1132.0,1298.0,1378.0,0.0
2017-01-02 18:00:00+0000,1104.0,1218.0,1387.0,0.0
2017-01-02 19:00:00+0000,1244.0,1394.0,1348.0,0.0
2017-01-02 20:00:00+0000,1131.0,1504.0,1393.0,0.0
2017-01-02 21:00:00+0000,1093.0,1597.0,1542.0,0.0
2017-01-02 22:00:00+0000,1068.0,1658.0,1634.0,0.0
2017-01-02 23:00:00+0000,786.0,1467.0,1566.0,0.0
2017-01-03 00:00:00+0000,710.0,1158.0,1507.0,0.0
2017-01-03 01:00:00+0000,801.0,1259.0,1461.0,0.0
2017-01-03 02:00:00+0000,794.0,1363.0,1482.0,0.0
2017-01-03 03:00:00+0000,771.0,1389.0,1351.0,0.0
2017-01-03 04:00:00+0000,826.0,1378.0,1146.0,0.0
2017-01-03 05:00:00+0000,1117.0,1405.0,1014.0,0.0
2017-01-03 06:00:00+0000,1034.0,1327.0,928.0,0.0
2017-01-03 07:00:00+0000,1111.0,1254.0,901.0,0.0
2017-01-03 08:00:00+0000,1240.0,1161.0,955.0,0.0
2017-01-03 09:00:00+0000,1238.0,1215.0,911.0,0.0
2017-01-03 10:00:00+0000,1278.0,1136.0,893.0,0.0
2017-01-03 11:00:00+0000,1249.0,904.0,698.0,0.0
