Week,2023,Dispa-SET_Date
1,1.0,2023-01-01 00:00:00+00:00
2,1.0,2023-01-08 00:00:00+00:00
3,1.0,2023-01-15 00:00:00+00:00
4,1.0,2023-01-22 00:00:00+00:00
5,1.0,2023-01-29 00:00:00+00:00
6,1.0,2023-02-05 00:00:00+00:00
7,1.0,2023-02-12 00:00:00+00:00
8,1.0,2023-02-19 00:00:00+00:00
9,1.0,2023-02-26 00:00:00+00:00
10,1.0,2023-03-05 00:00:00+00:00
11,1.0,2023-03-12 00:00:00+00:00
12,1.0,2023-03-19 00:00:00+00:00
13,1.0,2023-03-26 00:00:00+00:00
14,1.0,2023-04-02 00:00:00+00:00
15,1.0,2023-04-09 00:00:00+00:00
16,1.0,2023-04-16 00:00:00+00:00
17,1.0,2023-04-23 00:00:00+00:00
18,1.0,2023-04-30 00:00:00+00:00
19,1.0,2023-05-07 00:00:00+00:00
20,1.0,2023-05-14 00:00:00+00:00
21,1.0,2023-05-21 00:00:00+00:00
22,1.0,2023-05-28 00:00:00+00:00
23,1.0,2023-06-04 00:00:00+00:00
24,1.0,2023-06-11 00:00:00+00:00
25,1.0,2023-06-18 00:00:00+00:00
26,1.0,2023-06-25 00:00:00+00:00
27,1.0,2023-07-02 00:00:00+00:00
28,1.0,2023-07-09 00:00:00+00:00
29,1.0,2023-07-16 00:00:00+00:00
30,1.0,2023-07-23 00:00:00+00:00
31,1.0,2023-07-30 00:00:00+00:00
32,1.0,2023-08-06 00:00:00+00:00
33,1.0,2023-08-13 00:00:00+00:00
34,1.0,2023-08-20 00:00:00+00:00
35,1.0,2023-08-27 00:00:00+00:00
36,1.0,2023-09-03 00:00:00+00:00
37,1.0,2023-09-10 00:00:00+00:00
38,1.0,2023-09-17 00:00:00+00:00
39,1.0,2023-09-24 00:00:00+00:00
40,1.0,2023-10-01 00:00:00+00:00
41,1.0,2023-10-08 00:00:00+00:00
42,1.0,2023-10-15 00:00:00+00:00
43,1.0,2023-10-22 00:00:00+00:00
44,1.0,2023-10-29 00:00:00+00:00
45,1.0,2023-11-05 00:00:00+00:00
46,1.0,2023-11-12 00:00:00+00:00
47,1.0,2023-11-19 00:00:00+00:00
48,1.0,2023-11-26 00:00:00+00:00
49,1.0,2023-12-03 00:00:00+00:00
50,1.0,2023-12-10 00:00:00+00:00
51,1.0,2023-12-17 00:00:00+00:00
52,1.0,2023-12-24 00:00:00+00:00
53,1.0,2023-12-31 00:00:00+00:00
54,1.0,2024-01-07 00:00:00+00:00
