index,PL -> SE,PL -> SK,PL -> CZ,PL -> LT,PL -> DE,PL -> PL
2023-01-01 03:00:00+0000,0.0,1035.0,1504.0,0.0,0.0,0.0
2023-01-01 04:00:00+0000,0.0,1010.0,1354.0,0.0,0.0,0.0
2023-01-01 05:00:00+0000,0.0,1005.0,1328.0,0.0,0.0,0.0
2023-01-01 06:00:00+0000,0.0,974.0,1256.0,1.0,0.0,0.0
2023-01-01 07:00:00+0000,0.0,710.0,1017.0,164.0,0.0,0.0
2023-01-01 08:00:00+0000,5.0,610.0,864.0,385.0,0.0,5.0
2023-01-01 09:00:00+0000,195.0,626.0,899.0,358.0,0.0,195.0
2023-01-01 10:00:00+0000,322.0,686.0,1077.0,491.0,0.0,322.0
2023-01-01 11:00:00+0000,238.0,640.0,850.0,492.0,0.0,238.0
2023-01-01 12:00:00+0000,390.0,534.0,652.0,492.0,0.0,390.0
2023-01-01 13:00:00+0000,301.0,554.0,674.0,492.0,0.0,301.0
2023-01-01 14:00:00+0000,182.0,550.0,604.0,482.0,0.0,182.0
2023-01-01 15:00:00+0000,0.0,720.0,778.0,7.0,0.0,0.0
2023-01-01 16:00:00+0000,0.0,679.0,683.0,0.0,0.0,0.0
2023-01-01 17:00:00+0000,0.0,693.0,760.0,0.0,0.0,0.0
2023-01-01 18:00:00+0000,0.0,729.0,642.0,0.0,0.0,0.0
2023-01-01 19:00:00+0000,0.0,762.0,666.0,0.0,0.0,0.0
2023-01-01 20:00:00+0000,0.0,769.0,823.0,0.0,0.0,0.0
2023-01-01 21:00:00+0000,0.0,630.0,678.0,0.0,0.0,0.0
2023-01-01 22:00:00+0000,0.0,558.0,624.0,0.0,0.0,0.0
2023-01-01 23:00:00+0000,0.0,818.0,886.0,0.0,0.0,0.0
2023-01-02 00:00:00+0000,0.0,706.0,794.0,0.0,0.0,0.0
2023-01-02 01:00:00+0000,0.0,609.0,717.0,0.0,0.0,0.0
2023-01-02 02:00:00+0000,0.0,596.0,783.0,0.0,0.0,0.0
2023-01-02 03:00:00+0000,0.0,610.0,814.0,142.0,0.0,0.0
2023-01-02 04:00:00+0000,0.0,729.0,1069.0,1.0,0.0,0.0
2023-01-02 05:00:00+0000,0.0,747.0,1339.0,0.0,0.0,0.0
2023-01-02 06:00:00+0000,0.0,652.0,1081.0,0.0,0.0,0.0
2023-01-02 07:00:00+0000,0.0,655.0,1018.0,0.0,0.0,0.0
2023-01-02 08:00:00+0000,174.0,432.0,502.0,288.0,0.0,174.0
2023-01-02 09:00:00+0000,209.0,351.0,407.0,258.0,0.0,209.0
2023-01-02 10:00:00+0000,424.0,234.0,205.0,485.0,0.0,424.0
2023-01-02 11:00:00+0000,218.0,420.0,445.0,369.0,0.0,218.0
2023-01-02 12:00:00+0000,393.0,338.0,245.0,427.0,0.0,393.0
2023-01-02 13:00:00+0000,379.0,479.0,411.0,389.0,0.0,379.0
2023-01-02 14:00:00+0000,15.0,649.0,697.0,74.0,0.0,15.0
2023-01-02 15:00:00+0000,0.0,946.0,1229.0,0.0,0.0,0.0
2023-01-02 16:00:00+0000,0.0,877.0,1145.0,0.0,0.0,0.0
2023-01-02 17:00:00+0000,0.0,768.0,924.0,0.0,0.0,0.0
2023-01-02 18:00:00+0000,0.0,574.0,639.0,43.0,0.0,0.0
2023-01-02 19:00:00+0000,0.0,689.0,871.0,0.0,0.0,0.0
2023-01-02 20:00:00+0000,0.0,868.0,1270.0,0.0,0.0,0.0
2023-01-02 21:00:00+0000,0.0,945.0,1228.0,0.0,0.0,0.0
2023-01-02 22:00:00+0000,0.0,1049.0,1478.0,0.0,0.0,0.0
2023-01-02 23:00:00+0000,0.0,1143.0,1700.0,0.0,2.0,0.0
2023-01-03 00:00:00+0000,0.0,1114.0,1681.0,0.0,37.0,0.0
2023-01-03 01:00:00+0000,0.0,1059.0,1751.0,0.0,47.0,0.0
2023-01-03 02:00:00+0000,0.0,980.0,1572.0,0.0,0.0,0.0
2023-01-03 03:00:00+0000,0.0,1090.0,1683.0,0.0,5.0,0.0
2023-01-03 04:00:00+0000,0.0,1082.0,1492.0,0.0,0.0,0.0
2023-01-03 05:00:00+0000,0.0,1014.0,1321.0,0.0,0.0,0.0
2023-01-03 06:00:00+0000,0.0,1059.0,1411.0,0.0,0.0,0.0
2023-01-03 07:00:00+0000,0.0,838.0,1132.0,0.0,0.0,0.0
2023-01-03 08:00:00+0000,0.0,807.0,1102.0,0.0,0.0,0.0
2023-01-03 09:00:00+0000,0.0,840.0,1072.0,0.0,0.0,0.0
2023-01-03 10:00:00+0000,0.0,943.0,1220.0,0.0,0.0,0.0
2023-01-03 11:00:00+0000,0.0,850.0,1049.0,0.0,0.0,0.0
2023-01-03 12:00:00+0000,0.0,789.0,972.0,0.0,0.0,0.0
2023-01-03 13:00:00+0000,0.0,872.0,1046.0,0.0,0.0,0.0
2023-01-03 14:00:00+0000,0.0,981.0,1122.0,0.0,0.0,0.0
2023-01-03 15:00:00+0000,0.0,1040.0,1173.0,0.0,0.0,0.0
2023-01-03 16:00:00+0000,0.0,983.0,1251.0,0.0,0.0,0.0
2023-01-03 17:00:00+0000,0.0,982.0,1267.0,0.0,0.0,0.0
2023-01-03 18:00:00+0000,0.0,986.0,1206.0,0.0,0.0,0.0
2023-01-03 19:00:00+0000,0.0,881.0,1070.0,0.0,0.0,0.0
2023-01-03 20:00:00+0000,0.0,832.0,964.0,0.0,0.0,0.0
2023-01-03 21:00:00+0000,0.0,744.0,833.0,0.0,0.0,0.0
2023-01-03 22:00:00+0000,0.0,774.0,905.0,0.0,0.0,0.0
2023-01-03 23:00:00+0000,0.0,867.0,1087.0,0.0,0.0,0.0
2023-01-04 00:00:00+0000,0.0,775.0,1031.0,0.0,0.0,0.0
2023-01-04 01:00:00+0000,0.0,547.0,683.0,293.0,0.0,0.0
2023-01-04 02:00:00+0000,0.0,582.0,719.0,263.0,0.0,0.0
2023-01-04 03:00:00+0000,0.0,712.0,959.0,275.0,0.0,0.0
2023-01-04 04:00:00+0000,0.0,826.0,1106.0,4.0,0.0,0.0
2023-01-04 05:00:00+0000,0.0,880.0,1231.0,0.0,0.0,0.0
2023-01-04 06:00:00+0000,0.0,1120.0,1497.0,0.0,0.0,0.0
2023-01-04 07:00:00+0000,0.0,1042.0,1517.0,0.0,0.0,0.0
2023-01-04 08:00:00+0000,0.0,983.0,1511.0,0.0,0.0,0.0
2023-01-04 09:00:00+0000,0.0,919.0,1368.0,0.0,0.0,0.0
2023-01-04 10:00:00+0000,0.0,842.0,1157.0,0.0,0.0,0.0
2023-01-04 11:00:00+0000,0.0,866.0,1237.0,0.0,0.0,0.0
2023-01-04 12:00:00+0000,0.0,707.0,1114.0,0.0,0.0,0.0
2023-01-04 13:00:00+0000,0.0,690.0,1092.0,0.0,0.0,0.0
2023-01-04 14:00:00+0000,0.0,716.0,1141.0,0.0,0.0,0.0
2023-01-04 15:00:00+0000,0.0,879.0,1275.0,0.0,0.0,0.0
2023-01-04 16:00:00+0000,0.0,976.0,1309.0,0.0,0.0,0.0
2023-01-04 17:00:00+0000,0.0,857.0,1204.0,0.0,0.0,0.0
2023-01-04 18:00:00+0000,0.0,920.0,1160.0,0.0,0.0,0.0
2023-01-04 19:00:00+0000,0.0,971.0,1251.0,0.0,0.0,0.0
2023-01-04 20:00:00+0000,0.0,1010.0,1360.0,0.0,0.0,0.0
2023-01-04 21:00:00+0000,0.0,1142.0,1490.0,0.0,0.0,0.0
2023-01-04 22:00:00+0000,0.0,1159.0,1342.0,0.0,0.0,0.0
2023-01-04 23:00:00+0000,40.0,1073.0,1255.0,0.0,0.0,40.0
2023-01-05 00:00:00+0000,0.0,1041.0,1319.0,0.0,0.0,0.0
2023-01-05 01:00:00+0000,0.0,1008.0,1256.0,0.0,0.0,0.0
2023-01-05 02:00:00+0000,0.0,1038.0,1371.0,0.0,0.0,0.0
2023-01-05 03:00:00+0000,0.0,989.0,1279.0,0.0,0.0,0.0
2023-01-05 04:00:00+0000,0.0,1104.0,1475.0,0.0,0.0,0.0
2023-01-05 05:00:00+0000,0.0,1062.0,1524.0,0.0,0.0,0.0
2023-01-05 06:00:00+0000,0.0,1026.0,1468.0,0.0,0.0,0.0
2023-01-05 07:00:00+0000,0.0,898.0,1364.0,0.0,0.0,0.0
2023-01-05 08:00:00+0000,0.0,850.0,1321.0,0.0,0.0,0.0
2023-01-05 09:00:00+0000,0.0,777.0,1163.0,0.0,0.0,0.0
2023-01-05 10:00:00+0000,0.0,869.0,1286.0,0.0,0.0,0.0
2023-01-05 11:00:00+0000,0.0,907.0,1406.0,0.0,0.0,0.0
2023-01-05 12:00:00+0000,0.0,808.0,1254.0,0.0,0.0,0.0
2023-01-05 13:00:00+0000,0.0,691.0,1086.0,0.0,0.0,0.0
2023-01-05 14:00:00+0000,0.0,709.0,1021.0,0.0,0.0,0.0
2023-01-05 15:00:00+0000,0.0,669.0,974.0,0.0,0.0,0.0
2023-01-05 16:00:00+0000,0.0,500.0,709.0,0.0,0.0,0.0
2023-01-05 17:00:00+0000,0.0,510.0,716.0,0.0,1.0,0.0
2023-01-05 18:00:00+0000,0.0,507.0,721.0,0.0,1.0,0.0
2023-01-05 19:00:00+0000,0.0,496.0,681.0,0.0,71.0,0.0
2023-01-05 20:00:00+0000,0.0,547.0,738.0,0.0,4.0,0.0
2023-01-05 21:00:00+0000,0.0,608.0,751.0,0.0,0.0,0.0
2023-01-05 22:00:00+0000,0.0,662.0,843.0,0.0,79.0,0.0
2023-01-05 23:00:00+0000,0.0,826.0,1066.0,0.0,229.0,0.0
2023-01-06 00:00:00+0000,0.0,800.0,1188.0,0.0,145.0,0.0
2023-01-06 01:00:00+0000,0.0,706.0,960.0,0.0,0.0,0.0
2023-01-06 02:00:00+0000,0.0,626.0,771.0,0.0,0.0,0.0
2023-01-06 03:00:00+0000,0.0,715.0,831.0,0.0,0.0,0.0
2023-01-06 04:00:00+0000,0.0,830.0,1112.0,0.0,0.0,0.0
2023-01-06 05:00:00+0000,0.0,904.0,1249.0,0.0,0.0,0.0
2023-01-06 06:00:00+0000,0.0,841.0,1273.0,0.0,0.0,0.0
2023-01-06 07:00:00+0000,0.0,726.0,1180.0,0.0,0.0,0.0
2023-01-06 08:00:00+0000,0.0,622.0,1079.0,0.0,0.0,0.0
2023-01-06 09:00:00+0000,0.0,668.0,1173.0,0.0,0.0,0.0
2023-01-06 10:00:00+0000,0.0,615.0,1170.0,0.0,0.0,0.0
2023-01-06 11:00:00+0000,0.0,607.0,1203.0,0.0,0.0,0.0
2023-01-06 12:00:00+0000,0.0,759.0,1289.0,0.0,0.0,0.0
2023-01-06 13:00:00+0000,0.0,853.0,1355.0,0.0,0.0,0.0
2023-01-06 14:00:00+0000,0.0,1010.0,1571.0,0.0,0.0,0.0
