,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon
,MOL EBRO,,1.0,ES,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FGASNE2,,1.0,ES,,,PHOT,SUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FREGP2,,1.0,ES,,,PHOT,SUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PEVER,,1.0,ES,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FRSIGMA,,1.0,ES,,,PHOT,SUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HABGN,,1.0,ES,,,PHOT,SUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FVGREEN,,1.0,ES,,,PHOT,SUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COMETAS,,1.0,ES,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FLAISLA,,1.0,ES,,,PHOT,SUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UPRENCIERZ,,1.0,ES,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EFPART,,1.0,ES,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLIFV48,,1.0,ES,,,PHOT,SUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALFOZ,,1.0,ES,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESTELO,,1.0,ES,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EMEDI1,,1.0,ES,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPRADA2,,1.0,ES,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
