Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon
,Avedoerevaerket,815.0,1.0,DK,,,STUR,BIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asnaesvaerket,787.0,1.0,DK,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Studstrupvaerket,730.0,1.0,DK,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kyndbyvaerket,664.0,1.0,DK,,,STUR,OIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DK_KF_AB_PU,604.0,1.0,DK,,,WTOF,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amagervaerket,479.0,1.0,DK,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fynsvaerket,407.0,1.0,DK,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Horns Rev C,407.0,1.0,DK,,,WTOF,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nordjyllandsvaerket,405.0,1.0,DK,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Anholt,400.0,1.0,DK,,,WTOF,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Skaerbaekvaerket,392.0,1.0,DK,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Esbjergvaerket,377.0,1.0,DK,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Solar Park Kassoe,303.0,1.0,DK,,,PHOT,SUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Horns Rev B,209.0,1.0,DK,,,WTOF,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Roedsand 2,207.0,1.0,DK,,,WTOF,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vesterhav Nord,,1.0,DK,,,WTOF,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vesterhav Syd,,1.0,DK,,,WTOF,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Solar Park Gedmosen,165.0,1.0,DK,,,PHOT,SUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Roedsand 1,166.0,1.0,DK,,,WTOF,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Horns Rev A,160.0,1.0,DK,,,WTOF,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Silkeborgvaerket,108.0,1.0,DK,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
