Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Sector1,EfficiencySector1,ChargingEfficiencySector1,Sector2,EfficiencySector2,ChargingEfficiencySector2
BE1 0 offwind-ac-2030,1738.1993735928063,1,BE,,,WTOF,WIN,1.0,0.0,0.0,0.35,0.35,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
BE1 0 offwind-dc-2030,1999.999446467558,1,BE,,,WTOF,WIN,1.0,0.0,0.0,0.35,0.35,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
BE1 0 onwind-2030,3024.398849192293,1,BE,,,WTON,WIN,1.0000000000000002,0.0,0.0,0.275,0.275,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
BE1 0 ror,59.015339742579165,1,BE,,,HROR,WAT,0.9,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,,,,,,,,,,,,,,,,,,,,
BE1 0 solar-2030,5103.599411764723,1,BE,,,PHOT,SUN,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
BE1 0 oil,17228.517766934165,1,BE,,,STUR,OIL,1.0,8.0,6.0,0.0025693731,0.0025693731,35280.965,0.0,0.0,0.3,0.41,7.0,0.79,,,,,,,,,,,,,,,,,,,,
BE1 0 solar rooftop-2030,1999.9963678420588,1,BE,,,PHOT,SUN,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
BE1 0  onwind-2005,153.0,1,BE,,,WTON,WIN,1.0,0.0,0.0,0.275,0.275,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
BE1 0  onwind-2010,548.5,1,BE,,,WTON,WIN,1.0,0.0,0.0,0.275,0.275,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
BE1 0  solar-2010,1004.6,1,BE,,,PHOT,SUN,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
BE1 0  onwind-2015,753.8,1,BE,,,WTON,WIN,1.0,0.0,0.0,0.275,0.275,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
BE1 0  solar-2015,2125.0,1,BE,,,PHOT,SUN,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
BE1 0  onwind-2020,941.6,1,BE,,,WTON,WIN,1.0,0.0,0.0,0.275,0.275,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
BE1 0  solar-2020,2441.2000000000003,1,BE,,,PHOT,SUN,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,,,,,,,,,,,,,,,,,,,,
BE1 0  onwind-2025,578.6999999999998,1,BE,,,WTON,WIN,1.0,0.0,0.0,0.275,0.275,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
BE1 0  solar-2025,1325.5999999999997,1,BE,,,PHOT,SUN,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
BE1 0 OCGT-2030,7406.010419693173,1,BE,,,GTUR,GAS,0.41,0.55,0.625,0.15415,0.15415,47.26,0.0,0.73,0.35,0.525,0.1,0.65,,,,,,,,,,,,,,,,,,,,
BE1 0 CCGT-2030,0.2401439024958631,1,BE,,,COMC,GAS,0.58,3.125,3.25,0.06415,0.06415,21.4,0.0,0.375,0.325,0.525,1.0,0.4,,,,,,,,,,,,,,,,,,,,
BE1 0 nuclear-2030,240.8594147410305,1,BE,,,STUR,NUC,0.326,87.0,26.0,0.05125,0.05125,200000.0,0.0,0.0,0.35,0.405,6.0,0.0,,,,,,,,,,,,,,,,,,,,
BE1 0 H2 Fuel Cell-2030,126.6325297560195,1,BE,,,GTUR,HYD,0.5,0.55,0.625,0.15415,0.15415,47.26,0.0,0.73,0.35,0.525,0.1,0.65,,,,,,,,,,,,,,,,,,,,
BE1 0 H2 turbine-2030,0.7740542703089518,1,BE,,,GTUR,HYD,0.397,0.0,0.0,0.092068966,0.092068966,1866.996374,868.0702473,0.0,0.172413793,0.11,0.0,0.65,,,,,,,,,,,,,,,,,,,,
BE1 0 urban central gas CHP CC-2030,0.1133408690858897,1,BE,,,ICEN,GAS,0.3882199999999999,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.3,0.49,0.0,0.7,,,,,,,,,,,,,,,,,,,,
BE1 0 urban central solid biomass CHP-2030,81.98009294168544,1,BE,,,STUR,BIO,0.2699,4.0,6.0,0.02,0.02,0.0,0.0,1.3,0.35,0.35,1.0,0.0,,,,,,,,,,,,,,,,,,,,
BE1 0 urban central solid biomass CHP CC-2030,624.2308796648961,1,BE,,,STUR,BIO,0.2295629999999999,8.0,6.0,0.0111607143,0.0111607143,2000.0,0.0,0.0,0.2,0.45,0.0,0.0,,,,,,,,,,,,,,,,,,,,
BE1 0 nuclear-1975,2000.0,1,BE,,,STUR,NUC,1.0,87.0,26.0,0.05125,0.05125,200000.0,0.0,0.0,0.35,0.405,6.0,0.0,,,,,,,,,,,,,,,,,,,,
BE1 0 CCGT-1995,1559.8,1,BE,,,COMC,GAS,0.58,5.0,1.0,0.0079107649,0.0079107649,112542.12,0.0,0.0,0.4,0.525,0.0,0.4,,,,,,,,,,,,,,,,,,,,
BE1 0 CCGT-2000,1682.3,1,BE,,,COMC,GAS,0.58,5.0,1.0,0.0061678631,0.0061678631,112542.12,0.0,0.0,0.4,0.525,1.0,0.4,,,,,,,,,,,,,,,,,,,,
BE1 0 CCGT-2005,386.2,1,BE,,,COMC,GAS,0.58,3.125,3.25,0.06415,0.06415,21.4,0.0,0.375,0.325,0.57,1.0,0.4,,,,,,,,,,,,,,,,,,,,
BE1 0 CCGT-2010,651.0,1,BE,,,COMC,GAS,0.58,5.0,1.0,0.016330409,0.016330409,112542.12,0.0,0.0,0.4,0.525,1.0,0.4,,,,,,,,,,,,,,,,,,,,
BE1 0 CCGT-2015,2000.0,1,BE,,,COMC,GAS,0.58,5.0,1.0,0.005585,0.005585,112542.12,0.0,0.0,0.4,0.525,1.0,0.4,,,,,,,,,,,,,,,,,,,,
BE1 0 PHS,1308.0,1,BE,,,HPHS,WAT,0.8660254037844386,0.0,0.0,0.066666667,0.066666667,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,5710.000000000001,0.0,,0.8660254037844386,,,,,,,,
BE1 0 hydro,12.73566878980889,1,BE,,,HDAM,WAT,0.9,0.0,0.0,0.0666666666666667,0.0666666666666667,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,200000.0,0.0,,0.0,,,,,,,,
