Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon,Lat/Lon
,links urban central gas CHP_3,99.46142334313035,1,BE,,,STUR,GAS,0.46,4.0,6.0,0.02,0.02,,,1.3,0.35,0.35,1.0,0.0,back-pressure,0.6,0.0,165.76903890521726,,,,,,,,,,,,,,,,
,links urban central gas CHP_4,49.730711671565174,1,BE,,,ICEN,GAS,0.421,,,0.0572,0.0572,1200.0,85.0,0.0,0.8581,0.4063,0.0,0.0,back-pressure,0.45,0.0,110.51269260347816,,,,,,,,,,,,,,,,
,links urban central gas CHP CC,0.2527252137448588,1,BE,,,COMC,GAS,0.525,5.0,1.0,0.2482222222,0.2482222222,112542.12,0.0,0.0,0.4,0.525,1.0,0.45,back-pressure,0.65,0.0,0.3888080211459366,,,,,,,,,,,,,,,,
,links urban central resistive heater,3058.4872460705647,1,BE,,,REHE,ELE,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.15,1.0,0.0,0.0,p2h,,0.0,3058.4872460705647,1.0,,,,,,,,,,,,,,,
,links urban central solid biomass CHP_1,54.670941940961754,1,BE,,,STUR,BIO,0.26666666666666666,2.6666666666666665,2.0,0.016666667,0.018518519,10082.092482,389.9690275,0.0,0.3765432096666667,0.25,0.0,0.9551715676666667,back-pressure,0.6,0.0,91.1182365682696,,,,,,,,,,,,,,,,
,links urban central solid biomass CHP_2,27.335470970480877,1,BE,,,ICEN,BIO,0.421,,,0.0572,0.0572,1200.0,85.0,0.0,0.8581,0.4063,0.0,0.0,back-pressure,0.45,0.0,60.745491045513056,,,,,,,,,,,,,,,,
,links urban central solid biomass CHP CC_1,1093.757634810267,1,BE,,,STUR,BIO,0.395,8.0,6.0,0.00456621,0.00456621,117242.17,0.0,0.0,0.3,0.395,7.0,0.95,back-pressure,0.6,0.0,1822.9293913504453,,,,,,,,,,,,,,,,
,links urban central solid biomass CHP CC_2,546.8788174051335,1,BE,,,ICEN,BIO,0.421,,,0.0572,0.0572,1200.0,85.0,0.0,0.8581,0.4063,0.0,0.0,back-pressure,0.45,0.0,1215.2862609002966,,,,,,,,,,,,,,,,
,storage_units PHS,1308.0,1,BE,,,HPHS,WAT,0.8,0.0,0.0,0.066666667,0.066666667,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,5709.999613074326,0.0,1308.0,0.8,,,,,,,,
,storage_units hydro,12.73566878980889,1,BE,,,HDAM,WAT,0.8,0.0,0.0,0.0666666666666667,0.0666666666666667,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,105721.12079321907,0.0,0.0,0.8,,,,,,,,
,links CCGT_1,2885.685974003053,1,BE,,,COMC,GAS,0.525,5.0,1.0,0.0055710723,0.0055710723,112542.12,0.0,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,links CCGT_3,151.87820915805545,1,BE,,,COMC,BIO,0.525,5.0,1.0,0.0734868421,0.0734868421,112542.12,0.0,0.0,0.4,0.525,1.0,0.45,,,,,,,,,,,,,,,,,,,,
,links OCGT_1,6756.080976590453,1,BE,,,GTUR,GAS,0.4,5.0,1.0,0.085923077,0.085923077,112542.12,0.0,0.0,0.2,0.525,1.0,0.65,,,,,,,,,,,,,,,,,,,,
,links OCGT_3,375.33783203280296,1,BE,,,GTUR,OIL,0.4,5.0,1.0,0.085923077,0.085923077,112542.12,0.0,0.0,0.2,0.525,1.0,0.65,,,,,,,,,,,,,,,,,,,,
,links OCGT_5,375.33783203280296,1,BE,,,GTUR,BIO,0.4,5.0,1.0,0.085923077,0.085923077,112542.12,0.0,0.0,0.2,0.525,1.0,0.65,,,,,,,,,,,,,,,,,,,,
