00:00 - 01:00,12,,2458,,n/e,n/e,295,,60,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,12,,9,,n/e,n/e,2088,,n/e,n/e,n/e,n/e,0,,4,,n/e,n/e,10,
01:00 - 02:00,12,,2267,,n/e,n/e,298,,60,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,12,,9,,n/e,n/e,2087,,n/e,n/e,n/e,n/e,0,,4,,n/e,n/e,13,
02:00 - 03:00,12,,2237,,n/e,n/e,298,,59,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,12,,9,,n/e,n/e,2088,,n/e,n/e,n/e,n/e,0,,4,,n/e,n/e,26,
03:00 - 04:00,12,,2226,,n/e,n/e,295,,60,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,11,,8,,n/e,n/e,2090,,n/e,n/e,n/e,n/e,0,,4,,n/e,n/e,23,
04:00 - 05:00,11,,2215,,n/e,n/e,297,,61,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,11,,9,,n/e,n/e,2089,,n/e,n/e,n/e,n/e,0,,4,,n/e,n/e,24,
05:00 - 06:00,13,,2226,,n/e,n/e,298,,62,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,16,,9,,n/e,n/e,2090,,n/e,n/e,n/e,n/e,0,,4,,n/e,n/e,51,
06:00 - 07:00,11,,2346,,n/e,n/e,298,,62,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,37,,9,,n/e,n/e,2088,,n/e,n/e,n/e,n/e,9,,4,,n/e,n/e,38,
07:00 - 08:00,12,,2581,,n/e,n/e,296,,62,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,49,,9,,n/e,n/e,2088,,n/e,n/e,n/e,n/e,37,,4,,n/e,n/e,43,
08:00 - 09:00,12,,2698,,n/e,n/e,293,,64,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,40,,9,,n/e,n/e,2088,,n/e,n/e,n/e,n/e,72,,4,,n/e,n/e,30,
09:00 - 10:00,11,,2617,,n/e,n/e,289,,64,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,22,,9,,n/e,n/e,2087,,n/e,n/e,n/e,n/e,95,,4,,n/e,n/e,24,
10:00 - 11:00,11,,2385,,n/e,n/e,287,,64,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,13,,9,,n/e,n/e,2088,,n/e,n/e,n/e,n/e,110,,4,,n/e,n/e,16,
11:00 - 12:00,10,,2344,,n/e,n/e,290,,64,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0,,14,,9,,n/e,n/e,2088,,n/e,n/e,n/e,n/e,81,,5,,n/e,n/e,10,
