Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon
,ALLOZ 2,3.4,1.0,ES,,,HDAM,WAT,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.5,1.0,0.0,,,,,,,,,,,,,,,,https://sede.minetur.gob.es/en-US/datosabiertos/catalogo/registro-productores-electrica,"IBERDROLA RENOVABLES, S.A.",,
,ALMADENES 1,2.8,1.0,ES,,,HROR,WAT,1.0,0.0,0.0,0.15,1.0,27.98,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,https://sede.minetur.gob.es/en-US/datosabiertos/catalogo/registro-productores-electrica,"IBERDROLA GENERACIÓN, S.A.",,
,ALMADENES 2,2.8,1.0,ES,,,HROR,WAT,1.0,0.0,0.0,0.15,1.0,27.98,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,https://sede.minetur.gob.es/en-US/datosabiertos/catalogo/registro-productores-electrica,"IBERDROLA GENERACIÓN, S.A.",,
,ALMADENES 3,2.8,1.0,ES,,,HROR,WAT,1.0,0.0,0.0,0.15,1.0,27.98,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,https://sede.minetur.gob.es/en-US/datosabiertos/catalogo/registro-productores-electrica,"IBERDROLA GENERACIÓN, S.A.",,
,ALMADENES 4,6.0,1.0,ES,,,HROR,WAT,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.5,1.0,0.0,,,,,,,,,,,,,,,,https://sede.minetur.gob.es/en-US/datosabiertos/catalogo/registro-productores-electrica,"IBERDROLA GENERACIÓN, S.A.",,
,AMBASAGUAS 1,0.43,1.0,ES,,,HROR,WAT,1.0,0.0,0.0,0.15,1.0,27.98,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,https://sede.minetur.gob.es/en-US/datosabiertos/catalogo/registro-productores-electrica,"IBERDROLA RENOVABLES ENERGIA, S.A.",,
,AMBASAGUAS 2,0.43,1.0,ES,,,HROR,WAT,1.0,0.0,0.0,0.15,1.0,27.98,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,https://sede.minetur.gob.es/en-US/datosabiertos/catalogo/registro-productores-electrica,"IBERDROLA RENOVABLES ENERGIA, S.A.",,
,AMBASAGUAS 3,0.94,1.0,ES,,,HROR,WAT,1.0,0.0,0.0,0.15,1.0,27.98,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,https://sede.minetur.gob.es/en-US/datosabiertos/catalogo/registro-productores-electrica,"IBERDROLA RENOVABLES ENERGIA, S.A.",,
,ANGUIANO 1,1.29,1.0,ES,,,HROR,WAT,1.0,0.0,0.0,0.15,1.0,27.98,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,https://sede.minetur.gob.es/en-US/datosabiertos/catalogo/registro-productores-electrica,"IBERDROLA RENOVABLES, S.A.",,
,ANGUIANO 2,1.16,1.0,ES,,,HROR,WAT,1.0,0.0,0.0,0.15,1.0,27.98,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,https://sede.minetur.gob.es/en-US/datosabiertos/catalogo/registro-productores-electrica,"IBERDROLA RENOVABLES, S.A.",,
,ANGUIANO 3,1.16,1.0,ES,,,HROR,WAT,1.0,0.0,0.0,0.15,1.0,27.98,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,https://sede.minetur.gob.es/en-US/datosabiertos/catalogo/registro-productores-electrica,"IBERDROLA RENOVABLES, S.A.",,
,LAS CUEVAS 1,0.92,1.0,ES,,,HROR,WAT,1.0,0.0,0.0,0.15,1.0,27.98,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,https://sede.minetur.gob.es/en-US/datosabiertos/catalogo/registro-productores-electrica,"IBERDROLA RENOVABLES, S.A.",,
,LAS CUEVAS 2,0.92,1.0,ES,,,HROR,WAT,1.0,0.0,0.0,0.15,1.0,27.98,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,https://sede.minetur.gob.es/en-US/datosabiertos/catalogo/registro-productores-electrica,"IBERDROLA RENOVABLES, S.A.",,
,ANTOÑANA 1,0.2,1.0,ES,,,HROR,WAT,1.0,0.0,0.0,0.15,1.0,27.98,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,https://sede.minetur.gob.es/en-US/datosabiertos/catalogo/registro-productores-electrica,"BARBO ENERGÍAS RENOVABLES, S.A.",,
,ANTOÑANA 2,0.2,1.0,ES,,,HROR,WAT,1.0,0.0,0.0,0.15,1.0,27.98,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,https://sede.minetur.gob.es/en-US/datosabiertos/catalogo/registro-productores-electrica,"BARBO ENERGÍAS RENOVABLES, S.A.",,
,ARCHENA,0.4,1.0,ES,,,HROR,WAT,1.0,0.0,0.0,0.15,1.0,27.98,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,https://sede.minetur.gob.es/en-US/datosabiertos/catalogo/registro-productores-electrica,"BARBO ENERGÍAS RENOVABLES, S.A.",,
,ARENZANA 1,0.11,1.0,ES,,,HROR,WAT,1.0,0.0,0.0,0.15,1.0,27.98,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,https://sede.minetur.gob.es/en-US/datosabiertos/catalogo/registro-productores-electrica,"IBERDROLA GENERACIÓN, S.A.",,
,ARENZANA 2,0.11,1.0,ES,,,HROR,WAT,1.0,0.0,0.0,0.15,1.0,27.98,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,https://sede.minetur.gob.es/en-US/datosabiertos/catalogo/registro-productores-electrica,"IBERDROLA GENERACIÓN, S.A.",,
