Dispa_SET_Time_Step,Biomass_Actual_Aggregated,Biomass_Actual_Consumption,Fossil_Brown_coal-Lignite_Actual_Aggregated,Fossil_Brown_coal-Lignite_Actual_Consumption,Fossil_Coal-derived_gas_Actual_Aggregated,Fossil_Coal-derived_gas_Actual_Consumption,Fossil_Gas_Actual_Aggregated,Fossil_Gas_Actual_Consumption,Fossil_Hard_coal_Actual_Aggregated,Fossil_Hard_coal_Actual_Consumption,Fossil_Oil_Actual_Aggregated,Fossil_Oil_Actual_Consumption,Fossil_Oil_shale_Actual_Aggregated,Fossil_Oil_shale_Actual_Consumption,Fossil_Peat_Actual_Aggregated,Fossil_Peat_Actual_Consumption,Geothermal_Actual_Aggregated,Geothermal_Actual_Consumption,Hydro_Pumped_Storage_Actual_Aggregated,Hydro_Pumped_Storage_Actual_Consumption,Hydro_Run-of-river_and_poundage_Actual_Aggregated,Hydro_Run-of-river_and_poundage_Actual_Consumption,Hydro_Water_Reservoir_Actual_Aggregated,Hydro_Water_Reservoir_Actual_Consumption,Marine_Actual_Aggregated,Marine_Actual_Consumption,Nuclear_Actual_Aggregated,Nuclear_Actual_Consumption,Other_Actual_Aggregated,Other_Actual_Consumption,Other_renewable_Actual_Aggregated,Other_renewable_Actual_Consumption,Solar_Actual_Aggregated,Solar_Actual_Consumption,Waste_Actual_Aggregated,Waste_Actual_Consumption,Wind_Offshore_Actual_Aggregated,Wind_Offshore_Actual_Consumption,Wind_Onshore_Actual_Aggregated,Wind_Onshore_Actual_Consumption
2023-01-01 00:00:00+00:00,n/e,n/e,388.0,,n/e,n/e,902.0,,n/e,n/e,0.0,,n/e,n/e,n/e,n/e,,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0.0,,n/e,n/e,n/e,n/e,497.0,
2023-01-01 01:00:00+00:00,n/e,n/e,381.0,,n/e,n/e,722.0,,n/e,n/e,0.0,,n/e,n/e,n/e,n/e,,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0.0,,n/e,n/e,n/e,n/e,573.0,
2023-01-01 02:00:00+00:00,n/e,n/e,375.0,,n/e,n/e,498.0,,n/e,n/e,0.0,,n/e,n/e,n/e,n/e,,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0.0,,n/e,n/e,n/e,n/e,635.0,
2023-01-01 03:00:00+00:00,n/e,n/e,343.0,,n/e,n/e,432.0,,n/e,n/e,0.0,,n/e,n/e,n/e,n/e,,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0.0,,n/e,n/e,n/e,n/e,683.0,
2023-01-01 04:00:00+00:00,n/e,n/e,330.0,,n/e,n/e,431.0,,n/e,n/e,0.0,,n/e,n/e,n/e,n/e,,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0.0,,n/e,n/e,n/e,n/e,682.0,
2023-01-01 05:00:00+00:00,n/e,n/e,341.0,,n/e,n/e,456.0,,n/e,n/e,0.0,,n/e,n/e,n/e,n/e,,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2.0,,n/e,n/e,n/e,n/e,707.0,
2023-01-01 06:00:00+00:00,n/e,n/e,347.0,,n/e,n/e,431.0,,n/e,n/e,0.0,,n/e,n/e,n/e,n/e,,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,303.0,,n/e,n/e,n/e,n/e,749.0,
2023-01-01 07:00:00+00:00,n/e,n/e,321.0,,n/e,n/e,439.0,,n/e,n/e,0.0,,n/e,n/e,n/e,n/e,,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1234.0,,n/e,n/e,n/e,n/e,696.0,
2023-01-01 08:00:00+00:00,n/e,n/e,346.0,,n/e,n/e,446.0,,n/e,n/e,0.0,,n/e,n/e,n/e,n/e,,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2086.0,,n/e,n/e,n/e,n/e,644.0,
2023-01-01 09:00:00+00:00,n/e,n/e,371.0,,n/e,n/e,462.0,,n/e,n/e,0.0,,n/e,n/e,n/e,n/e,,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2600.0,,n/e,n/e,n/e,n/e,613.0,
2023-01-01 10:00:00+00:00,n/e,n/e,345.0,,n/e,n/e,464.0,,n/e,n/e,0.0,,n/e,n/e,n/e,n/e,,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2808.0,,n/e,n/e,n/e,n/e,606.0,
2023-01-01 11:00:00+00:00,n/e,n/e,330.0,,n/e,n/e,429.0,,n/e,n/e,0.0,,n/e,n/e,n/e,n/e,,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2713.0,,n/e,n/e,n/e,n/e,713.0,
2023-01-01 12:00:00+00:00,n/e,n/e,284.0,,n/e,n/e,430.0,,n/e,n/e,0.0,,n/e,n/e,n/e,n/e,,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,2293.0,,n/e,n/e,n/e,n/e,790.0,
2023-01-01 13:00:00+00:00,n/e,n/e,179.0,,n/e,n/e,526.0,,n/e,n/e,0.0,,n/e,n/e,n/e,n/e,,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1387.0,,n/e,n/e,n/e,n/e,834.0,
2023-01-01 14:00:00+00:00,n/e,n/e,185.0,,n/e,n/e,800.0,,n/e,n/e,0.0,,n/e,n/e,n/e,n/e,,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,406.0,,n/e,n/e,n/e,n/e,906.0,
2023-01-01 15:00:00+00:00,n/e,n/e,182.0,,n/e,n/e,969.0,,n/e,n/e,0.0,,n/e,n/e,n/e,n/e,,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,7.0,,n/e,n/e,n/e,n/e,995.0,
2023-01-01 16:00:00+00:00,n/e,n/e,184.0,,n/e,n/e,1109.0,,n/e,n/e,0.0,,n/e,n/e,n/e,n/e,,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0.0,,n/e,n/e,n/e,n/e,999.0,
2023-01-01 17:00:00+00:00,n/e,n/e,186.0,,n/e,n/e,1164.0,,n/e,n/e,0.0,,n/e,n/e,n/e,n/e,,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,0.0,,n/e,n/e,n/e,n/e,1050.0,
