00:00 - 00:30,3116,,n/e,n/e,n/e,n/e,13631,0,309,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,70,,444,,n/e,n/e,n/e,n/e,5948,,189,0,n/e,n/e,0,,n/e,n/e,1779,,3804,487
00:30 - 01:00,3108,,n/e,n/e,n/e,n/e,12581,0,310,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,0,,436,,n/e,n/e,n/e,n/e,5956,,186,0,n/e,n/e,0,,n/e,n/e,1849,,3706,417
01:00 - 01:30,3118,,n/e,n/e,n/e,n/e,12132,0,47,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,0,,434,,n/e,n/e,n/e,n/e,5948,,183,0,n/e,n/e,0,,n/e,n/e,1884,,3570,415
01:30 - 02:00,3115,,n/e,n/e,n/e,n/e,11523,0,47,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,0,,412,,n/e,n/e,n/e,n/e,5960,,183,0,n/e,n/e,0,,n/e,n/e,1793,,3558,394
02:00 - 02:30,3116,,n/e,n/e,n/e,n/e,11481,0,47,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,0,,385,,n/e,n/e,n/e,n/e,5949,,191,0,n/e,n/e,0,,n/e,n/e,1589,,3563,417
02:30 - 03:00,3118,,n/e,n/e,n/e,n/e,11750,0,47,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,0,,382,,n/e,n/e,n/e,n/e,5956,,187,0,n/e,n/e,1,,n/e,n/e,1451,,3505,432
03:00 - 03:30,3087,,n/e,n/e,n/e,n/e,11423,0,47,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,0,,349,,n/e,n/e,n/e,n/e,5948,,186,0,n/e,n/e,1,,n/e,n/e,1403,,3447,427
03:30 - 04:00,3117,,n/e,n/e,n/e,n/e,10528,0,47,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,0,,334,,n/e,n/e,n/e,n/e,5950,,187,0,n/e,n/e,0,,n/e,n/e,1425,,3270,385
04:00 - 04:30,3113,,n/e,n/e,n/e,n/e,10184,0,47,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,0,,330,,n/e,n/e,n/e,n/e,5949,,187,0,n/e,n/e,0,,n/e,n/e,1488,,3210,390
04:30 - 05:00,3111,,n/e,n/e,n/e,n/e,9496,0,47,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,0,,327,,n/e,n/e,n/e,n/e,5957,,192,0,n/e,n/e,1,,n/e,n/e,1703,,3136,391
05:00 - 05:30,3116,,n/e,n/e,n/e,n/e,9441,0,47,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e,0,,328,,n/e,n/e,n/e,n/e,5945,,200,0,n/e,n/e,1,,n/e,n/e,1846,,3201,369
