00:00 - 01:00,354,,n/e,n/e,n/e,n/e,2334,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,226,,8,,n/e,n/e,n/e,n/e,5003,,645,,n/e,n/e,0,,260,,345,,107,
01:00 - 02:00,355,,n/e,n/e,n/e,n/e,2197,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,33,71,8,,n/e,n/e,n/e,n/e,5002,,660,,n/e,n/e,0,,265,,364,,90,
02:00 - 03:00,354,,n/e,n/e,n/e,n/e,2249,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,456,8,,n/e,n/e,n/e,n/e,5003,,656,,n/e,n/e,0,,264,,342,,87,
03:00 - 04:00,358,,n/e,n/e,n/e,n/e,1952,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,828,8,,n/e,n/e,n/e,n/e,5003,,651,,n/e,n/e,0,,266,,439,,84,
04:00 - 05:00,358,,n/e,n/e,n/e,n/e,1783,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,824,8,,n/e,n/e,n/e,n/e,5004,,628,,n/e,n/e,0,,268,,491,,84,
05:00 - 06:00,359,,n/e,n/e,n/e,n/e,1714,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,819,8,,n/e,n/e,n/e,n/e,4999,,629,,n/e,n/e,0,,268,,527,,66,
06:00 - 07:00,357,,n/e,n/e,n/e,n/e,1698,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,736,8,,n/e,n/e,n/e,n/e,4993,,637,,n/e,n/e,0,,266,,474,,72,
07:00 - 08:00,359,,n/e,n/e,n/e,n/e,1721,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,734,8,,n/e,n/e,n/e,n/e,4992,,661,,n/e,n/e,0,,266,,430,,81,
08:00 - 09:00,358,,n/e,n/e,n/e,n/e,1738,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,42,8,,n/e,n/e,n/e,n/e,4994,,671,,n/e,n/e,46,,268,,463,,85,
09:00 - 10:00,360,,n/e,n/e,n/e,n/e,1850,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,96,,8,,n/e,n/e,n/e,n/e,4993,,674,,n/e,n/e,175,,268,,442,,90,
10:00 - 11:00,359,,n/e,n/e,n/e,n/e,1922,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,139,,8,,n/e,n/e,n/e,n/e,4987,,672,,n/e,n/e,305,,267,,430,,78,
11:00 - 12:00,361,,n/e,n/e,n/e,n/e,1973,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,246,,8,,n/e,n/e,n/e,n/e,4987,,676,,n/e,n/e,311,,269,,416,,92,
12:00 - 13:00,360,,n/e,n/e,n/e,n/e,1997,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,169,,8,,n/e,n/e,n/e,n/e,4987,,675,,n/e,n/e,218,,267,,472,,108,
13:00 - 14:00,360,,n/e,n/e,n/e,n/e,1889,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,32,0,8,,n/e,n/e,n/e,n/e,4986,,693,,n/e,n/e,146,,268,,507,,99,
14:00 - 15:00,358,,n/e,n/e,n/e,n/e,1950,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,1,9,,n/e,n/e,n/e,n/e,4992,,685,,n/e,n/e,64,,265,,435,,94,
15:00 - 16:00,357,,n/e,n/e,n/e,n/e,2235,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,1,9,,n/e,n/e,n/e,n/e,5004,,678,,n/e,n/e,7,,264,,415,,85,
16:00 - 17:00,357,,n/e,n/e,n/e,n/e,2724,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,399,,9,,n/e,n/e,n/e,n/e,5000,,665,,n/e,n/e,0,,264,,425,,89,
17:00 - 18:00,355,,n/e,n/e,n/e,n/e,2765,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,866,,9,,n/e,n/e,n/e,n/e,4999,,660,,n/e,n/e,0,,269,,468,,88,
18:00 - 19:00,361,,n/e,n/e,n/e,n/e,2713,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,844,,9,,n/e,n/e,n/e,n/e,5001,,627,,n/e,n/e,0,,268,,360,,97,
19:00 - 20:00,362,,n/e,n/e,n/e,n/e,2701,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,526,,9,,n/e,n/e,n/e,n/e,5000,,588,,n/e,n/e,0,,270,,203,,104,
20:00 - 21:00,362,,n/e,n/e,n/e,n/e,2788,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,100,21,9,,n/e,n/e,n/e,n/e,5002,,642,,n/e,n/e,0,,270,,168,,71,
21:00 - 22:00,360,,n/e,n/e,n/e,n/e,2958,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,27,30,9,,n/e,n/e,n/e,n/e,5002,,669,,n/e,n/e,0,,269,,101,,59,
22:00 - 23:00,357,,n/e,n/e,n/e,n/e,2649,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,286,9,,n/e,n/e,n/e,n/e,5002,,682,,n/e,n/e,0,,267,,210,,49,
23:00 - 00:00,357,,n/e,n/e,n/e,n/e,2501,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,267,9,,n/e,n/e,n/e,n/e,5001,,646,,n/e,n/e,0,,268,,256,,45,
00:00 - 01:00,358,,n/e,n/e,n/e,n/e,2550,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,521,9,,n/e,n/e,n/e,n/e,5001,,611,,n/e,n/e,0,,267,,144,,35,
01:00 - 02:00,359,,n/e,n/e,n/e,n/e,2485,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,1164,9,,n/e,n/e,n/e,n/e,4998,,629,,n/e,n/e,0,,270,,177,,21,
02:00 - 03:00,361,,n/e,n/e,n/e,n/e,2166,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,1158,9,,n/e,n/e,n/e,n/e,5000,,617,,n/e,n/e,0,,271,,313,,21,
03:00 - 04:00,360,,n/e,n/e,n/e,n/e,2096,,0,,0,,n/e,n/e,n/e,n/e,n/e,n/e,,1144,9,,n/e,n/e,n/e,n/e,5001,,598,,n/e,n/e,0,,270,,365,,22,
