Week 01,N/A,N/A,1790956,1660317,2126176,2034666,2408299,2076193,2156583
Week 02,N/A,N/A,1822781,1643629,2124033,2414943,2340049,2088386,2242840
Week 03,N/A,N/A,1904086,1639397,2116300,2424524,2300851,2186879,N/A
Week 04,N/A,N/A,1996727,1728726,2103063,2598353,2269183,2348254,N/A
Week 05,N/A,N/A,2046091,1923831,2101504,2729143,2272920,2378077,N/A
Week 06,N/A,N/A,2293840,2063976,2106297,2745673,2317173,2348237,N/A
Week 07,N/A,N/A,2444699,2136291,2127881,2702649,2363477,2336531,2334161
Week 08,N/A,N/A,2549809,2149013,2148316,2626079,2420374,2342350,2349194
Week 09,N/A,N/A,2699499,2153383,2158830,2588459,2481293,2365454,2432984
Week 10,N/A,N/A,2919706,2181677,2182966,2594346,2529609,2423591,2539839
Week 11,N/A,N/A,2961589,2237243,2245693,2624674,2546021,2489299,2613359
Week 12,N/A,N/A,3008900,2286880,2273650,2743769,2581229,2524173,2660754
Week 13,N/A,N/A,3060004,2331711,2305520,2781333,2640946,2552013,2688321
Week 14,N/A,N/A,3043253,2365656,2378903,2844983,2787661,2595086,2712953
Week 15,N/A,N/A,3027163,2423103,2513221,2869503,2866949,2648779,2720643
Week 16,N/A,N/A,3032033,2520073,2562726,2874471,2920231,2694891,N/A
Week 17,N/A,N/A,3028016,2575099,2601481,2928179,2972476,2738716,2727326
Week 18,N/A,N/A,3029507,2620500,2634484,2949926,2998444,2794330,-
Week 19,N/A,N/A,3038874,2650887,2647967,2949653,2999956,2865351,-
Week 20,N/A,N/A,3033317,2690027,2643027,2933636,3006963,2922966,-
Week 21,N/A,N/A,3032193,2705574,2623071,2896424,2999506,2969503,-
Week 22,N/A,N/A,3014314,2700681,2591603,2848443,2964537,2999699,-
Week 23,N/A,N/A,2954506,2687381,2547303,2809117,2932807,3009553,-
Week 24,N/A,N/A,2896343,2664170,2501621,2784746,2927346,3002480,-
Week 25,N/A,N/A,2860097,2625516,2444034,2732103,2885513,3013484,-
Week 26,N/A,N/A,2846676,2570354,2388387,2634616,2814977,2980679,-
Week 27,N/A,N/A,2822357,2501973,2310389,2537830,2741043,2925023,-
Week 28,N/A,N/A,2778884,2427571,2262883,2439319,2683837,2864129,-
Week 29,N/A,N/A,2702659,2383494,2201184,2351654,2607244,2794304,-
Week 30,N/A,N/A,2615681,2331106,2121997,2248851,2499564,2713674,-
Week 31,N/A,N/A,2539271,2239241,2036714,2100217,2403557,2629046,-
Week 32,N/A,N/A,2473324,2145187,1962024,1989261,2321419,2543796,-
Week 33,N/A,N/A,2397317,2058653,1906969,1908754,2239453,2455529,-
Week 34,N/A,N/A,2293956,1979374,1843071,1834389,2161633,2354553,-
Week 35,N/A,N/A,2219989,1898176,1783669,1765827,2095751,2279219,-
Week 36,N/A,N/A,2125870,1829114,1715489,1712784,2046210,2360281,-
Week 37,N/A,N/A,2045654,1774203,1659656,1667461,1994727,2408999,-
Week 38,N/A,N/A,1975321,1709124,1645149,1614879,1943454,2352051,-
Week 39,N/A,1302714,1917447,1660243,1710940,1572029,1909720,2347279,-
Week 40,N/A,1271709,1873330,1620804,1709749,1542964,1881817,2320391,-
Week 41,N/A,1231531,1831636,1593529,1684219,1569253,1849707,2249251,-
Week 42,N/A,1198433,1782606,1559617,1688014,1602789,1826976,2159664,-
Week 43,N/A,1172921,1734119,1528351,1692487,1588664,1797777,2088150,-
Week 44,N/A,1140414,1699406,1497306,1676901,1583371,1774803,2053017,-
Week 45,N/A,1099043,1662379,1509176,1656470,1565527,1751976,2069856,-
Week 46,N/A,1117501,1617200,1569136,1624097,1524993,1737876,2119181,-
Week 47,N/A,1155291,1607640,1615539,1591729,1513156,1817537,2131600,-
Week 48,N/A,1249560,1672441,1706749,1563906,1740009,1823879,2275323,-
Week 49,N/A,1533209,1659694,1771210,1518616,2024340,1838903,2280793,-
Week 50,N/A,1590837,1641596,1829236,1576123,2394741,2021853,2229633,-
Week 51,N/A,1635696,1653049,1926080,1667327,2339970,2071363,2203687,-
Week 52,N/A,1696886,1667001,2105164,1677529,2448557,2080923,2178710,-
Week 53,,,,,1773210,,,,
