Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon
,DOEL 4,1039,1.0,BE,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TIHANGE 3,1038,1.0,BE,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COO II T,690,1.0,BE,,,HPHS,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TIHANGE 1N,481,1.0,BE,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TIHANGE 1S,481,1.0,BE,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HERDERSBRUG STEG,480,1.0,BE,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COO I T,474,1.0,BE,,,HPHS,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EDF Luminus Seraing TGV,470,1.0,BE,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DROGENBOS TGV,465,1.0,BE,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amercoeur 1 R TGV,451,1.0,BE,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOEL 1,445,1.0,BE,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOEL 2,445,1.0,BE,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T-power Beringen,422,1.0,BE,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marcinelle Energie (Carsid),413,1.0,BE,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Zandvliet Power,386,1.0,BE,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SAINT-GHISLAIN STEG,386,1.0,BE,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VILVOORDE TGV,385,1.0,BE,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RINGVAART STEG,385,1.0,BE,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Norther Offshore WP,370,1.0,BE,,,WTOF,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Zelzate 2 Knippegroen,315,1.0,BE,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rentel Offshore WP,307,1.0,BE,,,WTOF,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RODENHUIZE 4,268,1.0,BE,,,STUR,BIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Seastar,252,1.0,BE,,,WTOF,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mermaid,236,1.0,BE,,,WTOF,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Northwester 2,219,1.0,BE,,,WTOF,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Northwind,216,1.0,BE,,,WTOF,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thorntonbank - C-Power - Area SW,178,1.0,BE,,,WTOF,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Belwind Phase 1,171,1.0,BE,,,WTOF,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nobelwind Offshore Windpark,165,1.0,BE,,,WTOF,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thorntonbank - C-Power - Area NE,148,1.0,BE,,,WTOF,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PLATE-TAILLE T,144,1.0,BE,,,HPHS,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scheldelaan Exxonmobil,140,1.0,BE,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INESCO WKK,138,1.0,BE,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TIHANGE 2,1008,1.0,BE,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kristal _ Solar _ Park,99,1.0,BE,,,PHOT,SUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dispa-SET_Solar,6376,,,,,,SUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dispa-SET_WIN,3053,,,,,,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
