23:00 - 00:00,351,,n/e,n/e,n/e,n/e,3167,,,29,215,,n/e,n/e,n/e,n/e,n/e,n/e,,1071,3227,,820,,n/e,n/e,55107,,n/e,n/e,n/e,n/e,0,,251,,n/e,n/e,3011,
00:00 - 01:00,351,,n/e,n/e,n/e,n/e,3177,,,26,217,,n/e,n/e,n/e,n/e,n/e,n/e,,2411,2871,,650,,n/e,n/e,54788,,n/e,n/e,n/e,n/e,0,,253,,n/e,n/e,3356,
01:00 - 02:00,351,,n/e,n/e,n/e,n/e,2886,,,22,218,,n/e,n/e,n/e,n/e,n/e,n/e,,2901,2588,,538,,n/e,n/e,54287,,n/e,n/e,n/e,n/e,0,,254,,n/e,n/e,3417,
02:00 - 03:00,351,,n/e,n/e,n/e,n/e,2887,,,21,218,,n/e,n/e,n/e,n/e,n/e,n/e,,2717,2469,,597,,n/e,n/e,53570,,n/e,n/e,n/e,n/e,0,,253,,n/e,n/e,3359,
03:00 - 04:00,351,,n/e,n/e,n/e,n/e,2843,,,24,218,,n/e,n/e,n/e,n/e,n/e,n/e,,2947,2473,,576,,n/e,n/e,51857,,n/e,n/e,n/e,n/e,0,,251,,n/e,n/e,3281,
04:00 - 05:00,352,,n/e,n/e,n/e,n/e,2903,,,26,218,,n/e,n/e,n/e,n/e,n/e,n/e,,3022,2475,,425,,n/e,n/e,51689,,n/e,n/e,n/e,n/e,0,,247,,n/e,n/e,3147,
05:00 - 06:00,351,,n/e,n/e,n/e,n/e,3205,,,27,218,,n/e,n/e,n/e,n/e,n/e,n/e,,2609,2501,,542,,n/e,n/e,53302,,n/e,n/e,n/e,n/e,0,,248,,n/e,n/e,3146,
06:00 - 07:00,352,,n/e,n/e,n/e,n/e,4068,,,26,218,,n/e,n/e,n/e,n/e,n/e,n/e,,1553,2771,,918,,n/e,n/e,54784,,n/e,n/e,n/e,n/e,0,,247,,n/e,n/e,3072,
07:00 - 08:00,352,,n/e,n/e,n/e,n/e,5430,,,25,217,,n/e,n/e,n/e,n/e,n/e,n/e,,630,3246,,1005,,n/e,n/e,55513,,n/e,n/e,n/e,n/e,0,,246,,n/e,n/e,3138,
08:00 - 09:00,351,,n/e,n/e,n/e,n/e,6582,,,16,218,,n/e,n/e,n/e,n/e,n/e,n/e,,465,3745,,966,,n/e,n/e,55883,,n/e,n/e,n/e,n/e,141,,246,,n/e,n/e,3179,
09:00 - 10:00,351,,n/e,n/e,n/e,n/e,7188,,,11,218,,n/e,n/e,n/e,n/e,n/e,n/e,442,,4148,,1473,,n/e,n/e,56021,,n/e,n/e,n/e,n/e,582,,246,,n/e,n/e,3069,
10:00 - 11:00,351,,n/e,n/e,n/e,n/e,7447,,,11,218,,n/e,n/e,n/e,n/e,n/e,n/e,570,,4365,,1617,,n/e,n/e,56033,,n/e,n/e,n/e,n/e,1432,,246,,n/e,n/e,2922,
11:00 - 12:00,352,,n/e,n/e,n/e,n/e,7424,,,10,218,,n/e,n/e,n/e,n/e,n/e,n/e,454,,4193,,1467,,n/e,n/e,56058,,n/e,n/e,n/e,n/e,2304,,244,,n/e,n/e,2772,
12:00 - 13:00,352,,n/e,n/e,n/e,n/e,7380,,,15,218,,n/e,n/e,n/e,n/e,n/e,n/e,649,,4007,,1469,,n/e,n/e,56039,,n/e,n/e,n/e,n/e,2788,,246,,n/e,n/e,2979,
13:00 - 14:00,352,,n/e,n/e,n/e,n/e,7441,,,11,218,,n/e,n/e,n/e,n/e,n/e,n/e,603,,3801,,1240,,n/e,n/e,55962,,n/e,n/e,n/e,n/e,2746,,249,,n/e,n/e,3161,
14:00 - 15:00,352,,n/e,n/e,n/e,n/e,7544,,,11,218,,n/e,n/e,n/e,n/e,n/e,n/e,455,,3713,,1174,,n/e,n/e,55971,,n/e,n/e,n/e,n/e,2325,,253,,n/e,n/e,3383,
15:00 - 16:00,352,,n/e,n/e,n/e,n/e,7483,,,2,218,,n/e,n/e,n/e,n/e,n/e,n/e,135,,3728,,1056,,n/e,n/e,55893,,n/e,n/e,n/e,n/e,1504,,257,,n/e,n/e,3427,
16:00 - 17:00,352,,n/e,n/e,n/e,n/e,7472,,1,,218,,n/e,n/e,n/e,n/e,n/e,n/e,33,,4138,,1284,,n/e,n/e,55834,,n/e,n/e,n/e,n/e,552,,257,,n/e,n/e,3380,
17:00 - 18:00,352,,n/e,n/e,n/e,n/e,7481,,2,,218,,n/e,n/e,n/e,n/e,n/e,n/e,683,,4708,,1928,,n/e,n/e,55816,,n/e,n/e,n/e,n/e,119,,257,,n/e,n/e,3147,
18:00 - 19:00,351,,n/e,n/e,n/e,n/e,7550,,2,,218,,n/e,n/e,n/e,n/e,n/e,n/e,1551,,5012,,2245,,n/e,n/e,55971,,n/e,n/e,n/e,n/e,0,,257,,n/e,n/e,3263,
19:00 - 20:00,350,,n/e,n/e,n/e,n/e,7614,,2,,218,,n/e,n/e,n/e,n/e,n/e,n/e,1852,,5147,,2012,,n/e,n/e,56006,,n/e,n/e,n/e,n/e,0,,258,,n/e,n/e,3353,
20:00 - 21:00,344,,n/e,n/e,n/e,n/e,7501,,2,,217,,n/e,n/e,n/e,n/e,n/e,n/e,1413,,4842,,1776,,n/e,n/e,55966,,n/e,n/e,n/e,n/e,0,,259,,n/e,n/e,3252,
