"Area / Date","Production Type","Code","Name","Intalled Capacity at the beginning of year [MW]","Current Installed Capacity [MW]","Location","Voltage Connection Level [kV]","Commissioning Date","Decommissioning Date"
"CTA|RO / 01.01.2019 00:00 - 01.01.2020 00:00","Nuclear","30W-CERNAVODA--E","NPP Cernavoda","1300","1300","internal","400","01.12.2014",""
"CTA|RO / 01.01.2019 00:00 - 01.01.2020 00:00","Hydro Run-of-river and poundage","30W-CHE-PDF1---A","HPP Portile de Fier I","1161","1161","internal","220","01.12.2014",""
"CTA|RO / 01.01.2019 00:00 - 01.01.2020 00:00","Fossil Brown coal/Lignite","30W-CET-ROVI---Q","TPP Rovinari","1189","882","internal","400","01.12.2014",""
"CTA|RO / 01.01.2019 00:00 - 01.01.2020 00:00","Fossil Gas","30W-CET-PETROM-L","TPP CCCC Petrom Brazi","860","832","internal","400","01.12.2014",""
"CTA|RO / 01.01.2019 00:00 - 01.01.2020 00:00","Fossil Brown coal/Lignite","30W-CET-TURC---M","TPP Turceni","1772","785","internal","400","01.12.2014",""
"CTA|RO / 01.01.2019 00:00 - 01.01.2020 00:00","Hydro Water Reservoir","30W-CHE-LOTR---A","HPP Lotru","509","509","internal","220","01.12.2014",""
"CTA|RO / 01.01.2019 00:00 - 01.01.2020 00:00","Fossil Gas","30W-CECC-IERN--A","TPP CECC Iernut","N/A","391","internal","220","01.07.2019",""
"CTA|RO / 01.01.2019 00:00 - 01.01.2020 00:00","Wind Onshore","30W-CEE-FANT---U","WPP Fantanele","260","348","internal","400","01.12.2014",""
"CTA|RO / 01.01.2019 00:00 - 01.01.2020 00:00","Fossil Brown coal/Lignite","30W-CET-ISAL---X","TPP Isalnita","582","292","internal","220","01.12.2014","01.01.2026"
"CTA|RO / 01.01.2019 00:00 - 01.01.2020 00:00","Fossil Gas","30W-CET-IERN---J","TPP Iernut","751","282","internal","220","01.12.2014","01.01.2025"
"CTA|RO / 01.01.2019 00:00 - 01.01.2020 00:00","Wind Onshore","30W-CEE-COGEA--T","WPP Cogealac","250","252","internal","400","01.12.2014",""
"CTA|RO / 01.01.2019 00:00 - 01.01.2020 00:00","Hydro Run-of-river and poundage","30W-CHE-PDF2---5","HPP Portile de Fier II","218","250","internal","110","01.12.2014",""
"CTA|RO / 01.01.2019 00:00 - 01.01.2020 00:00","Fossil Brown coal/Lignite","30W-CET-CRAI---T","TPP Craiova","240","240","internal","110","01.12.2014",""
"CTA|RO / 01.01.2019 00:00 - 01.01.2020 00:00","Hydro Water Reservoir","30W-CHE-CORB---Q","HPP Vidraru","219","219","internal","220","01.12.2014",""
"CTA|RO / 01.01.2019 00:00 - 01.01.2020 00:00","Hydro Water Reservoir","30W-CHE-MARI---9","HPP Mariselu","215","215","internal","220","01.12.2014",""
"CTA|RO / 01.01.2019 00:00 - 01.01.2020 00:00","Hydro Water Reservoir","30W-CHE-RUIM---B","HPP Raul Mare","210","210","internal","220","01.12.2014",""
"CTA|RO / 01.01.2019 00:00 - 01.01.2020 00:00","Fossil Gas","30W-CET-BUCV---D","TPP Bucuresti Vest","375","171","internal","110","01.12.2014",""
"CTA|RO / 01.01.2019 00:00 - 01.01.2020 00:00","Fossil Gas","30W-CET-BRAZ---Q","TPP Brazi","268","170","internal","110","01.12.2014",""
"CTA|RO / 01.01.2019 00:00 - 01.01.2020 00:00","Fossil Gas","30W-CET-BUCS---S","TPP Bucuresti Sud","372","168","internal","220","01.12.2014",""
"CTA|RO / 01.01.2019 00:00 - 01.01.2020 00:00","Hydro Water Reservoir","30W-CHE-SUGAG--7","HPP Sugag","149","149","internal","220","01.12.2014",""
"CTA|RO / 01.01.2019 00:00 - 01.01.2020 00:00","Hydro Water Reservoir","30W-CHE-GALC---C","HPP Galceag","149","149","internal","220","01.12.2014",""
"CTA|RO / 01.01.2019 00:00 - 01.01.2020 00:00","Hydro Water Reservoir","30W-CHE-STEJ---C","HPP Stejaru","143","149","internal","110","01.12.2014",""
"CTA|RO / 01.01.2019 00:00 - 01.01.2020 00:00","Hydro Water Reservoir","30W-CHE-RUIE---E","HPP Ruieni","138","138","internal","110","01.12.2014",""
"CTA|RO / 01.01.2019 00:00 - 01.01.2020 00:00","Wind Onshore","30W-FACAENI----J","WPP Facaeni","132","132","internal","400","01.12.2014",""
"CTA|RO / 01.01.2019 00:00 - 01.01.2020 00:00","Fossil Hard coal","30W-CET-PARO---N","TPP Paroseni","130","130","internal","110","01.12.2014",""
"CTA|RO / 01.01.2019 00:00 - 01.01.2020 00:00","Wind Onshore","30W-CEE-PANT---O","WPP Pantelimon","123","123","internal","400","01.12.2014",""
"CTA|RO / 01.01.2019 00:00 - 01.01.2020 00:00","Wind Onshore","30W-CEE-STUP---U","WPP Stupina","119","120","internal","400","01.12.2014",""
