"Area / Date","Production Type","Code","Name","Intalled Capacity at the beginning of year [MW]","Current Installed Capacity [MW]","Location","Voltage Connection Level [kV]","Commissioning Date","Decommissioning Date"
"CTA|GR / 01.01.2019 00:00 - 01.01.2020 00:00","Fossil Gas","29WAISMEGAL-V--J","MEGALOPOLI_V","500","811","SOUTH GREECE","400","23.04.2015",""
"CTA|GR / 01.01.2019 00:00 - 01.01.2020 00:00","Fossil Gas","29WAGNIKOLAOSIIN","AG_NIKOLAOS2","N/A","803","SOUTH GREECE","400","04.12.2022",""
"CTA|GR / 01.01.2019 00:00 - 01.01.2020 00:00","Fossil Brown coal/Lignite","29WAISPTOLEM-V-5","PTOLEMAIDA5","N/A","616","NORTH GREECE","400","02.12.2022",""
"CTA|GR / 01.01.2019 00:00 - 01.01.2020 00:00","Fossil Gas","29WAISLAVRIO-IVM","LAVRIO4","550","536","SOUTH GREECE","400","01.01.2014",""
"CTA|GR / 01.01.2019 00:00 - 01.01.2020 00:00","Fossil Gas","29WAISKOMOTIN-IO","KOMOTINI","476","472","NORTH GREECE","400","01.01.2014",""
"CTA|GR / 01.01.2019 00:00 - 01.01.2020 00:00","Hydro Water Reservoir","29WYISKREMASTONE","KREMASTA","437","437","NORTH GREECE","400","01.01.2014",""
"CTA|GR / 01.01.2019 00:00 - 01.01.2020 00:00","Fossil Gas","29WKORINTHOSPWR6","KORINTHOS_POWER","433","433","SOUTH GREECE","400","01.01.2014",""
"CTA|GR / 01.01.2019 00:00 - 01.01.2020 00:00","Fossil Gas","29WPROTERGIACC-4","PROTERGIA_CC","432","432","SOUTH_GREECE","400","01.01.2014",""
"CTA|GR / 01.01.2019 00:00 - 01.01.2020 00:00","Fossil Gas","29WHERON-CC----5","HERON_CC","422","422","SOUTH GREECE","400","01.01.2014",""
"CTA|GR / 01.01.2019 00:00 - 01.01.2020 00:00","Fossil Gas","29WAISALIVERI-53","ALIVERI5","417","417","SOUTH GREECE","400","01.01.2014",""
"CTA|GR / 01.01.2019 00:00 - 01.01.2020 00:00","Fossil Gas","29WELPEDISONTHIM","ELPEDISON_THISVI","410","410","SOUTH_GREECE","400","01.01.2014",""
"CTA|GR / 01.01.2019 00:00 - 01.01.2020 00:00","Fossil Gas","29WENERGEIAKITHP","ELPEDISON_THESS","400","400","NORTH GREECE","400","01.01.2014",""
"CTA|GR / 01.01.2019 00:00 - 01.01.2020 00:00","Fossil Gas","29WAISLAVRIO-V-A","LAVRIO5","378","378","SOUTH GREECE","400","01.01.2014",""
"CTA|GR / 01.01.2019 00:00 - 01.01.2020 00:00","Hydro Water Reservoir","29WYISPOLYFYTO-O","POLYFYTO","375","375","NORTH GREECE","400","01.01.2014",""
"CTA|GR / 01.01.2019 00:00 - 01.01.2020 00:00","Fossil Brown coal/Lignite","29WAISAGDIMI-V-K","AG_DIMITRIOS5","342","342","NORTH GREECE","400","01.01.2014",""
"CTA|GR / 01.01.2019 00:00 - 01.01.2020 00:00","Fossil Gas","29WALOUMINIO---B","ALOUMINIO","334","334","SOUTH GREECE","400","01.01.2014",""
"CTA|GR / 01.01.2019 00:00 - 01.01.2020 00:00","Hydro Water Reservoir","29WYISKASTRAKI-M","KASTRAKI","320","320","NORTH GREECE","400","01.01.2014",""
"CTA|GR / 01.01.2019 00:00 - 01.01.2020 00:00","Hydro Pumped Storage","29WYISSFIKIAS--8","SFIKIA","315","315","NORTH GREECE","400","01.01.2014",""
"CTA|GR / 01.01.2019 00:00 - 01.01.2020 00:00","Hydro Water Reservoir","29WYISPOURNARI-P","POURNARI1","300","300","NORTH GREECE","400","01.01.2014",""
"CTA|GR / 01.01.2019 00:00 - 01.01.2020 00:00","Fossil Brown coal/Lignite","29WAISMELITII--H","MELITI","289","289","NORTH GREECE","400","01.01.2014",""
"CTA|GR / 01.01.2019 00:00 - 01.01.2020 00:00","Fossil Brown coal/Lignite","29WAISAGDIMI-IVW","AG_DIMITRIOS4","283","283","NORTH GREECE","400","01.01.2014",""
"CTA|GR / 01.01.2019 00:00 - 01.01.2020 00:00","Fossil Brown coal/Lignite","29WAISAGDIMIIIIJ","AG_DIMITRIOS3","283","283","NORTH GREECE","400","01.01.2014",""
