Country_From,Country_Folder,Neighbor_1,Neighbor_2,Neighbor_3,Neighbor_4,Neighbor_5,Neighbor_6,Neighbor_7,Neighbor_8,Neighbor_9,Neighbor_10,Neighbor_11,Country_File_Path
AT,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/AT,CH,CZ,DE,HU,IT,SI,,,,,,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/AT/AT.csv
BE,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/BE,DE,FR,LU,NL,UK,,,,,,,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/BE/BE.csv
BG,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/BG,EL,RO,,,,,,,,,,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/BG/BG.csv
CH,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/CH,AT,DE,FR,IT,,,,,,,,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/CH/CH.csv
CY,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/CY,,,,,,,,,,,,
CZ,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/CZ,AT,DE,PL,SK,,,,,,,,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/CZ/CZ.csv
DE,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/DE,AT,BE,CH,CZ,DK,FR,LU,NL,NO,PL,SE,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/DE/DE.csv
DK,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/DK,DE,NL,NO,SE,UK,,,,,,,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/DK/DK.csv
EE,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/EE,FI,LV,,,,,,,,,,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/EE/EE.csv
EL,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/EL,BG,IT,,,,,,,,,,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/EL/EL.csv
ES,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/ES,FR,PT,,,,,,,,,,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/ES/ES.csv
FI,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/FI,EE,NO,SE,,,,,,,,,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/FI/FI.csv
FR,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/FR,BE,CH,DE,ES,IT,UK,,,,,,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/FR/FR.csv
HR,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/HR,HU,SI,,,,,,,,,,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/HR/HR.csv
HU,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/HU,AT,HR,RO,SI,SK,,,,,,,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/HU/HU.csv
IE,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/IE,UK,,,,,,,,,,,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/IE/IE.csv
IT,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/IT,AT,CH,FR,EL,MT,SI,,,,,,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/IT/IT.csv
LT,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/LT,LV,PL,SE,,,,,,,,,/home/ray/Dispa-SET_Unleash/RawData/NTC/2023/LT/LT.csv
