00:00 - 01:00,n/e,n/e,n/e,n/e,n/e,n/e,78,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,914,,1249,,17590,,n/e,n/e,n/e,n/e,0,,34,,n/e,n/e,22,,n/e,n/e,703,
01:00 - 02:00,n/e,n/e,n/e,n/e,n/e,n/e,78,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,865,,1246,,16771,,n/e,n/e,n/e,n/e,0,,31,,n/e,n/e,23,,n/e,n/e,733,
02:00 - 03:00,n/e,n/e,n/e,n/e,n/e,n/e,78,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,801,,1245,,16434,,n/e,n/e,n/e,n/e,0,,33,,n/e,n/e,26,,n/e,n/e,752,
03:00 - 04:00,n/e,n/e,n/e,n/e,n/e,n/e,78,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,795,,1246,,16495,,n/e,n/e,n/e,n/e,0,,30,,n/e,n/e,24,,n/e,n/e,751,
04:00 - 05:00,n/e,n/e,n/e,n/e,n/e,n/e,78,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,875,,1250,,16818,,n/e,n/e,n/e,n/e,0,,34,,n/e,n/e,26,,n/e,n/e,744,
05:00 - 06:00,n/e,n/e,n/e,n/e,n/e,n/e,78,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,943,,1253,,17689,,n/e,n/e,n/e,n/e,0,,34,,n/e,n/e,25,,n/e,n/e,692,
06:00 - 07:00,n/e,n/e,n/e,n/e,n/e,n/e,78,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1014,,1257,,18567,,n/e,n/e,n/e,n/e,0,,32,,n/e,n/e,23,,n/e,n/e,701,
07:00 - 08:00,n/e,n/e,n/e,n/e,n/e,n/e,78,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1025,,1282,,19104,,n/e,n/e,n/e,n/e,0,,33,,n/e,n/e,24,,n/e,n/e,710,
08:00 - 09:00,n/e,n/e,n/e,n/e,n/e,n/e,78,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1184,,1279,,19514,,n/e,n/e,n/e,n/e,0,,32,,n/e,n/e,24,,n/e,n/e,665,
09:00 - 10:00,n/e,n/e,n/e,n/e,n/e,n/e,78,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1179,,1275,,20211,,n/e,n/e,n/e,n/e,0,,35,,n/e,n/e,22,,n/e,n/e,573,
