00:00 - 01:00,0,,n/e,n/e,n/e,n/e,206,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,74,,2214,,6025,,n/e,n/e,n/e,n/e,0,,62,,n/e,n/e,35,,n/e,n/e,2320,
01:00 - 02:00,0,,n/e,n/e,n/e,n/e,207,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,72,,2150,,5570,,n/e,n/e,n/e,n/e,0,,67,,n/e,n/e,30,,n/e,n/e,2218,
02:00 - 03:00,0,,n/e,n/e,n/e,n/e,207,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,71,,2149,,4712,,n/e,n/e,n/e,n/e,0,,67,,n/e,n/e,29,,n/e,n/e,2150,
03:00 - 04:00,0,,n/e,n/e,n/e,n/e,207,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,66,,2126,,4390,,n/e,n/e,n/e,n/e,0,,63,,n/e,n/e,30,,n/e,n/e,2056,
04:00 - 05:00,0,,n/e,n/e,n/e,n/e,207,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,67,,2129,,4464,,n/e,n/e,n/e,n/e,0,,62,,n/e,n/e,29,,n/e,n/e,1873,
05:00 - 06:00,0,,n/e,n/e,n/e,n/e,207,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,65,,2054,,4640,,n/e,n/e,n/e,n/e,0,,59,,n/e,n/e,30,,n/e,n/e,1698,
06:00 - 07:00,0,,n/e,n/e,n/e,n/e,207,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,65,,2047,,4719,,n/e,n/e,n/e,n/e,0,,57,,n/e,n/e,30,,n/e,n/e,1754,
07:00 - 08:00,0,,n/e,n/e,n/e,n/e,207,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,66,,2060,,4993,,n/e,n/e,n/e,n/e,0,,53,,n/e,n/e,30,,n/e,n/e,1737,
08:00 - 09:00,0,,n/e,n/e,n/e,n/e,207,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,66,,2057,,5116,,n/e,n/e,n/e,n/e,0,,55,,n/e,n/e,31,,n/e,n/e,1740,
09:00 - 10:00,0,,n/e,n/e,n/e,n/e,207,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,66,,2043,,5668,,n/e,n/e,n/e,n/e,0,,57,,n/e,n/e,31,,n/e,n/e,1916,
10:00 - 11:00,0,,n/e,n/e,n/e,n/e,206,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,72,,2014,,6031,,n/e,n/e,n/e,n/e,0,,62,,n/e,n/e,31,,n/e,n/e,1963,
11:00 - 12:00,0,,n/e,n/e,n/e,n/e,206,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,75,,2053,,6812,,n/e,n/e,n/e,n/e,0,,72,,n/e,n/e,32,,n/e,n/e,1894,
12:00 - 13:00,0,,n/e,n/e,n/e,n/e,206,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,76,,2096,,7089,,n/e,n/e,n/e,n/e,0,,62,,n/e,n/e,32,,n/e,n/e,1991,
13:00 - 14:00,0,,n/e,n/e,n/e,n/e,207,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,76,,2110,,7408,,n/e,n/e,n/e,n/e,0,,58,,n/e,n/e,32,,n/e,n/e,2224,
14:00 - 15:00,0,,n/e,n/e,n/e,n/e,207,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,76,,2108,,7202,,n/e,n/e,n/e,n/e,0,,59,,n/e,n/e,36,,n/e,n/e,2246,
15:00 - 16:00,0,,n/e,n/e,n/e,n/e,206,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,76,,2149,,8527,,n/e,n/e,n/e,n/e,0,,61,,n/e,n/e,32,,n/e,n/e,2144,
16:00 - 17:00,0,,n/e,n/e,n/e,n/e,206,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,76,,2210,,10420,,n/e,n/e,n/e,n/e,0,,60,,n/e,n/e,37,,n/e,n/e,1943,
17:00 - 18:00,0,,n/e,n/e,n/e,n/e,203,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,76,,2224,,10559,,n/e,n/e,n/e,n/e,0,,60,,n/e,n/e,34,,n/e,n/e,1860,
18:00 - 19:00,0,,n/e,n/e,n/e,n/e,206,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,75,,2200,,10098,,n/e,n/e,n/e,n/e,0,,58,,n/e,n/e,33,,n/e,n/e,1781,
19:00 - 20:00,0,,n/e,n/e,n/e,n/e,206,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,75,,2162,,10033,,n/e,n/e,n/e,n/e,0,,60,,n/e,n/e,38,,n/e,n/e,1872,
20:00 - 21:00,0,,n/e,n/e,n/e,n/e,206,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,76,,2173,,9949,,n/e,n/e,n/e,n/e,0,,59,,n/e,n/e,37,,n/e,n/e,1845,
21:00 - 22:00,0,,n/e,n/e,n/e,n/e,206,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,76,,2198,,9988,,n/e,n/e,n/e,n/e,0,,61,,n/e,n/e,37,,n/e,n/e,1700,
22:00 - 23:00,0,,n/e,n/e,n/e,n/e,205,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,75,,2190,,9730,,n/e,n/e,n/e,n/e,0,,63,,n/e,n/e,37,,n/e,n/e,1588,
23:00 - 00:00,0,,n/e,n/e,n/e,n/e,205,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,75,,2172,,9526,,n/e,n/e,n/e,n/e,0,,65,,n/e,n/e,37,,n/e,n/e,1411,
