snapshot,DC_DE1 0-BE1 0,DC_GB0 0-NL1 0,DC_GB0 0-FR1 0,DC_GB0 0-GB2 0,DC_GB0 0-GB2 0,DC_GB0 0-FR1 0,DC_GB0 0-FR1 0,DC_FR1 0-GB0 0,DC_GB0 0-FR1 0,DC_GB0 0-DE1 0,DC_GB0 0-NL1 0,DC_GB0 0-BE1 0
2013-01-01 00:00:00,0.00348741872119597,2460.37000242636,4920.65527261829,0.00311202764731569,0.00328602262598815,3444.27328896532,3645.00110154896,0.00135935272831854,3444.33369095328,3444.51908945262,2952.44493009406,2460.37095877223
2013-01-01 01:00:00,0.0034480887141254,2460.37001170788,4920.65529585439,0.00320553873715043,0.00337944341514935,3444.27331188492,3645.0011243583,0.00135252476007333,3444.33371387001,3444.51910761265,2952.44493517457,2460.37098428872
2013-01-01 02:00:00,0.00343321806293073,2460.3699893414,4920.65529245529,0.00321502117930203,0.00337429563177791,3444.27331026114,3645.00112248848,0.00135259264525162,3444.33371224602,3444.51910622238,2952.44491411458,2460.3709796006
2013-01-01 03:00:00,0.003380302827141,2460.36993599455,4920.65528261404,0.00319304729495009,0.00333642265801204,3444.27330142198,3645.00111349548,0.00135816003649921,3444.33370340801,3444.51910540792,2952.44485866151,2460.37096536514
2013-01-01 04:00:00,0.00362814136184616,2460.37060554944,4920.65529458516,0.00322278808334384,0.00336161103463827,3444.27331669424,3645.00112828685,0.00134511003528594,3444.33371867777,3444.51909485296,2952.44552704736,2460.37102456905
2013-01-01 05:00:00,0.00532677112490009,2460.37059223516,4920.65540390313,0.00322072582420127,0.00336957689995969,3444.27342620091,3645.00123776148,0.00126966618369664,3444.33382817031,3444.51908846933,2952.44551271958,2460.37126214298
2013-01-01 06:00:00,0.00525443729490187,2460.37056506291,4920.65537457558,0.00319863774839177,0.0033226189410504,3444.27340023694,3645.00121133659,0.00128372755406071,3444.33380220902,3444.51906271054,2952.44548394598,2460.37123105738
2013-01-01 07:00:00,0.00315668391064024,2460.37053320874,4920.65545344514,0.0026571728422914,0.00276080673787036,3444.27348041106,3645.0012912598,0.00122730720134792,3444.33388237295,3444.51922493928,2952.44545077424,2460.37120390852
2013-01-01 08:00:00,0.00526665822107431,2460.37078699467,4920.65558967748,0.00325901098565236,0.00336820824947111,3444.27361519268,3645.00142612479,0.00113996899421079,3444.33401713925,3444.51917348375,2952.44570513031,2460.37138096465
2013-01-01 09:00:00,0.0037713890995749,2460.37089100488,4920.65548715087,0.00377994863116149,0.00383834127433352,3444.27351585802,3645.00132630965,0.00121887225504809,3444.33391781528,3444.51922320166,2952.44580890724,2460.37127859154
2013-01-01 10:00:00,0.00345852243336069,2460.37089009114,4920.65545650953,0.00370457603798696,0.00379499947886212,3444.27348765544,3645.00129772825,0.00124829372427598,3444.33388961585,3444.5192194409,2952.44580709295,2460.37120937387
2013-01-01 11:00:00,0.00343620099903725,2460.3708873078,4920.65545561096,0.00361173930823167,0.00370627813665708,3444.27348742094,3645.00129741709,0.00124474398489026,3444.33388938122,3444.51921552016,2952.44580451042,2460.37121449331
2013-01-01 12:00:00,0.00342815053846818,2460.37083275049,4920.65543968894,0.00362027433313474,0.00368934981810539,3444.2734753911,3645.00128477747,0.00125020551192876,3444.33387735177,3444.51920538794,2952.44574856462,2460.37120545814
2013-01-01 13:00:00,0.00340798212038652,2460.37084148709,4920.65542804874,0.00361545986333816,0.00368408270279086,3444.27346632656,3645.00127532262,0.00125604853818464,3444.33386828773,3444.51920193219,2952.44575788889,2460.3711952706
2013-01-01 14:00:00,0.00257647888064574,2460.37090872147,4920.6555155074,0.00360180627621533,0.00369129945989668,3444.27355435651,3645.00136321654,0.00119221298388179,3444.33395630706,3444.51933991657,2952.44582724818,2460.37123354589
2013-01-01 15:00:00,17.2642025803015,2460.37079165335,4920.65645780034,0.0039512711614118,0.00404166769136068,3444.27447107135,3645.00228361737,0.000474077635940637,3444.33487295515,3444.51930037704,2952.44571089082,2460.37184784224
2013-01-01 16:00:00,2460.36443272656,2460.37051976668,4920.65644829764,0.0029849136881824,0.00305342614449701,3444.27446288401,3645.0022750604,0.000475125610019928,3444.33486476803,3444.5192004574,2952.44543794233,2460.37191025835
2013-01-01 17:00:00,2460.36419098579,2460.37051689209,4920.65644275883,0.0138383284917744,0.0139978097868156,3444.27445799044,3645.00227006284,0.000477676820215877,3444.33485987459,3444.51919839936,2952.44543553693,2460.37189873475
2013-01-01 18:00:00,2460.36410921157,2460.37054029296,4920.65644131002,0.0142365815295916,0.0143738173969115,3444.274456873,3645.00226889082,0.000477948975825111,3444.33485875714,3444.5192085983,2952.44545983325,2460.37189916401
