snapshot,AC_BE1 0-FR1 0,AC_BE1 0-NL1 0,AC_DE1 0-FR1 0,AC_DE1 0-NL1 0
2013-01-01 00:00:00,-1738.58649522835,-2388.06149877455,-1213.97309306251,-2887.36785356757
2013-01-01 01:00:00,-2216.03513928914,-2383.05004540933,-1547.35295693531,-2879.97303305578
2013-01-01 02:00:00,-2103.07645144243,-2374.33255707125,-1468.47945935564,-2869.58986367959
2013-01-01 03:00:00,2308.90495291599,-4026.22807982135,1623.15376670675,-4830.15815293937
2013-01-01 04:00:00,1697.62152709425,-2327.39745280295,1185.37045054961,-2814.59268009528
2013-01-01 05:00:00,1411.54020725565,-2309.9617075099,985.613233373147,-2793.73004020742
2013-01-01 06:00:00,-1204.86667014774,-2270.90131846785,-841.30156902367,-2745.63023314154
2013-01-01 07:00:00,-1233.60215395713,-2247.47862060584,-861.366214371957,-2716.40661236756
2013-01-01 08:00:00,-236.635597902329,-2241.78849412411,-165.23100980097,-2709.2685240854
2013-01-01 09:00:00,1181.12808111424,-2236.87302515895,824.727199330102,-2702.82172506363
2013-01-01 10:00:00,946.259016163866,-2197.6841446682,660.729154079141,-2656.13222697358
2013-01-01 11:00:00,1644.16491300287,-2232.17031942763,1148.0442073961,-2697.18308319097
2013-01-01 12:00:00,2297.88235627613,-3861.3016640592,1604.50455458941,-4632.35324728334
2013-01-01 13:00:00,2372.97684089712,-4142.69644045588,1656.93952560827,-4965.87989650168
2013-01-01 14:00:00,-2338.98715376723,-4221.50041141676,-1633.20504019308,-5059.91022223458
2013-01-01 15:00:00,-2474.56398221393,-5195.674759689,-1740.028226874,-6217.17135863833
2013-01-01 16:00:00,-2340.92098041022,-5563.7713532158,-1635.43433983484,-6652.11573258307
2013-01-01 17:00:00,-2392.88462624846,-5590.48246558762,-1671.83424612196,-6684.98823023475
2013-01-01 18:00:00,-2395.88894924427,-5629.76128614128,-1672.15057519447,-6730.87432779236
2013-01-01 19:00:00,-2380.21371851033,-4463.96027296782,-1661.84066238243,-5348.43115213964
2013-01-01 20:00:00,-2394.30255550726,-3480.69154693199,-1671.44990216323,-4182.58545418917
2013-01-01 21:00:00,-2327.65463936027,-2132.59187362704,-1625.29076764964,-2567.72029129633
2013-01-01 22:00:00,-915.807316900408,-2395.2767349052,-639.464875832395,-2897.77618388165
2013-01-01 23:00:00,-1428.80619087568,-1987.08096449734,-997.668043816568,-2383.29155139983
2013-01-02 00:00:00,-1272.35715558251,-2411.6403028736,-888.426962892158,-2918.6869163516
2013-01-02 01:00:00,-1223.91650739833,-2355.37527119429,-854.603058601492,-2847.98517099382
2013-01-02 02:00:00,-1659.74690845552,-2180.52442683736,-1158.92309007791,-2628.57430493361
2013-01-02 03:00:00,69.0940149537733,-1914.79483841778,48.2458420629151,-2295.83604028801
2013-01-02 04:00:00,22.6119778315157,-2369.26484957607,15.7894389360707,-2867.57025116372
2013-01-02 05:00:00,554.809916357192,-2508.76132094543,387.398434362395,-3034.1497300556
2013-01-02 06:00:00,892.160586775329,-2381.94319268773,622.954604606963,-2884.95013429345
2013-01-02 07:00:00,-1953.48085702973,-2616.24093990095,-1364.02406256007,-3161.89094088231
2013-01-02 08:00:00,-1115.79604085555,-1232.05330519381,-779.10776411529,-1477.22938000088
2013-01-02 09:00:00,-200.345473764787,-681.157448738447,-139.891182601275,-816.706174611489
2013-01-02 10:00:00,-225.126170444944,-1737.53737706769,-157.194385105621,-2083.30450837164
2013-01-02 11:00:00,-1992.54320404401,-1542.54852916567,-1391.29851373679,-1849.51235684417
2013-01-02 12:00:00,-1945.92901567146,-1765.00576642823,-1358.73076104692,-2116.23906218121
2013-01-02 13:00:00,-2161.03055276165,-3235.89402147862,-1494.38695557599,-3890.17977207365
2013-01-02 14:00:00,-1817.28693687153,-4450.02938135766,-1268.91701693701,-5328.86980761604
2013-01-02 15:00:00,-690.302508530548,-5233.20588654255,-482.005694383516,-6257.63650811289
2013-01-02 16:00:00,482.11301006406,-5535.50598517096,336.637281256705,-6632.54286342364
2013-01-02 17:00:00,579.957026661839,-5626.32675228166,404.957231546656,-6745.40949679641
2013-01-02 18:00:00,1281.10281823812,-5233.5742258725,894.534651784297,-6257.31362938332
2013-01-02 19:00:00,1698.73335638707,-5317.27145366091,1186.14682819109,-6358.32810840551
2013-01-02 20:00:00,457.427928651677,-5360.58419464308,319.400889263592,-6410.5311797085
2013-01-02 21:00:00,1567.38342227785,-5546.23146600548,1094.43099553581,-6639.19718879428
2013-01-02 22:00:00,-6.51359621172619,-5627.38606180599,-4.54740010544915,-6729.44917111071
2013-01-02 23:00:00,1812.97312894376,-5593.05002695983,1265.91522433148,-6687.64424818623
2013-01-03 00:00:00,1964.57443616188,-5624.44552629961,1371.77131711688,-6724.3917591606
2013-01-03 01:00:00,1444.2167440586,-3891.64801829938,1008.42983169992,-4671.29612320582
2013-01-03 02:00:00,1987.37096565712,-3750.55118445585,1387.68913559028,-4504.35271327001
2013-01-03 03:00:00,1677.49142965619,-3380.18747871668,1171.31471708479,-4066.67132314989
2013-01-03 04:00:00,171.73831518322,-3023.25732551365,119.917560196795,-3644.66336057961
2013-01-03 05:00:00,1999.08148524346,-5507.97707767716,1395.86596470134,-6583.60279382412
2013-01-03 06:00:00,2256.20687371716,-5534.25725635381,1575.40778852285,-6614.85905526334
2013-01-03 07:00:00,3707.20649980354,-5517.58075650103,2588.44938298781,-6594.68400799106
2013-01-03 08:00:00,2260.04228451718,-5314.02464858283,1578.08270628562,-6353.70387552001
2013-01-03 09:00:00,1441.87419845694,-5479.16288216142,1006.79414463766,-6549.42923876463
2013-01-03 10:00:00,-2165.15221251259,-4748.14673154593,-1511.8236106493,-5682.64695027443
2013-01-03 11:00:00,-2143.87204906211,-3627.16204472321,-1496.96465961342,-4356.93477021009
2013-01-03 12:00:00,-2144.89259196793,-3145.82331719279,-1497.67724998035,-3787.85381707807
2013-01-03 13:00:00,140.385578176543,-2982.75817148315,98.0254158784233,-3594.49086330854
2013-01-03 14:00:00,2248.4316872144,-4679.91936732892,1574.50304483568,-5602.64461422884
2013-01-03 15:00:00,2183.51110240443,-5377.58498153094,1524.65084167816,-6429.22725392974
2013-01-03 16:00:00,2269.25244756151,-5478.28899510964,1590.43237182038,-6548.80919615435
2013-01-03 17:00:00,2265.97934858978,-5470.47448557632,1586.82993018725,-6540.25045420616
2013-01-03 18:00:00,2268.61003049601,-5449.61955517365,1586.89172530791,-6515.69052228081
2013-01-03 19:00:00,2228.59112920478,-5402.87080177594,1556.1267199742,-6459.57128789543
2013-01-03 20:00:00,1821.37880706917,-5343.33682756276,1271.78429672467,-6387.9735153309
