index,RoW -> BE,FR -> BE,NL -> RoW,UK -> RoW,FR -> RoW,NL -> BE,UK -> BE,NL -> UK,DE -> NL,BE -> FR,FR -> DE,DE -> UK,UK -> DE,BE -> RoW,FR -> UK,UK -> NL,UK -> FR,BE -> UK,RoW -> NL,RoW -> DE,BE -> NL,DE -> BE,FR -> NL,RoW -> FR,BE -> DE,RoW -> UK,DE -> FR,NL -> FR,NL -> DE,DE -> RoW
2030-01-01 00:00:00,,,,,,6488.82191013012,1349.99048536838,,,2466.24619211468,,,0.0155967500516213,,,0.484707944304328,36719.71976880399,,,,,1349.99442109345,,,,,1745.63371928841,,7796.83670163806,
2030-01-01 01:00:00,,,,,,7061.42255579354,1349.99052711493,,,2431.69535749825,,,0.103473139937496,,,2820.2892357368282,36719.71895405955,,,,,1349.99107284135,,,,,1711.86543770711,,8499.08737152146,
2030-01-01 02:00:00,,,,,,7023.05492514763,1349.99043142893,,,2360.06327637722,,,0.134643046097834,,,748.588556868917,36719.7167912795,,,,,1349.99106631942,,,,,1656.39147327959,,8453.37725791415,
2030-01-01 03:00:00,,,,,,6876.92544963391,1349.99035088423,,,3158.83632973775,,,0.111489743692599,,,914.0660608413052,36719.78350968465,,,,,1349.99089181842,,,,,2213.21631965925,,8283.57335716535,
2030-01-01 04:00:00,,,,,,6749.90132769046,1349.99019616456,,,3017.15132503572,,,1889.09378341171,,,5926.3797054542,36719.79536878984,,,,,1349.98931845873,,,,,2116.50566763768,,8130.13162632367,
2030-01-01 05:00:00,,,,,,6675.31166140958,1349.99018477925,,,2312.67346814846,,,1889.96477715062,,,5921.87509037524,36719.79759687646,,,,,1349.98394569539,,,,,1625.02676203763,,8039.38637079897,
2030-01-01 06:00:00,,,,,,6607.04185845433,1349.9910748265,,,2338.64907228096,,,1889.97083223192,,,5921.80446344584,36719.800364118295,,,,,1349.98454228633,,,,,1641.07584326232,,7956.56087399955,
2030-01-01 07:00:00,,,,,,6594.61717185492,1349.99115840486,,,2368.84975450582,,,1889.97128424518,,,5921.26985706374,36719.80294990513,,,,,1349.98457088256,,,,,1657.39207513489,,7938.99414897598,
2030-01-01 08:00:00,,,,,,6588.27720016972,1349.9912343351,,,2427.55773770625,,,1889.97193082926,,,5911.66514757792,36719.80440474676,,,,,1349.98447243183,,,,,1697.84097461656,,7930.70824882282,
2030-01-01 09:00:00,,,,,,6613.17289065282,1349.99505753308,,,2467.50583699925,,,1889.99079034947,,,5939.9546824369,36719.89105381212,,,,,1349.98396323976,,,,,1722.92679745015,,7959.15156815957,
