"Area / Date","Production Type","Code","Name","Intalled Capacity at the beginning of year [MW]","Current Installed Capacity [MW]","Location","Voltage Connection Level [kV]","Commissioning Date","Decommissioning Date"
"CTA|DK / 01.01.2017 00:00 - 01.01.2018 00:00","Biomass","45W0000000000102","Avedoerevaerket","N/A","815","Denmark","400","18.05.2017",""
"CTA|DK / 01.01.2017 00:00 - 01.01.2018 00:00","Fossil Hard coal","45W000000000012Z","Asnaesvaerket","N/A","787","Denmark","132","18.05.2017",""
"CTA|DK / 01.01.2017 00:00 - 01.01.2018 00:00","Fossil Hard coal","45W000000000015T","Studstrupvaerket","N/A","730","Denmark","400","31.03.2017",""
"CTA|DK / 01.01.2017 00:00 - 01.01.2018 00:00","Fossil Oil","45W000000000009O","Kyndbyvaerket","N/A","664","Denmark","132","18.05.2017",""
"CTA|DK / 01.01.2017 00:00 - 01.01.2018 00:00","Wind Offshore","45W000000000125M","DK_KF_AB_PU","N/A","604","Denmark","220","16.11.2020",""
"CTA|DK / 01.01.2017 00:00 - 01.01.2018 00:00","Fossil Hard coal","45W000000000013X","Amagervaerket","N/A","479","Denmark","132","18.05.2017",""
"CTA|DK / 01.01.2017 00:00 - 01.01.2018 00:00","Fossil Hard coal","45W000000000014V","Fynsvaerket","N/A","407","Denmark","400","18.05.2017",""
"CTA|DK / 01.01.2017 00:00 - 01.01.2018 00:00","Wind Offshore","45W000000000114R","Horns Rev C","N/A","407","Denmark","220","12.11.2018",""
"CTA|DK / 01.01.2017 00:00 - 01.01.2018 00:00","Fossil Hard coal","45W000000000016R","Nordjyllandsvaerket","N/A","405","Denmark","400","18.05.2017",""
"CTA|DK / 01.01.2017 00:00 - 01.01.2018 00:00","Wind Offshore","45W000000000022W","Anholt","N/A","400","Denmark","220","18.05.2017",""
"CTA|DK / 01.01.2017 00:00 - 01.01.2018 00:00","Fossil Gas","45W0000000000110","Skaerbaekvaerket","N/A","392","Denmark","400","18.05.2017",""
"CTA|DK / 01.01.2017 00:00 - 01.01.2018 00:00","Fossil Hard coal","45W000000000017P","Esbjergvaerket","N/A","377","Denmark","150","18.05.2017",""
"CTA|DK / 01.01.2017 00:00 - 01.01.2018 00:00","Solar","45W000000000153H","Solar Park Kassoe","N/A","303","DK1","150","20.05.2022",""
"CTA|DK / 01.01.2017 00:00 - 01.01.2018 00:00","Wind Offshore","45W000000000024S","Horns Rev B","N/A","209","Denmark","150","18.05.2017",""
"CTA|DK / 01.01.2017 00:00 - 01.01.2018 00:00","Wind Offshore","45W000000000021Y","Roedsand 2","N/A","207","Denmark","132","18.05.2017",""
"CTA|DK / 01.01.2017 00:00 - 01.01.2018 00:00","Wind Offshore","45W000000000172D","Vesterhav Nord","N/A","176","DK1","150","09.02.2024",""
"CTA|DK / 01.01.2017 00:00 - 01.01.2018 00:00","Wind Offshore","45W000000000173B","Vesterhav Syd","N/A","168","DK1","150","10.11.2023",""
"CTA|DK / 01.01.2017 00:00 - 01.01.2018 00:00","Solar","45W000000000156B","Solar Park Gedmosen","N/A","165","DK1","150","07.10.2021",""
"CTA|DK / 01.01.2017 00:00 - 01.01.2018 00:00","Wind Offshore","45W000000000019L","Roedsand 1","N/A","161","Denmark","132","18.05.2017",""
"CTA|DK / 01.01.2017 00:00 - 01.01.2018 00:00","Wind Offshore","45W000000000023U","Horns Rev A","N/A","160","Denmark","150","18.05.2017",""
"CTA|DK / 01.01.2017 00:00 - 01.01.2018 00:00","Fossil Gas","45W000000000112V","Silkeborgvaerket","N/A","108","Denmark","60","18.05.2017",""
"CTA|DK / 01.01.2017 00:00 - 01.01.2018 00:00","Fossil Gas","45V0000000000091","Avedoerevaerket","815","N/A","Denmark","400","18.11.2014","18.05.2017"
"CTA|DK / 01.01.2017 00:00 - 01.01.2018 00:00","Fossil Hard coal","45V000000000011E","Asnaesvaerket","787","N/A","Denmark","132","05.03.2013","18.05.2017"
"CTA|DK / 01.01.2017 00:00 - 01.01.2018 00:00","Fossil Hard coal","45V0000000000148","Studstrupvaerket","730","N/A","Denmark","400","18.11.2014","31.03.2017"
"CTA|DK / 01.01.2017 00:00 - 01.01.2018 00:00","Fossil Oil","45V0000000000083","Kyndbyvaerket","664","N/A","Denmark","132","18.11.2014","18.05.2017"
"CTA|DK / 01.01.2017 00:00 - 01.01.2018 00:00","Fossil Hard coal","45V0000000000237","Enstedvaerket","626","N/A","Denmark","150","18.11.2014","18.05.2017"
"CTA|DK / 01.01.2017 00:00 - 01.01.2018 00:00","Fossil Hard coal","45V000000000013A","Fynsvaerket","407","N/A","Denmark","400","18.11.2014","18.05.2017"
"CTA|DK / 01.01.2017 00:00 - 01.01.2018 00:00","Fossil Hard coal","45V0000000000156","Nordjyllandsvaerket","405","N/A","Denmark","400","18.11.2014","18.05.2017"
"CTA|DK / 01.01.2017 00:00 - 01.01.2018 00:00","Wind Offshore","45V000000000020D","Anholt","400","N/A","Denmark","220","18.11.2014","18.05.2017"
"CTA|DK / 01.01.2017 00:00 - 01.01.2018 00:00","Fossil Gas","45V000000000010G","Skaerbaekvaerket","392","N/A","Denmark","400","18.11.2014","18.05.2017"
"CTA|DK / 01.01.2017 00:00 - 01.01.2018 00:00","Fossil Hard coal","45V0000000000164","Esbjergvaerket","377","N/A","Denmark","150","18.11.2014","18.05.2017"
"CTA|DK / 01.01.2017 00:00 - 01.01.2018 00:00","Fossil Hard coal","45V000000000012C","Amagervaerket","330","N/A","Denmark","132","18.11.2014","18.05.2017"
"CTA|DK / 01.01.2017 00:00 - 01.01.2018 00:00","Fossil Hard coal","45V0000000000172","Stigsnaesvaerket","264","N/A","Denmark","132","18.11.2014","18.05.2017"
"CTA|DK / 01.01.2017 00:00 - 01.01.2018 00:00","Wind Offshore","45V0000000000229","Horns Rev B","209","N/A","Denmark","150","18.11.2014","18.05.2017"
"CTA|DK / 01.01.2017 00:00 - 01.01.2018 00:00","Wind Offshore","45V000000000019Z","Roedsand 2","207","N/A","Denmark","132","18.11.2014","18.05.2017"
"CTA|DK / 01.01.2017 00:00 - 01.01.2018 00:00","Wind Offshore","45V0000000000180","Roedsand 1","166","N/A","Denmark","132","18.11.2014","18.05.2017"
"CTA|DK / 01.01.2017 00:00 - 01.01.2018 00:00","Wind Offshore","45V000000000021B","Horns Rev A","160","N/A","Denmark","150","18.11.2014","18.05.2017"
"CTA|DK / 01.01.2017 00:00 - 01.01.2018 00:00","Fossil Gas","45V0000000000245","Silkeborgvaerket","108","N/A","Denmark","60","18.11.2014","18.05.2017"
