"Area / Date","Production Type","Code","Name","Intalled Capacity at the beginning of year [MW]","Current Installed Capacity [MW]","Location","Voltage Connection Level [kV]","Commissioning Date","Decommissioning Date"
"CTA|SE / 01.01.2017 00:00 - 01.01.2018 00:00","Nuclear","46WPU0000000061P","Oskarshamn 3","1400","1400","SE3","400","01.11.2014",""
"CTA|SE / 01.01.2017 00:00 - 01.01.2018 00:00","Nuclear","46WPU0000000017S","Forsmark block 3","1167","1172","SE3","400","01.11.2014",""
"CTA|SE / 01.01.2017 00:00 - 01.01.2018 00:00","Nuclear","46WPU0000000014Y","Ringhals 4","1106","1140","SE3","400","01.11.2014",""
"CTA|SE / 01.01.2017 00:00 - 01.01.2018 00:00","Nuclear","46WPU0000000016U","Forsmark block 2","1120","1121","SE3","400","01.11.2014",""
"CTA|SE / 01.01.2017 00:00 - 01.01.2018 00:00","Nuclear","46WPU00000000121","Ringhals 3","1065","1063","SE3","400","01.11.2014",""
"CTA|SE / 01.01.2017 00:00 - 01.01.2018 00:00","Nuclear","46WPU0000000015W","Forsmark block 1","984","1014","SE3","400","01.11.2014",""
"CTA|SE / 01.01.2017 00:00 - 01.01.2018 00:00","Hydro Water Reservoir","46WPU0000000029L","Harsprånget","811","811","SE1","400","01.11.2014",""
"CTA|SE / 01.01.2017 00:00 - 01.01.2018 00:00","Fossil Oil","46WPU0000000005Z","Karlshamn","670","662","SE4","400","01.11.2014",""
"CTA|SE / 01.01.2017 00:00 - 01.01.2018 00:00","Wind Onshore","46WPU0000000113W","MarkbygdenETT","N/A","645","SE1","130","25.08.2020",""
"CTA|SE / 01.01.2017 00:00 - 01.01.2018 00:00","Hydro Water Reservoir","46WPU0000000042T","Stornorrfors","610","610","SE2","400","01.07.2014",""
"CTA|SE / 01.01.2017 00:00 - 01.01.2018 00:00","Hydro Water Reservoir","46WPU0000000035Q","Letsi","473","473","SE1","400","01.11.2014",""
"CTA|SE / 01.01.2017 00:00 - 01.01.2018 00:00","Hydro Water Reservoir","46WPU0000000032W","Messaure","445","445","SE1","400","01.11.2014",""
"CTA|SE / 01.01.2017 00:00 - 01.01.2018 00:00","Hydro Water Reservoir","46WPU0000000028N","Porjus","422","422","SE1","130","01.11.2014",""
"CTA|SE / 01.01.2017 00:00 - 01.01.2018 00:00","Wind Onshore","46WPU0000000144L","Djupdal","N/A","380","Markbygden","150","01.09.2021",""
"CTA|SE / 01.01.2017 00:00 - 01.01.2018 00:00","Fossil Oil","46WPU0000000023X","Värtaverket","440","374","SE3","110","01.11.2014",""
"CTA|SE / 01.01.2017 00:00 - 01.01.2018 00:00","Wind Onshore","46WPU0000000145J","Kallamossen","N/A","374","Markbygden","150","01.09.2021",""
"CTA|SE / 01.01.2017 00:00 - 01.01.2018 00:00","Wind Onshore","46WPU0000000203V","Björnberget Vindkraft","N/A","372","SE2","36","20.09.2023",""
"CTA|SE / 01.01.2017 00:00 - 01.01.2018 00:00","Hydro Water Reservoir","46WPU0000000026R","Ritsem","334","334","SE1","400","01.11.2014",""
"CTA|SE / 01.01.2017 00:00 - 01.01.2018 00:00","Hydro Water Reservoir","46WPU0000000018Q","Trängslet","330","330","SE3","130","01.11.2014",""
"CTA|SE / 01.01.2017 00:00 - 01.01.2018 00:00","Hydro Water Reservoir","46WPU0000000031Y","Ligga","329","329","SE1","400","01.11.2014",""
"CTA|SE / 01.01.2017 00:00 - 01.01.2018 00:00","Hydro Water Reservoir","46WPU0000000027P","Vietas","325","307","SE1","400","01.11.2014",""
"CTA|SE / 01.01.2017 00:00 - 01.01.2018 00:00","Wind Onshore","46WPU00000000016","Vindpark Björkhöjden","288","288","SE2","145","01.11.2014",""
"CTA|SE / 01.01.2017 00:00 - 01.01.2018 00:00","Wind Onshore","46WPU0000000128J","Åskälen","N/A","288","Åskälen, Hammerdal","220","01.04.2020",""
"CTA|SE / 01.01.2017 00:00 - 01.01.2018 00:00","Wind Onshore","46WPU0000000137I","Åndberg","N/A","286","Härjedalen","130","15.11.2021",""
"CTA|SE / 01.01.2017 00:00 - 01.01.2018 00:00","Fossil Oil","46WPU00000000024","Gasturbiner Halmstad","250","278","SE4","130","01.11.2014",""
"CTA|SE / 01.01.2017 00:00 - 01.01.2018 00:00","Hydro Water Reservoir","46WPU0000000036O","Porsi","273","273","SE1","130","01.11.2014",""
"CTA|SE / 01.01.2017 00:00 - 01.01.2018 00:00","Hydro Water Reservoir","46WPU0000000045N","Kilforsen","272","272","SE2","400","01.11.2014",""
"CTA|SE / 01.01.2017 00:00 - 01.01.2018 00:00","Hydro Water Reservoir","46WPU0000000085B","Krångede","250","266","SE2","220","01.01.2015",""
"CTA|SE / 01.01.2017 00:00 - 01.01.2018 00:00","Fossil Gas","46WPU0000000062N","Rya KVV","250","260","SE3","132","01.11.2014",""
"CTA|SE / 01.01.2017 00:00 - 01.01.2018 00:00","Wind Onshore","46WPU00000002000","Stor-Skälsjön","N/A","260","Sundsvall","132","16.09.2023",""
