"Area / Date","Production Type","Code","Name","Intalled Capacity at the beginning of year [MW]","Current Installed Capacity [MW]","Location","Voltage Connection Level [kV]","Commissioning Date","Decommissioning Date"
"CTA|AT / 01.01.2017 00:00 - 01.01.2018 00:00","Fossil Gas","14W-PROD-SIM---P","KW Simmering","1272","1349","intra_zonal","380","01.07.2011",""
"CTA|AT / 01.01.2017 00:00 - 01.01.2018 00:00","Fossil Gas","14W-WGM-KW-----J","GDK-Mellach","838","838","intra_zonal","380","29.08.2013",""
"CTA|AT / 01.01.2017 00:00 - 01.01.2018 00:00","Hydro Pumped Storage","14W-DMH-KW-----9","Malta-Hauptstufe","730","728","intra_zonal","380","01.07.2011",""
"CTA|AT / 01.01.2017 00:00 - 01.01.2018 00:00","Fossil Gas","14W-KW-THE-EVN-7","Kraftwerk Theiß","755","495","intra_zonal","110","10.06.2010",""
"CTA|AT / 01.01.2017 00:00 - 01.01.2018 00:00","Hydro Pumped Storage","14W-TKP-KW-----I","Limberg II","480","480","intra_zonal","380","01.07.2011",""
"CTA|AT / 01.01.2017 00:00 - 01.01.2018 00:00","Hydro Pumped Storage","14W-DRP-KW-----M","Reisseck 2","430","430","intra_zonal","380","01.12.2016",""
"CTA|AT / 01.01.2017 00:00 - 01.01.2018 00:00","Fossil Gas","14WENERGIE--WT02","Kraftwerk Timelkam Gesamtanlage","400","400","intra_zonal","110","01.07.2011",""
"CTA|AT / 01.01.2017 00:00 - 01.01.2018 00:00","Hydro Pumped Storage","14W-TZH-KW-----7","Häusling","360","400","intra_zonal","380","01.07.2011",""
"CTA|AT / 01.01.2017 00:00 - 01.01.2018 00:00","Fossil Gas","14W-PROD-DO----O","KW Donaustadt","395","395","intra_zonal","380","01.07.2011",""
"CTA|AT / 01.01.2017 00:00 - 01.01.2018 00:00","Hydro Water Reservoir","11WD2KAUT0001512","KW Kaunertal","N/A","392","intra_zonal","220","01.10.2018",""
"CTA|AT / 01.01.2017 00:00 - 01.01.2018 00:00","Hydro Water Reservoir","14W-TZMA-KW----N","Mayrhofen","355","368","intra_zonal","380","01.07.2011",""
"CTA|AT / 01.01.2017 00:00 - 01.01.2018 00:00","Hydro Run-of-river and poundage","14W-BAW-KW-----F","Altenwörth","328","333","intra_zonal","380","01.07.2011",""
"CTA|AT / 01.01.2017 00:00 - 01.01.2018 00:00","Hydro Run-of-river and poundage","14W-BGS-KW-----Q","Greifenstein","293","297","intra_zonal","380","01.07.2011",""
"CTA|AT / 01.01.2017 00:00 - 01.01.2018 00:00","Hydro Run-of-river and poundage","14W-BAS-KW-----I","Aschach","287","289","intra_zonal","380","01.07.2011",""
