Production Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
BIO,10,0.0,10,10,12,12,12,0.0,0.0,0.0
GAS,0,0.0,0,0,0,0,0,0.0,0.0,0.0
GEO,0,0.0,0,0,0,0,0,0.0,0.0,0.0
HRD,0,0.0,0,0,0,0,0,0.0,0.0,0.0
LIG,0,0.0,0,0,0,0,0,0.0,0.0,0.0
NUC,0,0.0,0,0,0,0,0,0.0,0.0,0.0
OIL,1478,0.0,1478,1478,1478,1478,1478,0.0,0.0,0.0
OTH,0,0.0,0,0,0,0,0,0.0,0.0,0.0
PEA,0,0.0,0,0,0,0,0,0.0,0.0,0.0
SUN,76,0.0,115,123,150,205,252,0.0,0.0,0.0
Total Grand capacity,1722,0.0,1761,1769,1798,1853,1900,0.0,0.0,0.0
WAT,0,0.0,0,0,0,0,0,0.0,0.0,0.0
WIN,158,0.0,158,158,158,158,158,0.0,0.0,0.0
WST,0,0.0,0,0,0,0,0,0.0,0.0,0.0
