Production Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
BIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAS,3801.0,3801.0,4265.0,4265.0,4265.0,4265.0,4265.0,4265.0,4265.0,4265.0
GEO,0.0,0.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
HRD,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0
LIG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NUC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OIL,811.0,811.0,1272.0,1272.0,1272.0,1272.0,1272.0,1272.0,1272.0,1272.0
OTH,647.0,647.0,647.0,647.0,647.0,647.0,647.0,647.0,647.0,647.0
PEA,344.0,344.0,344.0,344.0,344.0,344.0,344.0,344.0,344.0,344.0
SUN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Grand capacity,8873.0,8886.0,9828.0,9828.0,9827.0,9827.0,9827.0,9827.0,9827.0,9827.0
WAT,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0
WIN,1907.0,1920.0,1920.0,1920.0,1919.0,1919.0,1919.0,1919.0,1919.0,1919.0
WST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
