Production_Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Fossil_Peat,0,0,0,0,0,0,0,0,0,
Nuclear,,,,,,,,,,
Fossil_Hard_coal,1360,6386,7902,6030,4851,7617,6987,6376,5576,5583
Wind_Onshore,8457,8739,9024,9261,9617,10224,10302,10658,11204,11651
Fossil_Brown_coal-Lignite,0,0,0,0,0,0,0,0,0,
Geothermal,869,869,869,869,869,869,869,869,869,868
Hydro_Run-of-river_and_poundage,10719,10482,10389,10826,10650,10441,10472,10507,10553,10291
Hydro_Water_Reservoir,6362,4226,4375,4733,3857,4459,4454,4441,4440,4542
Wind_Offshore,0,0,0,0,0,0,0,0,30,30
Hydro_Pumped_Storage,4714,7064,7157,6453,7574,7276,7276,7256,7256,7256
Other_renewable,0,0,2,2,2,2,2,2,2,1
Solar,4980,4768,4659,4719,4717,4874,4979,5137,5431,5927
Fossil_Oil_shale,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Waste,116,248,241,142,132,125,125,122,120,670
Fossil_Gas,20796,29923,39868,39103,46322,42523,41925,41961,44215,45157
Fossil_Coal-derived_gas,407,766,946,2025,1812,1764,2064,2041,2072,2071
Fossil_Oil,5017,8802,4928,2475,1443,1493,1480,1490,1543,1564
Marine,0,0,0,0,0,0,0,0,0,0
Other,37816,13911,1708,5788,991,1394,837,825,853,334
Biomass,934,1610,1625,1354,1538,1549,1587,1548,1534,1543
Total_Grand_capacity,102547,97794,93693,93780,94373,94608,93357,93231,95696,97488
