Production_Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Fossil_Peat,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Nuclear,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Fossil_Hard_coal,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Wind_Onshore,158,,158,158,158,158,158,,,
Fossil_Brown_coal-Lignite,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Geothermal,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Hydro_Run-of-river_and_poundage,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Hydro_Water_Reservoir,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Wind_Offshore,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Hydro_Pumped_Storage,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Other_renewable,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Solar,76,,115,123,150,205,252,,,
Fossil_Oil_shale,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Waste,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Fossil_Gas,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Fossil_Coal-derived_gas,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Fossil_Oil,1478,,1478,1478,1478,1478,1478,,,
Marine,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Other,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Biomass,10,,10,10,12,12,12,,,
Total_Grand_capacity,1722,,1761,1769,1798,1853,1900,,,
