Production_Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Fossil_Peat,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Nuclear,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Fossil_Hard_coal,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Wind_Onshore,627,692,904,1232,2262,3866,5105,5105,5130,5133
Fossil_Brown_coal-Lignite,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Geothermal,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Hydro_Run-of-river_and_poundage,4351,4522,4660,5586,5937,6248,6677,6677,6702,6875
Hydro_Water_Reservoir,24961,25378,25393,26313,26472,26533,26683,26683,26701,26660
Wind_Offshore,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Hydro_Pumped_Storage,1042,1042,1042,1031,1031,1031,1065,1065,1065,1065
Other_renewable,,,,,,,100,100,100,100
Solar,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,9
Fossil_Oil_shale,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Waste,,,,,,,90,90,90,92
Fossil_Gas,1412,1412,611,635,635,642,639,639,459,473
Fossil_Coal-derived_gas,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Fossil_Oil,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Marine,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Other,0,0,0,0,0,0,31,31,31,31
Biomass,n/e,n/e,n/e,n/e,n/e,n/e,n/e,,,14
Total_Grand_capacity,32393,33046,32610,34797,36337,38320,40390,40390,40278,40452
