Production Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
BIO,92,95,115,116,115,117,117,116,118,118
GAS,4861,4879,5020,5142,3033,2666,2184,2218,1988,2238
GEO,0,0,0,0,0,0,0,0,0,0
HRD,1348,1348,1232,1227,1032,1032,986,176,176,176
LIG,4524,4546,4622,4578,3096,3071,2483,2497,2497,1733
NUC,1298,1298,1300,1300,1300,1300,1300,1300,1300,1300
OIL,0,0,0,0,0,0,0,0,0,0
OTH,0,0,0,0,0,0,0,0,0,0
PEA,0,0,0,0,0,0,0,0,0,0
SUN,1101,1152,1210,1211,1150,1163,1145,1160,1185,1293
Total Grand capacity,22590,22959,22965,23051,18837,18461,17306,16561,16357,15955
WAT,6470,6703,6481,6490,6143,6140,6134,6137,6136,6139
WIN,2896,2938,2985,2987,2968,2972,2957,2957,2957,2958
WST,0,0,0,0,0,0,0,0,0,0
