Production_Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Fossil_Peat,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Nuclear,1298,1298,1300,1300,1300,1300,1300,1300,1300,1300
Fossil_Hard_coal,1348,1348,1232,1227,1032,1032,986,176,176,176
Wind_Onshore,2896,2938,2985,2987,2968,2972,2957,2957,2957,2958
Fossil_Brown_coal-Lignite,4524,4546,4622,4578,3096,3071,2483,2497,2497,1733
Geothermal,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Hydro_Run-of-river_and_poundage,2670,2697,2681,2687,2770,2750,2746,2780,2780,2780
Hydro_Water_Reservoir,3800,4006,3800,3803,3373,3390,3388,3357,3356,3359
Wind_Offshore,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Hydro_Pumped_Storage,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Other_renewable,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Solar,1101,1152,1210,1211,1150,1163,1145,1160,1185,1293
Fossil_Oil_shale,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Waste,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Fossil_Gas,4861,4879,5020,5142,3033,2666,2184,2218,1988,2238
Fossil_Coal-derived_gas,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Fossil_Oil,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Marine,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Other,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Biomass,92,95,115,116,115,117,117,116,118,118
Total_Grand_capacity,22590,22959,22965,23051,18837,18461,17306,16561,16357,15955
