Production_Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Fossil_Peat,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Nuclear,12068,10793,10793,9516,9516,8114,8114,4056,4056,
Fossil_Hard_coal,26190,26264,27437,25035,25293,22458,23499,18830,18127,12966
Wind_Onshore,37701,41168,47042,51633,52792,53184,54499,55289,57590,59915
Fossil_Brown_coal-Lignite,21160,21062,21262,21275,21205,21067,20487,18544,17692,18363
Geothermal,34,34,40,38,42,47,44,51,56,56
Hydro_Run-of-river_and_poundage,3989,3996,4007,3860,3983,3970,3814,3660,3715,3747
Hydro_Water_Reservoir,1518,1518,1439,1440,1298,1298,1298,1298,1334,1381
Wind_Offshore,993,3283,4131,5051,6393,7504,7774,7787,8129,8386
Hydro_Pumped_Storage,8699,8699,8894,8918,9422,9422,9422,9379,9379,9449
Other_renewable,449,511,510,496,445,407,420,352,384,358
Solar,37271,38686,40834,42804,45299,48206,53302,57744,63066,73821
Fossil_Oil_shale,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Waste,1685,1685,1685,1686,1686,1661,1640,1599,1912,1808
Fossil_Gas,31734,32398,32627,31361,31664,31712,31942,30553,31808,36255
Fossil_Coal-derived_gas,,0,0,0,0,0,0,0,1257,1257
Fossil_Oil,4532,4605,4614,4271,4356,4373,4184,3966,4083,4118
Marine,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Other,1220,1286,1421,1418,1235,1558,1639,1679,1706,1630
Biomass,6808,6815,7080,7396,7752,7987,8400,8332,8467,8641
Total_Grand_capacity,196051,202803,213816,216198,222381,222968,230478,223119,232761,242151
