Production Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
BIO,259,224,225,224,214,224,234,0.0,0.0,0.0
GAS,1093,1121,1106,1111,1153,1152,1183,0.0,0.0,0.0
GEO,0,0,0,0,0,0,0,0.0,0.0,0.0
HRD,440,220,221,221,221,1,1,0.0,0.0,0.0
LIG,568,458,333,345,320,308,276,0.0,0.0,0.0
NUC,1940,1940,1940,1940,1940,1940,2003,0.0,0.0,0.0
OIL,195,255,257,257,257,257,259,0.0,0.0,0.0
OTH,532,560,567,554,534,756,742,0.0,0.0,0.0
PEA,0,0,0,0,0,0,0,0.0,0.0,0.0
SUN,532,530,530,531,531,531,532,0.0,0.0,0.0
Total Grand capacity,8095,7848,7721,7728,7715,7716,7779,0.0,0.0,0.0
WAT,2533,2537,2539,2542,2542,2544,2546,0.0,0.0,0.0
WIN,3,3,3,3,3,3,3,0.0,0.0,0.0
WST,0,0,0,0,0,0,0,0.0,0.0,0.0
