Production Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
BIO,582,582,598,594,605,679,684,681,647,681
GAS,4719,4695,4657,4621,4606,4606,4585,4520,4585,4433
GEO,0,0,0,0,0,0,0,0,0,0
HRD,1756,1756,1756,1756,1756,1756,1756,0,0,0
LIG,0,0,0,0,0,0,0,0,0,0
NUC,0,0,0,0,0,0,0,0,0,0
OIL,0,0,0,0,0,0,0,0,0,0
OTH,167,79,60,40,36,8,28,28,28,28
PEA,0,0,0,0,0,0,0,0,0,0
SUN,221,251,261,272,324,413,569,1032,1332,1811
Total Grand capacity,17591,18101,19278,19525,19647,19836,20022,18812,20141,20503
WAT,5660,6121,6918,7169,7193,7193,7192,7198,8196,8192
WIN,4486,4617,5028,5073,5127,5181,5208,5353,5353,5358
WST,0,0,0,0,0,0,0,0,0,0
