Production Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
BIO,934,1610,1625,1354,1538,1549,1587,1548,1534,1543
GAS,21203,30689,40814,41128,48134,44287,43989,44002,46287,47228
GEO,869,869,869,869,869,869,869,869,869,868
HRD,1360,6386,7902,6030,4851,7617,6987,6376,5576,5583
LIG,0,0,0,0,0,0,0,0,0,0
NUC,0,0,0,0,0,0,0,0,0,0
OIL,5017,8802,4928,2475,1443,1493,1480,1490,1543,1564
OTH,37816,13911,1710,5790,991,1394,837,825,853,335
PEA,0,0,0,0,0,0,0,0,0,0
SUN,4980,4768,4659,4719,4717,4874,4979,5137,5431,5927
Total Grand capacity,102547,97794,93693,93780,94373,94608,93357,93231,95696,97488
WAT,21795,21772,21921,22012,22081,22176,22202,22204,22249,22089
WIN,8457,8739,9024,9261,9617,10224,10302,10658,11234,11681
WST,116,248,241,142,132,125,125,122,120,670
