Production Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
BIO,573,590,598,598,619,647,672,700,730,731
GAS,6753,6429,6464,6534,6642,6799,7282,6819,6988,6995
GEO,0,0,0,0,0,0,0,0,0,0
HRD,0,0,0,0,0,0,0,0,0,0
LIG,0,0,0,0,0,0,0,0,0,0
NUC,5943,5943,5943,5943,5943,5943,5943,5943,4937,3929
OIL,229,214,224,239,242,246,275,398,450,452
OTH,0,0,0,0,19,19,19,19,27,27
PEA,0,0,0,0,0,0,0,0,0,0
SUN,2818,2953,2953,2953,3369,3887,4788,4788,6475,8789
Total Grand capacity,20105,19928,20644,21265,22472,24056,25708,25585,26800,28116
WAT,1470,1476,1478,1479,1480,1483,1484,1493,1494,1494
WIN,1961,1961,2622,3157,3796,4670,4883,5041,5315,5315
WST,358,362,362,362,362,362,362,384,384,384
