Production Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
BIO,0,170,170,1840,1931,1578,1579,1301,1343,1403
GAS,6121,6121,6696,11812,11952,12238,12218,13074,12893,13133
GEO,0,0,0,0,0,0,0,2,2,2
HRD,4810,2930,2930,3972,3966,1812,1812,1816,1816,1812
LIG,0,0,0,0,0,0,0,0,0,0
NUC,63130,63130,63130,63130,63130,63130,61370,61370,61370,61370
OIL,6670,6670,5300,6263,3271,2874,2746,2762,2566,3042
OTH,302,302,302,415,348,1316,1366,1400,1388,1275
PEA,0,0,0,0,0,0,0,0,0,0
SUN,6191,6772,7660,7170,8188,9438,10213,13154,14639,17419
Total Grand capacity,121039,121351,123280,131940,130653,134762,134340,141031,143815,149491
WAT,23493,23495,23523,24820,24257,25324,25349,25669,25533,25450
WIN,10322,11761,13569,12518,13610,16592,17227,19536,21336,23617
WST,0,0,0,0,0,460,460,947,929,968
