Production Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
BIO,2051,1534,1663,1813,1804,1860,1860,1895,1833,1695
GAS,1611,482,1795,1865,1912,1849,1849,1935,1780,1742
GEO,0,0,0,0,0,0,0,0,0,0
HRD,2792,3416,2854,2278,2278,2163,1682,1682,1557,1410
LIG,0,0,0,0,0,0,0,0,0,0
NUC,2752,2782,2782,2782,2785,2794,2794,2794,2794,4364
OIL,1705,893,1427,1386,1434,1300,1089,1051,1051,1051
OTH,64,1387,648,619,591,710,709,784,828,840
PEA,1685,1024,1077,1135,1135,1135,1135,1116,1051,1044
SUN,0,0,0,0,3,7,7,7,18,27
Total Grand capacity,16492,15759,16911,17092,17260,17274,16863,17729,19314,22051
WAT,3264,3112,3107,3149,3148,3148,3153,3167,3167,3173
WIN,496,1082,1432,1908,2013,2145,2422,3184,5121,6618
WST,72,47,126,157,157,163,163,114,114,87
