Production_Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Fossil_Peat,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Nuclear,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Fossil_Hard_coal,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Wind_Onshore,1613,1875,1875,2228,2355,3153,3755,4150,4547,5065
Fossil_Brown_coal-Lignite,4459,3912,3912,3912,3912,3362,2561,2001,2650,2650
Geothermal,46,46,46,46,46,46,46,46,46,46
Hydro_Run-of-river_and_poundage,,299,299,299,299,299,312,319,321,327
Hydro_Water_Reservoir,2456,2403,2403,2403,2403,2403,2403,2403,2403,2403
Wind_Offshore,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Hydro_Pumped_Storage,693,699,699,699,699,699,699,699,699,699
Other_renewable,298,69,69,69,69,105,106,109,120,128
Solar,2429,2441,2441,2441,2441,2606,3055,3820,5100,6700
Fossil_Oil_shale,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Waste,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Fossil_Gas,4913,5396,5245,5245,4902,4902,4902,5213,6030,6030
Fossil_Coal-derived_gas,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Fossil_Oil,718,718,718,718,718,718,718,718,718,718
Marine,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Other,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Biomass,,51,51,51,51,86,95,106,127,120
Total_Grand_capacity,17625,17145,16994,17347,17131,17615,17888,18820,21997,24122
