Production_Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Fossil_Peat,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Nuclear,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Fossil_Hard_coal,325,325,325,325,332,332,217,217,217,217
Wind_Onshore,429,489,537,582,616,739,796,925,981,1137
Fossil_Brown_coal-Lignite,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Geothermal,n/e,n/e,n/e,n/e,10,10,10,10,10,10
Hydro_Run-of-river_and_poundage,421,421,421,421,421,421,427,428,428,428
Hydro_Water_Reservoir,1388,1388,1388,1388,1436,1444,1445,1446,1446,1446
Wind_Offshore,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Hydro_Pumped_Storage,281,281,281,281,283,281,281,281,281,281
Other_renewable,25,34,39,46,49,50,54,57,83,95
Solar,44,49,51,52,53,53,85,96,140,190
Fossil_Oil_shale,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Waste,6,6,6,6,6,6,6,6,6,6
Fossil_Gas,743,743,743,743,743,743,743,750,766,886
Fossil_Coal-derived_gas,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Fossil_Oil,950,950,950,950,937,937,77,75,45,45
Marine,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Other,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Biomass,25,26,36,52,71,91,108,111,114,114
Total_Grand_capacity,4637,4712,4777,4846,4957,5107,4249,4402,4517,4855
