Production_Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Fossil_Peat,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Nuclear,1887,1887,1887,1899,1899,1899,1910,1916,1916,1916
Fossil_Hard_coal,n/e,n/e,n/e,n/e,n/e,42,42,42,42,42
Wind_Onshore,329,328,324,325,327,323,323,323,323,325
Fossil_Brown_coal-Lignite,1099,1007,1049,1049,1049,1007,1007,1007,787,787
Geothermal,n/e,n/e,n/e,n/e,3,3,3,3,3,3
Hydro_Run-of-river_and_poundage,29,29,28,28,30,30,30,33,33,33
Hydro_Water_Reservoir,28,28,28,28,28,28,28,28,28,28
Wind_Offshore,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Hydro_Pumped_Storage,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Other_renewable,71,60,64,68,74,74,69,70,70,71
Solar,6,29,70,336,936,1407,1829,2524,3300,3496
Fossil_Oil_shale,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Waste,25,28,28,36,59,59,49,49,49,49
Fossil_Gas,4224,4124,4114,4107,4028,4030,4011,3974,3151,3158
Fossil_Coal-derived_gas,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Fossil_Oil,410,410,410,412,421,420,420,425,425,425
Marine,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Other,,,,,,,,,22,26
Biomass,134,246,246,251,246,241,213,213,213,214
Total_Grand_capacity,8242,8176,8248,8539,9100,9563,9934,10607,10362,10573
