Production_Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Fossil_Peat,0,0,0,0,0,0,0,0,0,0
Nuclear,696,696,696,696,696,696,696,696,696,696
Fossil_Hard_coal,0,0,0,0,0,0,0,0,0,0
Wind_Onshore,3,3,3,3,3,3,3,3,2,3
Fossil_Brown_coal-Lignite,1228,921,924,924,924,967,981,981,1191,1191
Geothermal,0,0,0,0,0,0,0,0,0,0
Hydro_Run-of-river_and_poundage,1053,1053,1053,1053,1053,1111,1125,1125,1129,1125
Hydro_Water_Reservoir,0,0,0,0,0,0,0,0,0,0
Wind_Offshore,0,0,0,0,0,0,0,0,0,0
Hydro_Pumped_Storage,180,180,180,180,180,180,180,180,180,180
Other_renewable,1,1,1,1,1,1,1,1,1,1
Solar,262,263,266,275,275,278,459,459,702,1110
Fossil_Oil_shale,0,0,0,0,0,0,0,0,0,0
Waste,35,40,40,40,40,38,4,4,33,6
Fossil_Gas,490,491,491,491,491,546,548,548,618,756
Fossil_Coal-derived_gas,0,0,0,0,0,0,0,0,0,0
Fossil_Oil,0,0,58,58,58,58,58,58,58,58
Marine,0,0,0,0,0,0,0,0,0,0
Other,0,0,0,0,0,0,0,0,0,0
Biomass,16,17,17,17,17,23,16,16,14,43
Total_Grand_capacity,3964,3664,3728,3738,3738,3900,4012,4012,4623,5168
