Production Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
BIO,0,0,0,0,0,0,0,0,0,14
GAS,1412,1412,611,635,635,642,639,639,459,473
GEO,0,0,0,0,0,0,0,0,0,0
HRD,0,0,0,0,0,0,0,0,0,0
LIG,0,0,0,0,0,0,0,0,0,0
NUC,0,0,0,0,0,0,0,0,0,0
OIL,0,0,0,0,0,0,0,0,0,0
OTH,0,0,0,0,0,0,131,131,131,131
PEA,0,0,0,0,0,0,0,0,0,0
SUN,0,0,0,0,0,0,0,0,0,9
Total Grand capacity,32393,33046,32610,34797,36337,38320,40390,40390,40278,40452
WAT,30354,30942,31095,32930,33440,33812,34425,34425,34468,34600
WIN,627,692,904,1232,2262,3866,5105,5105,5130,5133
WST,0,0,0,0,0,0,90,90,90,92
