Production Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
BIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GEO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HRD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NUC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OTH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Grand capacity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
