Production_Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Fossil_Peat,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Nuclear,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Fossil_Hard_coal,19366,18479,18094,20076,22261,22286,20925,19073,19008,18687
Wind_Onshore,3758,5494,6026,5791,5808,5953,6570,7950,8978,9628
Fossil_Brown_coal-Lignite,8427,8483,8214,8559,8013,7677,7597,7560,7560,7548
Geothermal,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Hydro_Run-of-river_and_poundage,378,395,396,455,435,448,447,321,323,322
Hydro_Water_Reservoir,156,156,156,157,157,157,157,464,469,469
Wind_Offshore,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Hydro_Pumped_Storage,1770,1770,1770,1780,1780,1780,1794,1591,1591,1591
Other_renewable,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Solar,14,77,187,231,430,1310,3473,6664,10643,14282
Fossil_Oil_shale,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Waste,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Fossil_Gas,826,1302,1438,2140,2106,2540,2555,3807,3786,5143
Fossil_Coal-derived_gas,158,158,158,158,272,272,272,284,281,281
Fossil_Oil,345,345,345,415,415,359,359,393,393,393
Marine,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e
Other,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1524,1520,1734
Biomass,375,435,501,603,849,880,880,647,664,678
Total_Grand_capacity,35573,37094,37285,40365,42526,43662,45029,50278,55216,60756
