Production Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
BIO,671,705,541,520,507,555,704,702,707,708
GAS,30429,30295,30723,30683,30266,30012,29970,29927,29903,29873
GEO,0,0,0,0,0,0,0,0,0,0
HRD,9411,9411,9535,9535,9561,9214,5977,4642,3223,3223
LIG,1198,1056,0,0,0,0,0,0,0,0
NUC,7572,7572,7572,7117,7117,7117,7117,7117,7117,7117
OIL,650,681,715,715,714,707,678,669,670,704
OTH,234,260,360,379,378,392,386,390,403,409
PEA,0,0,0,0,0,0,0,0,0,0
SUN,6535,6500,6720,6722,6751,8466,11390,14640,18523,23867
Total Grand capacity,103806,105455,105429,104975,104740,107392,109409,112424,110758,116950
WAT,24097,25825,25914,25926,25947,25939,25986,26037,20346,20344
WIN,22740,22772,22813,22834,22961,24447,26664,27735,29320,30159
WST,269,378,536,544,538,543,537,565,546,546
