Production_Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Fossil_Peat,0,0,0,0,0,0,0,0,0,0
Nuclear,7572,7572,7572,7117,7117,7117,7117,7117,7117,7117
Fossil_Hard_coal,9411,9411,9535,9535,9561,9214,5977,4642,3223,3223
Wind_Onshore,22740,22772,22813,22834,22961,24447,26664,27735,29320,30159
Fossil_Brown_coal-Lignite,1198,1056,1056,1056,1056,1056,1056,1056,1056,1056
Geothermal,0,0,0,0,0,0,0,0,0,0
Hydro_Run-of-river_and_poundage,1085,1156,1156,1156,1156,1155,1155,1155,1155,1155
Hydro_Water_Reservoir,18187,19076,19113,19125,19146,19139,19186,19187,15773,15771
Wind_Offshore,0,0,0,0,0,0,0,0,0,0
Hydro_Pumped_Storage,4825,5593,5645,5645,5645,5645,5645,5695,3418,3418
Other_renewable,141,157,253,262,261,275,269,272,285,287
Solar,6535,6500,6720,6722,6751,8466,11390,14640,18523,23867
Fossil_Oil_shale,0,0,0,0,0,0,0,0,0,0
Waste,269,378,536,544,538,543,537,565,546,546
Fossil_Gas,30429,30295,30723,30683,30266,30012,29970,29927,29903,29873
Fossil_Coal-derived_gas,0,0,0,0,0,0,0,0,0,0
Fossil_Oil,650,681,715,715,714,707,678,669,670,704
Marine,0,0,0,0,0,0,0,0,0,0
Other,93,103,107,117,117,117,117,118,118,122
Biomass,671,705,541,520,507,555,704,702,707,708
Total_Grand_capacity,103806,105455,105429,104975,104740,107392,109409,112424,110758,116950
