Production Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
BIO,2124,1890,2119,2099,4061,4237,4528,0.0,0.0,0.0
GAS,30287,27241,29237,28755,37698,39823,41371,0.0,0.0,0.0
GEO,0,0,0,0,0,0,0,0.0,0.0,0.0
HRD,16714,15365,11611,11427,8794,7294,5755,0.0,0.0,0.0
LIG,0,0,0,0,0,0,0,0.0,0.0,0.0
NUC,8981,8981,8985,8974,9229,8209,8256,0.0,0.0,0.0
OIL,566,1108,1075,316,316,316,316,0.0,0.0,0.0
OTH,6704,6434,8326,11602,6379,6323,4904,0.0,0.0,0.0
PEA,0,0,0,0,0,0,0,0.0,0.0,0.0
SUN,0,0,0,12563,13438,13368,13470,0.0,0.0,0.0
Total Grand capacity,83151,79452,81893,99448,107556,109699,110920,0.0,0.0,0.0
WAT,4314,4284,4269,4502,4629,5934,6228,0.0,0.0,0.0
WIN,13461,14149,16271,19210,23012,24195,26092,0.0,0.0,0.0
WST,0,0,0,0,0,0,0,0.0,0.0,0.0
