Production Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
BIO,2,2,2,2,30,47,47,47,47,83
GAS,73,73,81,81,81,81,96,96,70,72
GEO,0,0,0,0,0,0,0,0,0,0
HRD,0,0,0,0,0,0,0,0,0,0
LIG,0,0,0,0,0,0,0,0,0,0
NUC,0,0,0,0,0,0,0,0,0,0
OIL,0,0,0,0,0,0,0,0,0,0
OTH,0,0,0,3,0,0,0,0,0,0
PEA,0,0,0,0,0,0,0,0,0,0
SUN,1,1,1,1,136,170,236,258,300,415
Total Grand capacity,253,257,265,298,458,509,603,625,623,835
WAT,36,36,36,36,36,36,36,36,33,33
WIN,120,124,124,154,154,154,167,167,152,208
WST,21,21,21,21,21,21,21,21,21,24
