Production Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
BIO,400,398,486,489,485,490,560,572,415,415
GAS,19590,19914,19297,18433,15570,15496,18500,18530,18351,18351
GEO,0,0,0,0,0,0,0,0,0,0
HRD,7270,5658,4608,4631,4631,4662,4012,4006,4006,4006
LIG,0,0,0,0,0,0,0,0,0,0
NUC,492,486,486,486,486,485,485,486,486,486
OIL,0,0,0,0,0,0,0,0,0,0
OTH,680,1,1,0,1,1,1,1,1,1
PEA,0,0,0,0,0,0,0,0,0,0
SUN,1000,1526,2135,2584,4608,7226,11108,14911,22590,22590
Total Grand capacity,33213,32086,31986,31976,30970,33672,42132,47077,56082,56082
WAT,38,38,38,38,38,38,38,38,37,37
WIN,2874,3391,4257,4632,4393,4484,6648,7770,9410,9410
WST,869,674,678,683,758,790,780,763,786,786
