Production Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
BIO,197,197,197,1696,1722,1872,1872,1870,1754,0.0
GAS,2941,2941,2941,1826,1814,1739,1654,1621,1568,0.0
GEO,0,0,0,0,0,0,0,0,0,0.0
HRD,4847,4847,4847,3656,3656,3656,3414,3165,3022,0.0
LIG,0,0,0,0,0,0,0,0,0,0.0
NUC,0,0,0,0,0,0,0,0,0,0.0
OIL,1051,1051,1051,1007,1007,1009,1010,997,959,0.0
OTH,88,88,88,146,135,137,142,137,136,0.0
PEA,0,0,0,0,0,0,0,0,0,0.0
SUN,601,601,601,1002,1014,1013,1300,1536,2322,0.0
Total Grand capacity,14942,14942,14942,15846,15865,15919,15964,16666,17168,0.0
WAT,9,9,9,6,7,7,7,7,5,0.0
WIN,4845,4845,4845,6123,6126,6102,6181,6949,7017,0.0
WST,363,363,363,384,384,384,384,384,385,0.0
