index,FR -> BE,FR -> IT,FR -> ES,FR -> DE,FR -> UK,FR -> CH
2016-01-01 03:00:00+0000,0.0,974.0,2567.0,920.0,1774.0,605.0
2016-01-01 04:00:00+0000,0.0,1121.0,2581.0,993.0,1774.0,746.0
2016-01-01 05:00:00+0000,108.0,1147.0,2588.0,1165.0,1774.0,785.0
2016-01-01 06:00:00+0000,0.0,998.0,2423.0,803.0,1733.0,672.0
2016-01-01 07:00:00+0000,112.0,1055.0,1738.0,1063.0,277.0,865.0
2016-01-01 08:00:00+0000,664.0,1383.0,1014.0,2211.0,975.0,1463.0
2016-01-01 09:00:00+0000,928.0,1378.0,675.0,2221.0,2010.0,1375.0
2016-01-01 10:00:00+0000,1177.0,1546.0,267.0,2422.0,2018.0,1413.0
2016-01-01 11:00:00+0000,1119.0,1497.0,0.0,2242.0,2017.0,1323.0
2016-01-01 12:00:00+0000,1287.0,1596.0,568.0,2546.0,2018.0,1355.0
2016-01-01 13:00:00+0000,1605.0,1684.0,0.0,3016.0,2018.0,1605.0
2016-01-01 14:00:00+0000,1951.0,1514.0,0.0,3713.0,2017.0,1787.0
2016-01-01 15:00:00+0000,1861.0,1715.0,0.0,3865.0,2017.0,1852.0
2016-01-01 16:00:00+0000,1676.0,2185.0,0.0,3420.0,2017.0,1715.0
2016-01-01 17:00:00+0000,1334.0,2423.0,0.0,3687.0,2018.0,2045.0
2016-01-01 18:00:00+0000,574.0,2481.0,0.0,3383.0,2018.0,2014.0
2016-01-01 19:00:00+0000,112.0,1979.0,761.0,2672.0,2018.0,1502.0
2016-01-01 20:00:00+0000,77.0,1823.0,1643.0,2658.0,2018.0,1446.0
2016-01-01 21:00:00+0000,0.0,1764.0,1206.0,2224.0,2018.0,1386.0
2016-01-01 22:00:00+0000,0.0,1447.0,969.0,1505.0,2020.0,1085.0
2016-01-01 23:00:00+0000,0.0,1139.0,1656.0,1771.0,1491.0,1123.0
2016-01-02 00:00:00+0000,0.0,1013.0,947.0,1607.0,1486.0,1092.0
2016-01-02 01:00:00+0000,0.0,1148.0,0.0,2046.0,1486.0,1317.0
2016-01-02 02:00:00+0000,289.0,1548.0,0.0,3092.0,1484.0,1858.0
2016-01-02 03:00:00+0000,683.0,1661.0,0.0,3332.0,1486.0,1963.0
2016-01-02 04:00:00+0000,644.0,1624.0,0.0,3185.0,1485.0,1915.0
2016-01-02 05:00:00+0000,556.0,1725.0,0.0,2989.0,1485.0,1854.0
2016-01-02 06:00:00+0000,135.0,1488.0,0.0,2078.0,1485.0,1467.0
2016-01-02 07:00:00+0000,48.0,1408.0,1399.0,2103.0,1485.0,1314.0
2016-01-02 08:00:00+0000,171.0,1414.0,2499.0,2249.0,1483.0,1316.0
2016-01-02 09:00:00+0000,103.0,1455.0,2512.0,2165.0,2013.0,1241.0
2016-01-02 10:00:00+0000,178.0,1402.0,2455.0,2246.0,2017.0,1173.0
2016-01-02 11:00:00+0000,0.0,1421.0,2495.0,1890.0,2014.0,1050.0
2016-01-02 12:00:00+0000,0.0,1233.0,2541.0,1789.0,2014.0,1082.0
2016-01-02 13:00:00+0000,268.0,1408.0,2524.0,2201.0,2015.0,1310.0
2016-01-02 14:00:00+0000,467.0,1557.0,2547.0,2549.0,2016.0,1425.0
2016-01-02 15:00:00+0000,732.0,1512.0,2498.0,2967.0,2016.0,1508.0
2016-01-02 16:00:00+0000,536.0,1879.0,2504.0,2695.0,2016.0,1430.0
2016-01-02 17:00:00+0000,2.0,2194.0,2478.0,2274.0,2016.0,1323.0
2016-01-02 18:00:00+0000,0.0,2109.0,2503.0,2168.0,2016.0,1383.0
2016-01-02 19:00:00+0000,0.0,1889.0,2557.0,2182.0,2015.0,1407.0
2016-01-02 20:00:00+0000,0.0,1797.0,2524.0,2243.0,2016.0,1586.0
2016-01-02 21:00:00+0000,0.0,1648.0,2492.0,1978.0,2016.0,1416.0
2016-01-02 22:00:00+0000,0.0,1341.0,2366.0,1866.0,2014.0,1139.0
2016-01-02 23:00:00+0000,0.0,977.0,2438.0,1681.0,1506.0,890.0
2016-01-03 00:00:00+0000,0.0,746.0,2489.0,1362.0,1501.0,853.0
2016-01-03 01:00:00+0000,0.0,736.0,889.0,1111.0,1501.0,802.0
2016-01-03 02:00:00+0000,0.0,686.0,384.0,1085.0,1500.0,770.0
2016-01-03 03:00:00+0000,0.0,1074.0,0.0,1557.0,1500.0,1092.0
2016-01-03 04:00:00+0000,0.0,921.0,0.0,1331.0,1500.0,1055.0
2016-01-03 05:00:00+0000,0.0,698.0,0.0,830.0,1500.0,795.0
2016-01-03 06:00:00+0000,0.0,866.0,0.0,1366.0,1500.0,1101.0
2016-01-03 07:00:00+0000,0.0,966.0,0.0,1876.0,1500.0,1244.0
2016-01-03 08:00:00+0000,0.0,1171.0,0.0,2133.0,1499.0,1382.0
2016-01-03 09:00:00+0000,0.0,1154.0,642.0,1678.0,2009.0,1200.0
2016-01-03 10:00:00+0000,529.0,1484.0,0.0,2482.0,2013.0,1512.0
2016-01-03 11:00:00+0000,545.0,1515.0,0.0,2468.0,2015.0,1547.0
2016-01-03 12:00:00+0000,152.0,1293.0,0.0,2271.0,2015.0,1323.0
2016-01-03 13:00:00+0000,365.0,1319.0,0.0,2282.0,2015.0,1343.0
2016-01-03 14:00:00+0000,965.0,1664.0,0.0,3184.0,2016.0,1868.0
2016-01-03 15:00:00+0000,1253.0,1649.0,0.0,3245.0,2016.0,1840.0
2016-01-03 16:00:00+0000,1368.0,1866.0,0.0,2919.0,2017.0,1686.0
2016-01-03 17:00:00+0000,971.0,2391.0,0.0,2984.0,2015.0,1901.0
2016-01-03 18:00:00+0000,0.0,2065.0,0.0,2033.0,2015.0,1499.0
2016-01-03 19:00:00+0000,0.0,1806.0,966.0,1533.0,2016.0,1237.0
2016-01-03 20:00:00+0000,0.0,1617.0,1678.0,1636.0,2015.0,1293.0
2016-01-03 21:00:00+0000,0.0,1530.0,1205.0,1493.0,2015.0,1388.0
2016-01-03 22:00:00+0000,0.0,1210.0,897.0,840.0,2014.0,1006.0
