avail_qty,end,nominal_power,production_resource_name,start
185.0,2023-01-15 10:30:00+01:00,464.0,FLEVO 5,2023-01-15 10:00:00+01:00
185.0,2023-01-15 10:00:00+01:00,464.0,FLEVO 5,2023-01-14 21:00:00+01:00
185.0,2023-01-14 21:00:00+01:00,464.0,FLEVO 5,2023-01-14 20:30:00+01:00
185.0,2023-01-14 20:30:00+01:00,464.0,FLEVO 5,2023-01-14 20:28:00+01:00
350.0,2023-01-16 16:53:00+01:00,731.0,NLROTTETH__1,2023-01-16 16:37:00+01:00
300.0,2023-01-16 15:45:00+01:00,731.0,NLROTTETH__1,2023-01-16 15:42:00+01:00
300.0,2023-01-16 16:37:00+01:00,731.0,NLROTTETH__1,2023-01-16 16:30:00+01:00
300.0,2023-01-16 16:30:00+01:00,731.0,NLROTTETH__1,2023-01-16 16:00:00+01:00
300.0,2023-01-16 16:00:00+01:00,731.0,NLROTTETH__1,2023-01-16 15:45:00+01:00
200.0,2023-01-27 17:00:00+01:00,464.0,FLEVO 5,2023-01-17 17:00:00+01:00
0.0,2023-01-17 15:30:00+01:00,464.0,FLEVO 5,2023-01-17 15:00:00+01:00
0.0,2023-01-17 15:00:00+01:00,464.0,FLEVO 5,2023-01-15 11:00:00+01:00
0.0,2023-01-15 11:00:00+01:00,464.0,FLEVO 5,2023-01-15 10:30:00+01:00
410.0,2023-01-14 20:27:00+01:00,464.0,FLEVO 5,2023-01-14 20:15:00+01:00
0.0,2023-01-13 18:45:00+01:00,464.0,FLEVO 5,2023-01-13 18:42:00+01:00
0.0,2023-01-13 19:00:00+01:00,464.0,FLEVO 5,2023-01-13 18:45:00+01:00
0.0,2023-01-14 20:15:00+01:00,464.0,FLEVO 5,2023-01-14 20:00:00+01:00
0.0,2023-01-14 20:00:00+01:00,464.0,FLEVO 5,2023-01-13 19:00:00+01:00
410.0,2023-02-11 00:00:00+01:00,464.0,FLEVO 5,2023-01-27 17:00:00+01:00
520.0,2023-01-17 11:30:00+01:00,731.0,NLROTTETH__1,2023-01-17 11:15:00+01:00
520.0,2023-01-17 12:00:00+01:00,731.0,NLROTTETH__1,2023-01-17 11:30:00+01:00
520.0,2023-01-17 17:00:00+01:00,731.0,NLROTTETH__1,2023-01-17 12:00:00+01:00
520.0,2023-01-17 11:15:00+01:00,731.0,NLROTTETH__1,2023-01-17 11:05:00+01:00
535.0,2023-01-17 14:00:00+01:00,731.0,NLROTTETH__1,2023-01-17 13:30:00+01:00
535.0,2023-01-17 17:00:00+01:00,731.0,NLROTTETH__1,2023-01-17 14:00:00+01:00
535.0,2023-01-17 13:30:00+01:00,731.0,NLROTTETH__1,2023-01-17 13:15:00+01:00
535.0,2023-01-17 13:15:00+01:00,731.0,NLROTTETH__1,2023-01-17 13:04:00+01:00
0.0,2023-01-17 20:00:00+01:00,343.0,Delesto 2,2023-01-17 19:49:00+01:00
0.0,2023-01-17 22:00:00+01:00,343.0,Delesto 2,2023-01-17 20:00:00+01:00
0.0,2023-01-19 14:30:00+01:00,249.0,Diemen,2023-01-19 12:00:00+01:00
