end,production_resource_name,start,avail_qty,nominal_power
2023-08-10 07:15:00+00:00,Amercoeur 1 R TGV,2023-08-10 07:00:00+00:00,320.0,451.0
2023-08-11 11:30:00+00:00,Amercoeur 1 R TGV,2023-08-11 11:15:00+00:00,0.0,451.0
2023-08-11 12:00:00+00:00,Amercoeur 1 R TGV,2023-08-11 11:30:00+00:00,0.0,451.0
2023-08-11 22:00:00+00:00,Amercoeur 1 R TGV,2023-08-11 12:00:00+00:00,0.0,451.0
2023-08-11 22:00:00+00:00,Amercoeur 1 R TGV,2023-08-11 22:00:00+00:00,0.0,451.0
2023-08-28 13:15:00+00:00,Amercoeur 1 R TGV,2023-08-28 13:00:00+00:00,0.0,451.0
2023-08-28 14:00:00+00:00,Amercoeur 1 R TGV,2023-08-28 13:15:00+00:00,0.0,451.0
2023-08-29 10:00:00+00:00,Amercoeur 1 R TGV,2023-08-28 14:00:00+00:00,0.0,451.0
2023-08-29 17:00:00+00:00,Amercoeur 1 R TGV,2023-08-29 15:00:00+00:00,390.0,451.0
2023-08-29 17:15:00+00:00,Amercoeur 1 R TGV,2023-08-29 17:00:00+00:00,390.0,451.0
2023-08-29 17:30:00+00:00,Amercoeur 1 R TGV,2023-08-29 17:15:00+00:00,390.0,451.0
2023-09-30 16:30:00+00:00,Amercoeur 1 R TGV,2023-09-30 16:15:00+00:00,135.92,451.0
2023-10-06 07:00:00+00:00,Amercoeur 1 R TGV,2023-10-06 04:00:00+00:00,420.0,451.0
2023-10-06 07:45:00+00:00,Amercoeur 1 R TGV,2023-10-06 07:00:00+00:00,420.0,451.0
2023-10-06 08:00:00+00:00,Amercoeur 1 R TGV,2023-10-06 07:45:00+00:00,420.0,451.0
2023-10-17 05:00:00+00:00,Amercoeur 1 R TGV,2023-10-06 08:00:00+00:00,0.0,451.0
2023-10-06 08:00:00+00:00,Amercoeur 1 R TGV,2023-10-06 08:00:00+00:00,0.0,451.0
2023-10-18 20:00:00+00:00,Amercoeur 1 R TGV,2023-10-18 19:45:00+00:00,0.0,451.0
2023-10-19 02:00:00+00:00,Amercoeur 1 R TGV,2023-10-18 20:00:00+00:00,0.0,451.0
2023-10-19 02:45:00+00:00,Amercoeur 1 R TGV,2023-10-19 02:00:00+00:00,0.0,451.0
2023-10-19 03:00:00+00:00,Amercoeur 1 R TGV,2023-10-19 02:45:00+00:00,0.0,451.0
2023-10-19 06:00:00+00:00,Amercoeur 1 R TGV,2023-10-19 05:30:00+00:00,115.0,451.0
2023-10-19 08:00:00+00:00,Amercoeur 1 R TGV,2023-10-19 06:00:00+00:00,115.0,451.0
2023-10-19 10:00:00+00:00,Amercoeur 1 R TGV,2023-10-19 09:30:00+00:00,200.0,451.0
2023-10-19 09:30:00+00:00,Amercoeur 1 R TGV,2023-10-19 09:30:00+00:00,200.0,451.0
2023-10-30 12:00:00+00:00,Amercoeur 1 R TGV,2023-10-30 11:45:00+00:00,0.0,451.0
2023-10-30 11:45:00+00:00,Amercoeur 1 R TGV,2023-10-30 11:45:00+00:00,0.0,451.0
2023-10-30 23:00:00+00:00,Amercoeur 1 R TGV,2023-10-30 12:00:00+00:00,0.0,451.0
2023-10-30 23:15:00+00:00,Amercoeur 1 R TGV,2023-10-30 23:00:00+00:00,0.0,451.0
2023-11-06 12:15:00+00:00,Amercoeur 1 R TGV,2023-11-06 12:15:00+00:00,0.0,451.0
2023-11-06 13:30:00+00:00,Amercoeur 1 R TGV,2023-11-06 12:15:00+00:00,0.0,451.0
2023-11-06 13:45:00+00:00,Amercoeur 1 R TGV,2023-11-06 13:30:00+00:00,0.0,451.0
2023-12-11 11:15:00+00:00,Amercoeur 1 R TGV,2023-12-11 11:00:00+00:00,0.0,451.0
2023-12-11 12:00:00+00:00,Amercoeur 1 R TGV,2023-12-11 11:15:00+00:00,0.0,451.0
2023-12-11 13:00:00+00:00,Amercoeur 1 R TGV,2023-12-11 12:00:00+00:00,0.0,451.0
2023-12-11 13:45:00+00:00,Amercoeur 1 R TGV,2023-12-11 13:00:00+00:00,0.0,451.0
2023-12-11 13:45:00+00:00,Amercoeur 1 R TGV,2023-12-11 13:45:00+00:00,0.0,451.0
2023-12-26 16:15:00+00:00,Amercoeur 1 R TGV,2023-12-26 16:00:00+00:00,136.0,451.0
2023-12-26 16:30:00+00:00,Amercoeur 1 R TGV,2023-12-26 16:15:00+00:00,136.0,451.0
2023-12-26 16:45:00+00:00,Amercoeur 1 R TGV,2023-12-26 16:30:00+00:00,136.0,451.0
2023-04-05 05:15:00+00:00,Belwind Phase 1,2023-04-05 05:00:00+00:00,0.0,171.0
2023-04-05 06:00:00+00:00,Belwind Phase 1,2023-04-05 05:15:00+00:00,0.0,171.0
2023-04-05 14:00:00+00:00,Belwind Phase 1,2023-04-05 06:00:00+00:00,0.0,171.0
2023-05-18 14:00:00+00:00,Belwind Phase 1,2023-05-18 06:00:00+00:00,0.0,171.0
2023-05-18 14:45:00+00:00,Belwind Phase 1,2023-05-18 14:00:00+00:00,0.0,171.0
2023-07-07 10:00:00+00:00,Belwind Phase 1,2023-07-07 06:00:00+00:00,0.0,171.0
2023-07-07 10:15:00+00:00,Belwind Phase 1,2023-07-07 10:00:00+00:00,0.0,171.0
2023-07-07 10:30:00+00:00,Belwind Phase 1,2023-07-07 10:15:00+00:00,0.0,171.0
2023-10-02 11:00:00+00:00,Belwind Phase 1,2023-10-02 09:00:00+00:00,0.0,171.0
2023-01-30 11:00:00+00:00,COO I T,2023-01-30 09:00:00+00:00,0.0,158.0
2023-01-30 11:45:00+00:00,COO I T,2023-01-30 11:00:00+00:00,0.0,158.0
2023-01-30 12:00:00+00:00,COO I T,2023-01-30 11:45:00+00:00,0.0,158.0
2023-02-01 13:00:00+00:00,COO I T,2023-02-01 09:00:00+00:00,0.0,158.0
2023-02-20 16:15:00+00:00,COO I T,2023-02-20 16:00:00+00:00,0.0,474.0
2023-02-20 16:30:00+00:00,COO I T,2023-02-20 16:15:00+00:00,0.0,474.0
2023-02-25 11:00:00+00:00,COO I T,2023-02-25 10:45:00+00:00,0.0,158.0
2023-02-25 10:45:00+00:00,COO I T,2023-02-25 10:45:00+00:00,0.0,158.0
2023-02-25 12:00:00+00:00,COO I T,2023-02-25 11:00:00+00:00,0.0,158.0
2023-02-25 12:30:00+00:00,COO I T,2023-02-25 12:00:00+00:00,0.0,158.0
2023-02-25 12:45:00+00:00,COO I T,2023-02-25 12:30:00+00:00,0.0,158.0
2023-03-13 10:00:00+00:00,COO I T,2023-03-13 10:00:00+00:00,0.0,158.0
2023-03-13 10:30:00+00:00,COO I T,2023-03-13 10:00:00+00:00,0.0,158.0
2023-03-13 10:45:00+00:00,COO I T,2023-03-13 10:30:00+00:00,0.0,158.0
2023-03-14 10:00:00+00:00,COO I T,2023-03-14 10:00:00+00:00,0.0,158.0
2023-03-14 11:00:00+00:00,COO I T,2023-03-14 10:00:00+00:00,0.0,158.0
2023-03-21 10:30:00+00:00,COO I T,2023-03-21 09:30:00+00:00,0.0,158.0
2023-03-21 09:30:00+00:00,COO I T,2023-03-21 09:30:00+00:00,0.0,158.0
2023-03-29 09:00:00+00:00,COO I T,2023-03-29 08:00:00+00:00,0.0,158.0
2023-03-29 09:15:00+00:00,COO I T,2023-03-29 09:00:00+00:00,0.0,158.0
2023-04-06 08:00:00+00:00,COO I T,2023-04-06 07:00:00+00:00,0.0,158.0
2023-04-06 08:30:00+00:00,COO I T,2023-04-06 08:00:00+00:00,0.0,158.0
2023-04-06 08:45:00+00:00,COO I T,2023-04-06 08:30:00+00:00,0.0,158.0
2023-04-07 10:00:00+00:00,COO I T,2023-04-07 08:00:00+00:00,0.0,158.0
2023-04-08 16:00:00+00:00,COO I T,2023-04-08 06:00:00+00:00,0.0,158.0
2023-04-08 16:15:00+00:00,COO I T,2023-04-08 16:00:00+00:00,0.0,158.0
2023-04-10 13:00:00+00:00,COO I T,2023-04-10 06:00:00+00:00,0.0,158.0
2023-04-10 13:15:00+00:00,COO I T,2023-04-10 13:00:00+00:00,0.0,158.0
2023-04-11 09:00:00+00:00,COO I T,2023-04-11 08:00:00+00:00,0.0,158.0
2023-04-11 09:15:00+00:00,COO I T,2023-04-11 09:00:00+00:00,0.0,158.0
2023-04-11 09:30:00+00:00,COO I T,2023-04-11 09:15:00+00:00,0.0,158.0
2023-04-12 10:00:00+00:00,COO I T,2023-04-12 09:30:00+00:00,0.0,474.0
2023-04-12 09:30:00+00:00,COO I T,2023-04-12 09:00:00+00:00,0.0,316.0
2023-04-12 12:00:00+00:00,COO I T,2023-04-12 10:00:00+00:00,0.0,316.0
2023-04-12 12:30:00+00:00,COO I T,2023-04-12 12:00:00+00:00,0.0,316.0
2023-04-12 13:00:00+00:00,COO I T,2023-04-12 12:30:00+00:00,0.0,158.0
2023-04-13 15:00:00+00:00,COO I T,2023-04-12 13:00:00+00:00,0.0,158.0
2023-04-19 13:45:00+00:00,COO I T,2023-04-19 13:45:00+00:00,0.0,158.0
2023-04-19 14:45:00+00:00,COO I T,2023-04-19 13:45:00+00:00,0.0,158.0
2023-04-19 15:00:00+00:00,COO I T,2023-04-19 14:45:00+00:00,0.0,158.0
2023-04-21 01:30:00+00:00,COO I T,2023-04-21 01:30:00+00:00,0.0,158.0
