end,production_resource_name,start,avail_qty,nominal_power,Total_Capacity,Outage_Factor
2023-09-25 16:45:00+00:00,Aguieira,2023-09-25 16:30:00+00:00,0,112.0,,0.0
2023-09-25 17:00:00+00:00,Aguieira,2023-09-25 16:45:00+00:00,0,112.0,,0.0
2023-10-23 09:00:00+00:00,Aguieira,2023-10-23 08:30:00+00:00,0,336.0,,0.0
2023-10-23 15:00:00+00:00,Aguieira,2023-10-23 09:00:00+00:00,0,336.0,,0.0
2023-11-24 10:00:00+00:00,Aguieira,2023-11-24 09:45:00+00:00,0,112.0,,0.0
2023-11-24 18:00:00+00:00,Aguieira,2023-11-24 10:00:00+00:00,0,112.0,,0.0
2023-11-26 16:30:00+00:00,Aguieira,2023-11-26 16:15:00+00:00,0,112.0,,0.0
2023-11-26 17:00:00+00:00,Aguieira,2023-11-26 16:30:00+00:00,0,112.0,,0.0
2023-11-26 23:00:00+00:00,Aguieira,2023-11-26 17:00:00+00:00,0,112.0,,0.0
2023-12-06 20:30:00+00:00,Aguieira,2023-12-06 20:15:00+00:00,0,224.0,,0.0
2023-12-06 21:00:00+00:00,Aguieira,2023-12-06 20:30:00+00:00,0,224.0,,0.0
2023-12-07 12:00:00+00:00,Aguieira,2023-12-06 21:00:00+00:00,0,784.0,,0.0
2023-01-01 13:00:00+00:00,Alqueva,2023-01-01 00:00:00+00:00,0,127.0,,0.0
2023-01-01 13:15:00+00:00,Alqueva,2023-01-01 13:00:00+00:00,0,127.0,,0.0
2023-01-01 13:30:00+00:00,Alqueva,2023-01-01 13:15:00+00:00,0,127.0,,0.0
2023-01-11 12:00:00+00:00,Alqueva,2023-01-11 11:00:00+00:00,0,127.0,,0.0
2023-01-11 14:00:00+00:00,Alqueva,2023-01-11 13:30:00+00:00,0,127.0,,0.0
2023-01-11 15:00:00+00:00,Alqueva,2023-01-11 14:00:00+00:00,0,127.0,,0.0
2023-01-11 15:30:00+00:00,Alqueva,2023-01-11 15:00:00+00:00,0,127.0,,0.0
2023-01-11 15:30:00+00:00,Alqueva,2023-01-11 15:30:00+00:00,0,127.0,,0.0
2023-01-23 15:00:00+00:00,Alqueva,2023-01-23 11:00:00+00:00,0,127.0,,0.0
2023-01-23 11:00:00+00:00,Alqueva,2023-01-23 11:00:00+00:00,0,127.0,,0.0
2023-01-24 12:00:00+00:00,Alqueva,2023-01-24 10:00:00+00:00,0,127.0,,0.0
2023-01-24 12:15:00+00:00,Alqueva,2023-01-24 12:00:00+00:00,0,127.0,,0.0
2023-02-21 19:30:00+00:00,Alqueva,2023-02-21 19:15:00+00:00,0,127.0,,0.0
2023-02-21 19:15:00+00:00,Alqueva,2023-02-21 19:15:00+00:00,0,127.0,,0.0
2023-02-21 20:00:00+00:00,Alqueva,2023-02-21 19:30:00+00:00,0,127.0,,0.0
2023-02-22 16:00:00+00:00,Alqueva,2023-02-21 20:00:00+00:00,0,127.0,,0.0
2023-02-22 16:15:00+00:00,Alqueva,2023-02-22 16:00:00+00:00,0,127.0,,0.0
2023-02-23 16:00:00+00:00,Alqueva,2023-02-23 15:30:00+00:00,0,127.0,,0.0
2023-02-23 17:00:00+00:00,Alqueva,2023-02-23 16:00:00+00:00,0,127.0,,0.0
2023-02-23 17:15:00+00:00,Alqueva,2023-02-23 17:00:00+00:00,0,127.0,,0.0
2023-02-23 17:30:00+00:00,Alqueva,2023-02-23 17:15:00+00:00,0,127.0,,0.0
2023-02-23 18:15:00+00:00,Alqueva,2023-02-23 18:15:00+00:00,0,127.0,,0.0
2023-02-23 18:30:00+00:00,Alqueva,2023-02-23 18:15:00+00:00,0,127.0,,0.0
2023-02-23 19:00:00+00:00,Alqueva,2023-02-23 18:30:00+00:00,0,127.0,,0.0
2023-02-28 15:00:00+00:00,Alqueva,2023-02-23 19:00:00+00:00,0,127.0,,0.0
2023-02-28 15:30:00+00:00,Alqueva,2023-02-28 15:00:00+00:00,0,127.0,,0.0
2023-02-28 15:45:00+00:00,Alqueva,2023-02-28 15:30:00+00:00,0,127.0,,0.0
2023-03-10 11:00:00+00:00,Alqueva,2023-03-10 10:45:00+00:00,0,127.0,,0.0
2023-03-10 14:00:00+00:00,Alqueva,2023-03-10 11:00:00+00:00,0,127.0,,0.0
2023-03-10 14:30:00+00:00,Alqueva,2023-03-10 14:00:00+00:00,0,127.0,,0.0
2023-03-10 14:30:00+00:00,Alqueva,2023-03-10 14:30:00+00:00,0,127.0,,0.0
