end,production_resource_name,start,avail_qty,nominal_power,Total_Capacity,Outage_Factor
2023-02-10 13:00:00+00:00,Alta krv,2023-02-06 07:00:00+00:00,0,110.0,,0.0
2023-03-07 13:00:00+00:00,Alta krv,2023-02-28 07:00:00+00:00,0,110.0,,0.0
2023-04-10 13:00:00+00:00,Alta krv,2023-03-08 08:00:00+00:00,0,110.0,,0.0
2023-07-15 12:00:00+00:00,Alta krv,2023-06-30 22:00:00+00:00,0,110.0,,0.0
2024-01-01 00:00:00+00:00,Alta krv,2023-11-08 08:00:00+00:00,0,110.0,,0.0
2023-01-11 08:00:00+00:00,Aurland1,2023-01-04 10:00:00+00:00,0,840.0,,0.0
2023-01-04 10:00:00+00:00,Aurland1,2023-01-01 00:00:00+00:00,0,280.0,,0.0
2023-01-26 17:00:00+00:00,Aurland1,2023-01-11 08:00:00+00:00,0,280.0,,0.0
2023-03-01 07:00:00+00:00,Aurland1,2023-02-27 06:00:00+00:00,0,280.0,,0.0
2023-03-02 13:00:00+00:00,Aurland1,2023-03-01 15:00:00+00:00,0,280.0,,0.0
2023-03-02 13:30:00+00:00,Aurland1,2023-03-02 13:00:00+00:00,0,280.0,,0.0
2023-04-24 05:00:00+00:00,Aurland1,2023-04-19 08:00:00+00:00,0,280.0,,0.0
2023-06-07 17:00:00+00:00,Aurland1,2023-05-19 13:00:00+00:00,0,560.0,,0.0
2023-09-11 05:00:00+00:00,Aurland1,2023-09-11 04:45:00+00:00,0,280.0,,0.0
2023-09-11 09:00:00+00:00,Aurland1,2023-09-11 05:00:00+00:00,0,280.0,,0.0
2023-09-11 09:00:00+00:00,Aurland1,2023-09-11 09:00:00+00:00,0,280.0,,0.0
2023-09-29 09:00:00+00:00,Aurland1,2023-09-29 08:00:00+00:00,0,280.0,,0.0
2023-10-06 09:00:00+00:00,Aurland1,2023-10-06 07:00:00+00:00,0,280.0,,0.0
2023-10-27 12:30:00+00:00,Aurland1,2023-10-27 12:00:00+00:00,0,280.0,,0.0
2023-10-27 12:45:00+00:00,Aurland1,2023-10-27 12:30:00+00:00,0,280.0,,0.0
2023-10-27 13:00:00+00:00,Aurland1,2023-10-27 12:45:00+00:00,280,280.0,,1.0
2023-10-31 14:00:00+00:00,Aurland1,2023-10-27 13:00:00+00:00,280,280.0,,1.0
2023-11-14 12:00:00+00:00,Aurland1,2023-11-14 08:00:00+00:00,110,280.0,,0.39285714285714285
2023-11-15 12:00:00+00:00,Aurland1,2023-11-15 08:00:00+00:00,110,280.0,,0.39285714285714285
2023-11-20 16:00:00+00:00,Aurland1,2023-11-20 06:00:00+00:00,0,280.0,,0.0
2023-11-24 06:00:00+00:00,Aurland1,2023-11-23 06:00:00+00:00,0,280.0,,0.0
2023-11-24 15:00:00+00:00,Aurland1,2023-11-24 06:00:00+00:00,0,280.0,,0.0
2023-12-13 19:00:00+00:00,Aurland1,2023-12-13 06:00:00+00:00,0,280.0,,0.0
2023-12-13 19:30:00+00:00,Aurland1,2023-12-13 19:00:00+00:00,0,280.0,,0.0
2023-12-13 19:45:00+00:00,Aurland1,2023-12-13 19:30:00+00:00,0,280.0,,0.0
2023-12-19 20:00:00+00:00,Aurland1,2023-12-19 06:00:00+00:00,0,280.0,,0.0
2023-12-20 20:00:00+00:00,Aurland1,2023-12-20 06:00:00+00:00,0,280.0,,0.0
2023-12-29 10:00:00+00:00,Aurland1,2023-12-29 09:00:00+00:00,0,280.0,,0.0
2023-12-29 10:30:00+00:00,Aurland1,2023-12-29 10:00:00+00:00,0,280.0,,0.0
2023-12-29 10:45:00+00:00,Aurland1,2023-12-29 10:30:00+00:00,0,280.0,,0.0
2023-02-16 16:00:00+00:00,Aurland3,2023-02-16 11:00:00+00:00,0,140.0,,0.0
2023-03-09 04:00:00+00:00,Aurland3,2023-03-09 02:00:00+00:00,0,150.0,,0.0
2023-04-19 10:00:00+00:00,Aurland3,2023-04-17 05:00:00+00:00,0,140.0,,0.0
2023-04-21 15:00:00+00:00,Aurland3,2023-04-19 10:00:00+00:00,0,150.0,,0.0
2023-05-10 10:00:00+00:00,Aurland3,2023-05-02 06:00:00+00:00,0,150.0,,0.0
2023-05-11 13:00:00+00:00,Aurland3,2023-05-10 10:00:00+00:00,0,140.0,,0.0
2023-09-01 15:00:00+00:00,Aurland3,2023-08-21 05:00:00+00:00,0,140.0,,0.0
2023-09-15 15:00:00+00:00,Aurland3,2023-09-04 05:00:00+00:00,0,150.0,,0.0
2023-09-19 13:00:00+00:00,Aurland3,2023-09-19 06:00:00+00:00,0,140.0,,0.0
2023-10-12 06:00:00+00:00,Aurland3,2023-10-12 05:30:00+00:00,0,140.0,,0.0
2023-10-12 13:00:00+00:00,Aurland3,2023-10-12 06:00:00+00:00,0,140.0,,0.0
2023-10-26 17:30:00+00:00,Aurland3,2023-10-26 17:00:00+00:00,0,150.0,,0.0
2023-10-26 17:45:00+00:00,Aurland3,2023-10-26 17:30:00+00:00,0,150.0,,0.0
2023-10-26 17:45:00+00:00,Aurland3,2023-10-26 17:45:00+00:00,0,150.0,,0.0
2023-12-04 11:30:00+00:00,Aurland3,2023-12-04 10:30:00+00:00,0,150.0,,0.0
2023-12-04 11:45:00+00:00,Aurland3,2023-12-04 11:30:00+00:00,0,150.0,,0.0
2023-12-12 01:00:00+00:00,Aurland3,2023-12-11 22:00:00+00:00,0,150.0,,0.0
2023-12-17 12:00:00+00:00,Aurland3,2023-12-15 19:00:00+00:00,0,150.0,,0.0
2023-12-17 12:00:00+00:00,Aurland3,2023-12-17 12:00:00+00:00,0,150.0,,0.0
2023-04-19 13:00:00+00:00,Brokke,2023-04-19 06:00:00+00:00,0,115.0,,0.0
2023-06-18 11:45:00+00:00,Brokke,2023-06-18 11:45:00+00:00,0,115.0,,0.0
2023-06-18 12:00:00+00:00,Brokke,2023-06-18 11:45:00+00:00,0,115.0,,0.0
2023-06-19 06:00:00+00:00,Brokke,2023-06-18 12:00:00+00:00,0,115.0,,0.0
2023-06-28 13:00:00+00:00,Brokke,2023-06-23 13:00:00+00:00,0,115.0,,0.0
2023-07-07 12:00:00+00:00,Brokke,2023-07-07 11:45:00+00:00,0,115.0,,0.0
2023-07-14 13:00:00+00:00,Brokke,2023-07-07 12:00:00+00:00,0,115.0,,0.0
2023-12-19 13:00:00+00:00,Brokke,2023-12-19 12:00:00+00:00,0,115.0,,0.0
2023-06-13 13:00:00+00:00,Dale,2023-06-13 05:00:00+00:00,0,114.0,,0.0
2023-06-18 17:00:00+00:00,Dale,2023-06-18 16:30:00+00:00,0,114.0,,0.0
2023-06-18 18:00:00+00:00,Dale,2023-06-18 17:00:00+00:00,0,114.0,,0.0
2023-07-07 13:00:00+00:00,Dale,2023-06-27 09:00:00+00:00,0,114.0,,0.0
2023-07-12 09:00:00+00:00,Dale,2023-07-12 08:30:00+00:00,0,114.0,,0.0
2023-07-13 14:00:00+00:00,Dale,2023-07-12 09:00:00+00:00,0,114.0,,0.0
