Dispa_SET_Time_Step,Biomass_Actual_Aggregated,Biomass_Actual_Consumption,Fossil_Brown_coal-Lignite_Actual_Aggregated,Fossil_Brown_coal-Lignite_Actual_Consumption,Fossil_Coal-derived_gas_Actual_Aggregated,Fossil_Coal-derived_gas_Actual_Consumption,Fossil_Gas_Actual_Aggregated,Fossil_Gas_Actual_Consumption,Fossil_Hard_coal_Actual_Aggregated,Fossil_Hard_coal_Actual_Consumption,Fossil_Oil_Actual_Aggregated,Fossil_Oil_Actual_Consumption,Fossil_Oil_shale_Actual_Aggregated,Fossil_Oil_shale_Actual_Consumption,Fossil_Peat_Actual_Aggregated,Fossil_Peat_Actual_Consumption,Geothermal_Actual_Aggregated,Geothermal_Actual_Consumption,Hydro_Pumped_Storage_Actual_Aggregated,Hydro_Pumped_Storage_Actual_Consumption,Hydro_Run-of-river_and_poundage_Actual_Aggregated,Hydro_Run-of-river_and_poundage_Actual_Consumption,Hydro_Water_Reservoir_Actual_Aggregated,Hydro_Water_Reservoir_Actual_Consumption,Marine_Actual_Aggregated,Marine_Actual_Consumption,Nuclear_Actual_Aggregated,Nuclear_Actual_Consumption,Other_Actual_Aggregated,Other_Actual_Consumption,Other_renewable_Actual_Aggregated,Other_renewable_Actual_Consumption,Solar_Actual_Aggregated,Solar_Actual_Consumption,Waste_Actual_Aggregated,Waste_Actual_Consumption,Wind_Offshore_Actual_Aggregated,Wind_Offshore_Actual_Consumption,Wind_Onshore_Actual_Aggregated,Wind_Onshore_Actual_Consumption
2023-01-01 00:00:00+00:00,240,0,n/e,n/e,n/e,n/e,28,0,0,0,0,0,n/e,n/e,n/e,n/e,0,0,0,1591,2235,0,63,0,n/e,n/e,n/e,n/e,22,0,0,0,0,0,100,0,n/e,n/e,880,0
2023-01-01 00:30:00+00:00,240,0,n/e,n/e,n/e,n/e,29,0,0,0,0,0,n/e,n/e,n/e,n/e,0,0,0,1572,2211,0,69,0,n/e,n/e,n/e,n/e,22,0,0,0,0,0,100,0,n/e,n/e,948,0
2023-01-01 01:00:00+00:00,240,0,n/e,n/e,n/e,n/e,29,0,0,0,0,0,n/e,n/e,n/e,n/e,0,0,0,1650,2203,0,75,0,n/e,n/e,n/e,n/e,22,0,0,0,0,0,100,0,n/e,n/e,956,0
2023-01-01 01:30:00+00:00,240,0,n/e,n/e,n/e,n/e,28,0,0,0,0,0,n/e,n/e,n/e,n/e,0,0,0,1716,2166,0,67,0,n/e,n/e,n/e,n/e,22,0,0,0,0,0,100,0,n/e,n/e,936,0
2023-01-01 02:00:00+00:00,240,0,n/e,n/e,n/e,n/e,28,0,0,0,0,0,n/e,n/e,n/e,n/e,0,0,0,1766,2136,0,67,0,n/e,n/e,n/e,n/e,22,0,0,0,0,0,100,0,n/e,n/e,964,0
2023-01-01 02:30:00+00:00,240,0,n/e,n/e,n/e,n/e,36,0,0,0,0,0,n/e,n/e,n/e,n/e,0,0,0,1692,2151,0,85,0,n/e,n/e,n/e,n/e,22,0,0,0,0,0,100,0,n/e,n/e,820,0
2023-01-01 03:00:00+00:00,240,0,n/e,n/e,n/e,n/e,52,0,0,0,0,0,n/e,n/e,n/e,n/e,0,0,0,1718,2175,0,75,0,n/e,n/e,n/e,n/e,22,0,0,0,0,0,100,0,n/e,n/e,672,0
2023-01-01 03:30:00+00:00,244,0,n/e,n/e,n/e,n/e,50,0,0,0,0,0,n/e,n/e,n/e,n/e,0,0,0,1624,2154,0,110,0,n/e,n/e,n/e,n/e,22,0,0,0,0,0,100,0,n/e,n/e,520,0
2023-01-01 04:00:00+00:00,244,0,n/e,n/e,n/e,n/e,51,0,0,0,0,0,n/e,n/e,n/e,n/e,0,0,0,1552,2189,0,101,0,n/e,n/e,n/e,n/e,22,0,0,0,0,0,100,0,n/e,n/e,320,0
2023-01-01 04:30:00+00:00,244,0,n/e,n/e,n/e,n/e,52,0,0,0,0,0,n/e,n/e,n/e,n/e,0,0,0,1545,2185,0,116,0,n/e,n/e,n/e,n/e,22,0,0,0,0,0,100,0,n/e,n/e,332,0
2023-01-01 05:00:00+00:00,244,0,n/e,n/e,n/e,n/e,51,0,0,0,0,0,n/e,n/e,n/e,n/e,0,0,0,1161,2186,0,120,0,n/e,n/e,n/e,n/e,22,0,0,0,0,0,100,0,n/e,n/e,444,0
2023-01-01 05:30:00+00:00,244,0,n/e,n/e,n/e,n/e,52,0,0,0,0,0,n/e,n/e,n/e,n/e,0,0,0,1010,2269,0,94,0,n/e,n/e,n/e,n/e,22,0,0,0,0,0,100,0,n/e,n/e,240,0
2023-01-01 06:00:00+00:00,244,0,n/e,n/e,n/e,n/e,51,0,0,0,0,0,n/e,n/e,n/e,n/e,0,0,0,1087,2280,0,122,0,n/e,n/e,n/e,n/e,22,0,0,0,0,0,100,0,n/e,n/e,216,0
2023-01-01 06:30:00+00:00,244,0,n/e,n/e,n/e,n/e,52,0,0,0,0,0,n/e,n/e,n/e,n/e,0,0,0,1068,2357,0,151,0,n/e,n/e,n/e,n/e,22,0,0,0,0,0,100,0,n/e,n/e,192,0
2023-01-01 07:00:00+00:00,244,0,n/e,n/e,n/e,n/e,52,0,0,0,0,0,n/e,n/e,n/e,n/e,0,0,0,871,2368,0,125,0,n/e,n/e,n/e,n/e,22,0,0,0,16,0,100,0,n/e,n/e,268,0
2023-01-01 07:30:00+00:00,244,0,n/e,n/e,n/e,n/e,52,0,0,0,0,0,n/e,n/e,n/e,n/e,0,0,0,829,2418,0,113,0,n/e,n/e,n/e,n/e,22,0,0,0,24,0,100,0,n/e,n/e,296,0
2023-01-01 08:00:00+00:00,244,0,n/e,n/e,n/e,n/e,54,0,0,0,0,0,n/e,n/e,n/e,n/e,0,0,0,910,2500,0,149,0,n/e,n/e,n/e,n/e,22,0,0,0,40,0,100,0,n/e,n/e,160,0
2023-01-01 08:30:00+00:00,244,0,n/e,n/e,n/e,n/e,56,0,0,0,0,0,n/e,n/e,n/e,n/e,0,0,0,986,2563,0,156,0,n/e,n/e,n/e,n/e,22,0,0,0,64,0,100,0,n/e,n/e,228,0
2023-01-01 09:00:00+00:00,244,0,n/e,n/e,n/e,n/e,56,0,0,0,0,0,n/e,n/e,n/e,n/e,0,0,0,968,2619,0,136,0,n/e,n/e,n/e,n/e,22,0,0,0,96,0,100,0,n/e,n/e,336,0
2023-01-01 09:30:00+00:00,244,0,n/e,n/e,n/e,n/e,31,0,0,0,0,0,n/e,n/e,n/e,n/e,0,0,0,1052,2634,0,142,0,n/e,n/e,n/e,n/e,22,0,0,0,124,0,100,0,n/e,n/e,300,0
2023-01-01 10:00:00+00:00,244,0,n/e,n/e,n/e,n/e,32,0,0,0,0,0,n/e,n/e,n/e,n/e,0,0,0,1024,2762,0,157,0,n/e,n/e,n/e,n/e,22,0,0,0,144,0,100,0,n/e,n/e,216,0
2023-01-01 10:30:00+00:00,244,0,n/e,n/e,n/e,n/e,32,0,0,0,0,0,n/e,n/e,n/e,n/e,0,0,0,996,2729,0,157,0,n/e,n/e,n/e,n/e,22,0,0,0,168,0,100,0,n/e,n/e,232,0
2023-01-01 11:00:00+00:00,244,0,n/e,n/e,n/e,n/e,32,0,0,0,0,0,n/e,n/e,n/e,n/e,0,0,0,806,2721,0,172,0,n/e,n/e,n/e,n/e,22,0,0,0,172,0,100,0,n/e,n/e,200,0
2023-01-01 11:30:00+00:00,244,0,n/e,n/e,n/e,n/e,31,0,0,0,0,0,n/e,n/e,n/e,n/e,0,0,0,771,2713,0,192,0,n/e,n/e,n/e,n/e,22,0,0,0,180,0,100,0,n/e,n/e,164,0
2023-01-01 12:00:00+00:00,244,0,n/e,n/e,n/e,n/e,31,0,0,0,0,0,n/e,n/e,n/e,n/e,0,0,0,894,2738,0,152,0,n/e,n/e,n/e,n/e,22,0,0,0,168,0,100,0,n/e,n/e,100,0
2023-01-01 12:30:00+00:00,244,0,n/e,n/e,n/e,n/e,30,0,0,0,0,0,n/e,n/e,n/e,n/e,0,0,0,904,2694,0,153,0,n/e,n/e,n/e,n/e,22,0,0,0,160,0,100,0,n/e,n/e,84,0
2023-01-01 13:00:00+00:00,244,0,n/e,n/e,n/e,n/e,30,0,0,0,0,0,n/e,n/e,n/e,n/e,0,0,0,648,2618,0,207,0,n/e,n/e,n/e,n/e,22,0,0,0,132,0,100,0,n/e,n/e,104,0
