Week 01,6252,10582,11820,11183,12217,9392,9689,9641,354
Week 02,7709,10900,9250,8312,10238,9024,9389,10814,354
Week 03,9169,9412,6321,9608,9272,6649,9904,10402,354
Week 04,10504,9279,8456,8396,9747,8939,9591,8388,354
Week 05,9762,9751,11009,10515,8568,9744,9179,9688,354
Week 06,8759,9319,9169,10440,8242,9636,11035,9503,354
Week 07,9511,10417,9665,10510,8298,9866,11388,9591,354
Week 08,9674,12097,8766,9810,8808,10820,9716,9367,354
Week 09,9811,11166,9191,9033,8267,8421,8592,10105,354
Week 10,8969,11929,10215,9550,9211,9805,9747,8434,354
Week 11,9335,10691,8965,9806,9273,8940,8697,11622,354
Week 12,7053,9982,10441,9297,9394,9719,502,497,354
Week 13,9612,8718,8015,395,417,9896,8958,9673,354
Week 14,8774,9035,8819,7713,8393,9910,10117,9625,354
Week 15,7970,8670,11372,7580,10251,8809,9670,11553,354
Week 16,8956,8419,10269,7771,9646,9338,10358,10238,354
Week 17,7104,9626,8529,10150,8900,7821,6596,7711,354
Week 18,10554,12022,9463,10359,9564,9047,9593,9385,354
Week 19,10181,9865,10395,7946,9278,10630,N/A,8021,354
Week 20,8432,10721,8657,9897,10075,9219,9038,8597,354
Week 21,7881,9278,8487,9260,9572,7309,8301,8796,354
Week 22,7978,10153,7999,10567,10513,7472,8373,9452,354
Week 23,7546,9952,8988,9251,9236,6124,7991,8919,354
Week 24,6873,9624,9025,10456,7797,8414,8382,8669,354
Week 25,8417,9817,9950,10877,8156,7781,8101,8793,354
Week 26,7482,10064,8042,9567,8080,7971,7868,9573,354
Week 27,8576,8351,8143,9191,9860,9004,9595,10670,354
Week 28,7745,9994,7975,8883,10245,8434,9552,9014,354
Week 29,9509,10926,9204,8650,8559,9691,8487,9030,354
Week 30,8143,7482,9003,8719,9218,8933,8467,9093,354
Week 31,9345,9612,7712,8882,8137,8605,8960,9137,354
Week 32,10779,9399,9063,8695,7951,9745,7675,9914,-
Week 33,10653,9198,10721,9036,8514,9059,10084,8293,-
Week 34,10159,9308,9292,9520,8418,8271,9918,8519,-
Week 35,10377,10275,8263,9217,8814,9467,10349,8563,-
Week 36,10083,9715,8495,9729,8655,9355,10652,7704,-
Week 37,9909,9642,7019,9090,8967,9301,9657,7816,-
Week 38,9402,10027,8442,9118,8717,10206,9804,8862,-
Week 39,10219,9165,7758,8852,9918,9720,10557,10323,-
Week 40,9459,11170,7540,9880,8760,9239,10640,10487,-
Week 41,10657,9685,8633,10198,10068,9718,10132,8880,-
Week 42,10023,9314,8936,10670,8823,9386,10930,9801,-
Week 43,10917,9210,8080,9011,399,8473,9214,484,-
Week 44,9866,10933,11328,10867,5023,11014,9884,11142,-
Week 45,6792,10218,8985,9974,9629,9810,9467,9419,-
Week 46,11687,11084,9762,10460,8329,8690,9403,9419,-
Week 47,10243,8753,9622,10351,9319,9433,9640,9051,-
Week 48,11096,9384,10446,9891,9114,9351,9478,9257,-
Week 49,11381,10272,9320,10772,8780,8746,9914,8276,-
Week 50,9486,10292,9524,9042,8558,10438,8923,9793,-
Week 51,10070,8297,7388,9350,8871,9350,9358,10533,-
Week 52,11391,11946,10736,9413,9647,9909,11345,6766,-
Week 53,,,,,10995,,,,
